finding_id,story_id,owned_obligation_id,correction_effect
BQA-P0-001,ST-07.02,FR-171,definition semantics reconstructed from governed inputs
BQA-P0-001,ST-07.02,FR-174,portable deterministic definition cannot self-authorize changed meaning
BQA-P0-001,ST-07.02,FR-175,authority and complete lineage remain exact
BQA-P0-001,ST-07.02,FR-176,synthetic scope and compatibility cannot be rewritten
BQA-P0-001,ST-07.04,FR-177,artifact completeness validates governed meaning
BQA-P0-001,ST-07.04,FR-178,target gates authenticate authority and exact semantics
BQA-P0-001,ST-07.04,FR-179,semantic non-flattening rejects forged fields and sections
BQA-P0-001,ST-07.04,FR-180,compatibility receipt attests reconstructed authority
BQA-P1-003,ST-07.04,FR-177,committed validation remains caller-visible when telemetry degrades
BQA-P1-003,ST-07.04,FR-178,observability failure cannot misstate commit outcome
BQA-P1-004,ST-01.01,FR-002,run identity and state admit one version winner
BQA-P1-004,ST-01.01,FR-003,lifecycle transition concurrency is fail-closed
BQA-P1-004,ST-01.01,FR-006,authoritative event sequence cannot lose an accepted write
BQA-P1-004,ST-01.01,FR-007,replay sees one canonical committed command
BQA-P1-004,ST-01.01,NFR-REL-002,optimistic concurrency is atomic
BQA-P1-005,ST-01.01,FR-006,event and command receipt persist atomically
BQA-P1-005,ST-01.01,FR-007,resume and idempotency never observe partial command state
BQA-P1-005,ST-01.01,NFR-REL-002,injected storage failure leaves zero partial state
BQA-P1-006,ST-01.02,FR-010,source identity derives from exact immutable bytes
BQA-P1-006,ST-01.02,FR-011,archive descriptors derive from the hashed bytes
BQA-P1-006,ST-01.02,FR-013,Source Lock cannot mix archive states
BQA-P1-006,ST-01.02,NFR-SEC-001,archive swap fails closed
BQA-P1-006,ST-01.02,NFR-SEC-002,archive inspection remains bounded and immutable

