"file_path","line","identifier","title_or_described_meaning","originating_repository","affected_repositories","owner","status","severity","blocking_relationships","resolution_criteria","evidence_or_receipts","use_state","record_scope","classification","genuinely_cross_repository","source_excerpt"
"02_VISUAL_ASSET_EDITOR/docs/contracts/CONTRACT_COMPATIBILITY_MATRIX.yaml","517","XRI-003","Split validation and admission receipt authority","03_DELEGATION_PROTOCOL","03_DELEGATION_PROTOCOL;02_VISUAL_ASSET_EDITOR;01_ATOMIC_HARNESS_BUILDER","03_DELEGATION_PROTOCOL","resolved","high","field-owner gate","Separate protocol validation receipt from VAE admission receipt and preserve conditional authority","RC4 schemas and final convergence authority evidence","historical_stage2_or_stage3_reference","program-level","PROGRAM_XRI","true","- id: XRI-003"
"02_VISUAL_ASSET_EDITOR/docs/contracts/CONTRACT_COMPATIBILITY_MATRIX.yaml","519","XRI-004","Production acceptance versus consumption authorization ownership","03_DELEGATION_PROTOCOL","03_DELEGATION_PROTOCOL;02_VISUAL_ASSET_EDITOR;01_ATOMIC_HARNESS_BUILDER","03_DELEGATION_PROTOCOL","resolved","blocking","D006; FR-042; schema freeze","VAE result asserts production acceptance only; downstream authorization comes from Content Harness acknowledgement","RC4 result/acknowledgement contracts and final convergence authority evidence","historical_stage2_or_stage3_reference","program-level","PROGRAM_XRI","true","- id: XRI-004"
"02_VISUAL_ASSET_EDITOR/docs/contracts/CONTRACT_COMPATIBILITY_MATRIX.yaml","521","XRI-006","Closed public contract objects and enforceable nested ownership","03_DELEGATION_PROTOCOL","01_ATOMIC_HARNESS_BUILDER;02_VISUAL_ASSET_EDITOR;03_DELEGATION_PROTOCOL","03_DELEGATION_PROTOCOL","resolved","blocking","contract-family validation","Close public objects or govern versioned extensions with owners and compatibility rules","RC4 closed.schemas capability; validator suite; convergence report","historical_stage2_or_stage3_reference","program-level","PROGRAM_XRI","true","- id: XRI-006"
"02_VISUAL_ASSET_EDITOR/docs/contracts/CONTRACT_COMPATIBILITY_MATRIX.yaml","523","XRI-009","External event projection boundary","03_DELEGATION_PROTOCOL","02_VISUAL_ASSET_EDITOR;03_DELEGATION_PROTOCOL;01_ATOMIC_HARNESS_BUILDER","03_DELEGATION_PROTOCOL","resolved","high","D004; VAE encapsulation","Expose typed public event facts and protocol projections without VAE-private workflow state","RC4 event contracts; VAE mappings; authority and lifecycle conformance","historical_stage2_or_stage3_reference","program-level","PROGRAM_XRI","true","- id: XRI-009"
"02_VISUAL_ASSET_EDITOR/docs/contracts/CONTRACT_COMPATIBILITY_MATRIX.yaml","525","XRI-010","Exact demand identity propagation","03_DELEGATION_PROTOCOL","01_ATOMIC_HARNESS_BUILDER;02_VISUAL_ASSET_EDITOR;03_DELEGATION_PROTOCOL","03_DELEGATION_PROTOCOL","resolved","blocking","staleness; audit; replay correctness","Carry exact demand ID, version and hash references across related messages","RC4 schemas/validators; Builder and VAE mappings; lifecycle conformance","historical_stage2_or_stage3_reference","program-level","PROGRAM_XRI","true","- id: XRI-010"
"02_VISUAL_ASSET_EDITOR/docs/tech-specs/STAGE2_VALIDATION_REPORT.md","59","XRI-003","Split validation and admission receipt authority","03_DELEGATION_PROTOCOL","03_DELEGATION_PROTOCOL;02_VISUAL_ASSET_EDITOR;01_ATOMIC_HARNESS_BUILDER","03_DELEGATION_PROTOCOL","resolved","high","field-owner gate","Separate protocol validation receipt from VAE admission receipt and preserve conditional authority","RC4 schemas and final convergence authority evidence","historical_stage2_or_stage3_reference","program-level","PROGRAM_XRI","true","2. Delegation is a validated draft, not a published pinned package. Its XRI-003, XRI-004, XRI-006, XRI-009, and XRI-010 and related ADRs block shared contract freeze."
"02_VISUAL_ASSET_EDITOR/docs/tech-specs/STAGE2_VALIDATION_REPORT.md","59","XRI-004","Production acceptance versus consumption authorization ownership","03_DELEGATION_PROTOCOL","03_DELEGATION_PROTOCOL;02_VISUAL_ASSET_EDITOR;01_ATOMIC_HARNESS_BUILDER","03_DELEGATION_PROTOCOL","resolved","blocking","D006; FR-042; schema freeze","VAE result asserts production acceptance only; downstream authorization comes from Content Harness acknowledgement","RC4 result/acknowledgement contracts and final convergence authority evidence","historical_stage2_or_stage3_reference","program-level","PROGRAM_XRI","true","2. Delegation is a validated draft, not a published pinned package. Its XRI-003, XRI-004, XRI-006, XRI-009, and XRI-010 and related ADRs block shared contract freeze."
"02_VISUAL_ASSET_EDITOR/docs/tech-specs/STAGE2_VALIDATION_REPORT.md","59","XRI-006","Closed public contract objects and enforceable nested ownership","03_DELEGATION_PROTOCOL","01_ATOMIC_HARNESS_BUILDER;02_VISUAL_ASSET_EDITOR;03_DELEGATION_PROTOCOL","03_DELEGATION_PROTOCOL","resolved","blocking","contract-family validation","Close public objects or govern versioned extensions with owners and compatibility rules","RC4 closed.schemas capability; validator suite; convergence report","historical_stage2_or_stage3_reference","program-level","PROGRAM_XRI","true","2. Delegation is a validated draft, not a published pinned package. Its XRI-003, XRI-004, XRI-006, XRI-009, and XRI-010 and related ADRs block shared contract freeze."
"02_VISUAL_ASSET_EDITOR/docs/tech-specs/STAGE2_VALIDATION_REPORT.md","59","XRI-009","External event projection boundary","03_DELEGATION_PROTOCOL","02_VISUAL_ASSET_EDITOR;03_DELEGATION_PROTOCOL;01_ATOMIC_HARNESS_BUILDER","03_DELEGATION_PROTOCOL","resolved","high","D004; VAE encapsulation","Expose typed public event facts and protocol projections without VAE-private workflow state","RC4 event contracts; VAE mappings; authority and lifecycle conformance","historical_stage2_or_stage3_reference","program-level","PROGRAM_XRI","true","2. Delegation is a validated draft, not a published pinned package. Its XRI-003, XRI-004, XRI-006, XRI-009, and XRI-010 and related ADRs block shared contract freeze."
"02_VISUAL_ASSET_EDITOR/docs/tech-specs/STAGE2_VALIDATION_REPORT.md","59","XRI-010","Exact demand identity propagation","03_DELEGATION_PROTOCOL","01_ATOMIC_HARNESS_BUILDER;02_VISUAL_ASSET_EDITOR;03_DELEGATION_PROTOCOL","03_DELEGATION_PROTOCOL","resolved","blocking","staleness; audit; replay correctness","Carry exact demand ID, version and hash references across related messages","RC4 schemas/validators; Builder and VAE mappings; lifecycle conformance","historical_stage2_or_stage3_reference","program-level","PROGRAM_XRI","true","2. Delegation is a validated draft, not a published pinned package. Its XRI-003, XRI-004, XRI-006, XRI-009, and XRI-010 and related ADRs block shared contract freeze."
