fr_id,feature_id,title,lifecycle,normative_requirement,trigger_preconditions,required_output_state,authority_invariants,positive_acceptance,adversarial_denial,required_evidence,decisions,sources,primary_story,candidate_tech_spec
FR-001,F01,Use current authority precedence,PRESERVED_AND_DEEPENED,The Pipeline shall read Program Control authority and the current Builder/VAE/Delegation product boundaries before accepting any executable binding.,"When a validated run, planning action, or operator request requires `Use current authority precedence` within feature F01.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Current Program Control precedence is checked before action. | Brownfield source use carries exact disposition and provenance. | Implementation and evidence claims remain separate.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then the Pipeline shall read Program Control authority and the current Builder/VAE/Delegation product boundaries before accepting any executable binding and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","authority/status reconciliation, source disposition, provenance hashes, dependency adoption review, and denial tests, linked to an immutable requirement receipt.",D001;D002;D003;D004;D027,SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034,ST-01.01,TS-AHP-001
FR-002,F01,Reconcile public and operator-local status,PRESERVED_AND_DEEPENED,"Before implementation authorization, the product shall reconcile the public repository status with newer operator-local receipts and publish one current program status.","When a validated run, planning action, or operator request requires `Reconcile public and operator-local status` within feature F01.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Current Program Control precedence is checked before action. | Brownfield source use carries exact disposition and provenance. | Implementation and evidence claims remain separate.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then before implementation authorization, the product shall reconcile the public repository status with newer operator-local receipts and publish one current program status and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","authority/status reconciliation, source disposition, provenance hashes, dependency adoption review, and denial tests, linked to an immutable requirement receipt.",D001;D002;D003;D004;D027,SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034,ST-01.01,TS-AHP-001
FR-003,F01,Adopt a brownfield-first implementation law,PRESERVED_AND_DEEPENED,"Every proposed source module shall carry REUSE, ADAPT, ACTIVATE, REPLACE or ARCHIVE disposition against the predecessor source register.","When a validated run, planning action, or operator request requires `Adopt a brownfield-first implementation law` within feature F01.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Current Program Control precedence is checked before action. | Brownfield source use carries exact disposition and provenance. | Implementation and evidence claims remain separate.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then every proposed source module shall carry REUSE, ADAPT, ACTIVATE, REPLACE or ARCHIVE disposition against the predecessor source register and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","authority/status reconciliation, source disposition, provenance hashes, dependency adoption review, and denial tests, linked to an immutable requirement receipt.",D001;D002;D003;D004;D027,SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034,ST-01.01,TS-AHP-001
FR-004,F01,Prohibit semantic import from the predecessor,PRESERVED_AND_DEEPENED,"CMF Studio code may supply execution machinery and evidence but may not override current Category, profile, Skill, wrong-reading or Activative authority.","When a validated run, planning action, or operator request requires `Prohibit semantic import from the predecessor` within feature F01.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Current Program Control precedence is checked before action. | Brownfield source use carries exact disposition and provenance. | Implementation and evidence claims remain separate.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then cMF Studio code may supply execution machinery and evidence but may not override current Category, profile, Skill, wrong-reading or Activative authority and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","authority/status reconciliation, source disposition, provenance hashes, dependency adoption review, and denial tests, linked to an immutable requirement receipt.",D001;D002;D003;D004;D027,SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034,ST-01.01,TS-AHP-001
FR-005,F01,Preserve exact source provenance,PRESERVED_AND_DEEPENED,"Forked or adapted files shall preserve archive identity, source path, file hash, dependency provenance and migration decision.","When a validated run, planning action, or operator request requires `Preserve exact source provenance` within feature F01.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Current Program Control precedence is checked before action. | Brownfield source use carries exact disposition and provenance. | Implementation and evidence claims remain separate.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then forked or adapted files shall preserve archive identity, source path, file hash, dependency provenance and migration decision and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","authority/status reconciliation, source disposition, provenance hashes, dependency adoption review, and denial tests, linked to an immutable requirement receipt.",D001;D002;D003;D004;D027,SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034,ST-01.01,TS-AHP-001
FR-006,F01,Require replacement justification,PRESERVED_AND_DEEPENED,"A greenfield replacement of a working predecessor component requires an explicit gap, contract mismatch or bounded-cost justification.","When a validated run, planning action, or operator request requires `Require replacement justification` within feature F01.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Current Program Control precedence is checked before action. | Brownfield source use carries exact disposition and provenance. | Implementation and evidence claims remain separate.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then a greenfield replacement of a working predecessor component requires an explicit gap, contract mismatch or bounded-cost justification and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","authority/status reconciliation, source disposition, provenance hashes, dependency adoption review, and denial tests, linked to an immutable requirement receipt.",D001;D002;D003;D004;D027,SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034,ST-01.01,TS-AHP-001
FR-007,F02,Load exact AtomicHarnessDefinition,PRESERVED_AND_DEEPENED,"The Pipeline shall ingest a portable AtomicHarnessDefinition package and verify schema, identity, hash, authority, lineage, category/profile and invalidation state.","When a validated run, planning action, or operator request requires `Load exact AtomicHarnessDefinition` within feature F02.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Builder remains canonical. | Bindings select implementations but do not mutate Harness semantics. | Unresolved capability ownership blocks side effects.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then the Pipeline shall ingest a portable AtomicHarnessDefinition package and verify schema, identity, hash, authority, lineage, category/profile and invalidation state and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","schema/hash validation, graph reconciliation, binding manifest, compatibility tests, supersession and replay, linked to an immutable requirement receipt.",D006;D007;D008;D032;D033,SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001,ST-03.01,TS-AHP-002
FR-008,F02,Validate the complete Harness graph,PRESERVED_AND_DEEPENED,"The intake gate shall reconcile capabilities, responsibility modules, phases, handoffs, context manifests, Skills, evaluation requirements and repair laws.","When a validated run, planning action, or operator request requires `Validate the complete Harness graph` within feature F02.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Builder remains canonical. | Bindings select implementations but do not mutate Harness semantics. | Unresolved capability ownership blocks side effects.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then the intake gate shall reconcile capabilities, responsibility modules, phases, handoffs, context manifests, Skills, evaluation requirements and repair laws and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","schema/hash validation, graph reconciliation, binding manifest, compatibility tests, supersession and replay, linked to an immutable requirement receipt.",D006;D007;D008;D032;D033,SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001,ST-03.01,TS-AHP-002
FR-009,F02,Compile HarnessExecutionBindingManifest,PRESERVED_AND_DEEPENED,"A separate immutable binding shall map every executable requirement to deterministic modules, Model Programs, Agent Programs, humans, products and runtime embodiments.","When a validated run, planning action, or operator request requires `Compile HarnessExecutionBindingManifest` within feature F02.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Builder remains canonical. | Bindings select implementations but do not mutate Harness semantics. | Unresolved capability ownership blocks side effects.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then a separate immutable binding shall map every executable requirement to deterministic modules, Model Programs, Agent Programs, humans, products and runtime embodiments and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","schema/hash validation, graph reconciliation, binding manifest, compatibility tests, supersession and replay, linked to an immutable requirement receipt.",D006;D007;D008;D032;D033,SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001,ST-03.01,TS-AHP-002
FR-010,F02,Forbid semantic mutation by binding,PRESERVED_AND_DEEPENED,"A binding may choose an implementation but may not change the Harness purpose, phase semantics, declared invariants, creative degrees of freedom or wrong-reading locks.","When a validated run, planning action, or operator request requires `Forbid semantic mutation by binding` within feature F02.","A versioned, inspectable result or governed record that satisfies this requirement and can be consumed by the declared downstream owner.",Builder remains canonical. | Bindings select implementations but do not mutate Harness semantics. | Unresolved capability ownership blocks side effects.,"Given current authority, valid inputs, and an eligible execution binding, when this behavior runs, then a binding may choose an implementation but may not change the Harness purpose, phase semantics, declared invariants, creative degrees of freedom or wrong-reading locks and the downstream consumer receives a contract-valid result.","Given stale, ineligible, ambiguous, out-of-scope, or unverifiable inputs, when this behavior is requested, then no unauthorized side effect occurs and a typed blocker names the cause, owner, and next admissible action.","schema/hash validation, graph reconciliation, binding manifest, compatibility tests, supersession and replay, linked to an immutable requirement receipt.",D006;D007;D008;D032;D033,SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001,ST-03.01,TS-AHP-002
