"requirement_id","type","feature_id","title","release_1_scope","source_requirement","locked_decisions","user_journeys","cross_cutting_nfrs","concrete_repository_evidence","executable_code_evidence","executable_test_evidence","verdict","verdict_basis","technical_spec_owner"
"FR-001","FR","F01","Enforce the complete visual asset-resolution promise","R1_APPLICABLE","prd/05-features/F01-product-constitution-autonomous-authority.md","D001|D002|D004|D010|D028","UJ-01|UJ-02|UJ-05|UJ-16","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","governance/PRODUCT_CONSTITUTION.yaml; governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; governance/READINESS_HARD_GATES.yaml; governance/WORKCELL_AUTHORITY_REGISTRY.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","NONE_VERIFIED; no executable product test suite found","NEW_IMPLEMENTATION","No executable product implementation was found. Nearby PRD/governance artifacts define intent only and do not satisfy runtime behavior.","TS-VAE-01; TS-VAE-10"
"FR-002","FR","F01","Preserve semantic sovereignty","R1_APPLICABLE","prd/05-features/F01-product-constitution-autonomous-authority.md","D001|D002|D004|D010|D028","UJ-01|UJ-02|UJ-05|UJ-16","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","governance/PRODUCT_CONSTITUTION.yaml; governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; governance/READINESS_HARD_GATES.yaml; governance/WORKCELL_AUTHORITY_REGISTRY.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01; TS-VAE-10"
"FR-003","FR","F01","Operate autonomously inside authorized boundaries","R1_APPLICABLE","prd/05-features/F01-product-constitution-autonomous-authority.md","D001|D002|D004|D010|D028","UJ-01|UJ-02|UJ-05|UJ-16","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","governance/PRODUCT_CONSTITUTION.yaml; governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; governance/READINESS_HARD_GATES.yaml; governance/WORKCELL_AUTHORITY_REGISTRY.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","NONE_VERIFIED; no executable product test suite found","NEW_IMPLEMENTATION","No executable product implementation was found. Nearby PRD/governance artifacts define intent only and do not satisfy runtime behavior.","TS-VAE-01; TS-VAE-10"
"FR-004","FR","F01","Limit human intervention to typed exceptions","R1_APPLICABLE","prd/05-features/F01-product-constitution-autonomous-authority.md","D001|D002|D004|D010|D028","UJ-01|UJ-02|UJ-05|UJ-16","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","governance/PRODUCT_CONSTITUTION.yaml; governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; governance/READINESS_HARD_GATES.yaml; governance/WORKCELL_AUTHORITY_REGISTRY.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","NONE_VERIFIED; no executable product test suite found","NEW_IMPLEMENTATION","No executable product implementation was found. Nearby PRD/governance artifacts define intent only and do not satisfy runtime behavior.","TS-VAE-01; TS-VAE-10"
"FR-005","FR","F01","Apply three acceptance gates","R1_APPLICABLE","prd/05-features/F01-product-constitution-autonomous-authority.md","D001|D002|D004|D010|D028","UJ-01|UJ-02|UJ-05|UJ-16","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","governance/PRODUCT_CONSTITUTION.yaml; governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; governance/READINESS_HARD_GATES.yaml; governance/WORKCELL_AUTHORITY_REGISTRY.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01; TS-VAE-10"
"FR-006","FR","F01","Separate human authority from production execution","R1_APPLICABLE","prd/05-features/F01-product-constitution-autonomous-authority.md","D001|D002|D004|D010|D028","UJ-01|UJ-02|UJ-05|UJ-16","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","governance/PRODUCT_CONSTITUTION.yaml; governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; governance/READINESS_HARD_GATES.yaml; governance/WORKCELL_AUTHORITY_REGISTRY.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01; TS-VAE-10"
"FR-007","FR","F01","Keep lightweight source provenance without a rights workcell","R1_APPLICABLE","prd/05-features/F01-product-constitution-autonomous-authority.md","D001|D002|D004|D010|D028","UJ-01|UJ-02|UJ-05|UJ-16","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","governance/PRODUCT_CONSTITUTION.yaml; governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; governance/READINESS_HARD_GATES.yaml; governance/WORKCELL_AUTHORITY_REGISTRY.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01; TS-VAE-10"
"FR-008","FR","F01","Authorize Architecture before implementation","R1_APPLICABLE","prd/05-features/F01-product-constitution-autonomous-authority.md","D001|D002|D004|D010|D028","UJ-01|UJ-02|UJ-05|UJ-16","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","governance/PRODUCT_CONSTITUTION.yaml; governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; governance/READINESS_HARD_GATES.yaml; governance/WORKCELL_AUTHORITY_REGISTRY.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01; TS-VAE-10"
"FR-009","FR","F02","Require a typed Visual Asset Demand","R1_APPLICABLE","prd/05-features/F02-visual-asset-demand-intake.md","D003|D009|D019|D023|D024|D027|D028","UJ-01|UJ-03|UJ-12|UJ-14","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; contracts/schemas/VISUAL_ASSET_SUBMISSION.schema.yaml; contracts/examples/format02_visual_asset_demand.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01"
"FR-010","FR","F02","Treat notes as non-authoritative enrichment","R1_APPLICABLE","prd/05-features/F02-visual-asset-demand-intake.md","D003|D009|D019|D023|D024|D027|D028","UJ-01|UJ-03|UJ-12|UJ-14","NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; contracts/schemas/VISUAL_ASSET_SUBMISSION.schema.yaml; contracts/examples/format02_visual_asset_demand.yaml","NONE_VERIFIED; scripts/ contains PRD package utilities only","validation/SCHEMA_VALIDATION_REPORT.json is a saved structural report where applicable; scripts/validate_prd_package.py checks schema shape only; no executable product test suite found","PARTIALLY_IMPLEMENTED","Concrete schema, registry, fixture, or governance data represents part of the requirement, but no executable product path enforces or exercises the complete behavior.","TS-VAE-01"
