inventory_id,authority_type,title,primary_epic_id,primary_story_id,story_title,source_release_scope,story_release_disposition,story_release_1_role,primary_specs,active_blockers,gate_refs,story_implementation_gate_status,completion_receipt,assignment_basis
ADR-001,ARCHITECTURE_DECISION,Product boundary and modular-monolith architecture,EP-01,ST-01.01,Start and Resume One Target-Profiled Builder Run,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-01;TS-07,,HD-006,BLOCKED_PENDING_HUMAN_DECISION,ST-01.01:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-002,ARCHITECTURE_DECISION,Separate canonical Harness IR and Builder Workflow IR,EP-03,ST-03.03,Maintain One Provenance-Rich Canonical Harness IR,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-06;TS-07;TS-14,,,EVIDENCE_GATED,ST-03.03:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-003,ARCHITECTURE_DECISION,"PostgreSQL event ledger, snapshots, projections, and content-addressed artifacts",EP-10,ST-10.12,"Represent Loading, Empty, Stale, and Disconnected State Honestly",CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-01;TS-02;TS-05;TS-06;TS-10;TS-12;TS-13,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-10.12:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-004,ARCHITECTURE_DECISION,"Deterministic compilers, canonical serialization, and schema evolution",EP-03,ST-03.04,Compile Human and Machine Artifacts Deterministically,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-06;TS-07;TS-09;TS-13,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-03.04:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-005,ARCHITECTURE_DECISION,Explicit human-agent-code authority and command model,EP-03,ST-03.02,Record Human Authority and Resume Genesis Safely,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-01;TS-04;TS-05;TS-07;TS-13,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-03.02:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-006,ARCHITECTURE_DECISION,Temporal workflow-engine adapter with deterministic test runtime,EP-09,ST-09.01,Compile an Actor-Explicit Builder Workflow,CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-14,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-09.01:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-007,ARCHITECTURE_DECISION,Immutable evidence identity and target-specific source profiles,EP-01,ST-01.02,Lock a Safe Target-Specific Evidence Workspace,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-02,BD-004,BD-004;HD-006,BLOCKED_PENDING_HUMAN_DECISION,ST-01.02:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-008,ARCHITECTURE_DECISION,Provider-bounded visual inference with knowledge-status separation,EP-02,ST-02.01,Normalize Evidence into Typed Syntax Observations,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-03;TS-04,BD-004;BD-007,BD-004;BD-007;HD-006,BLOCKED_PENDING_HUMAN_DECISION,ST-02.01:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-009,ARCHITECTURE_DECISION,Versioned skill ecology and deterministic JIT capsule compiler,EP-05,ST-05.04,Assemble a Deterministic Phase-Local JIT Capsule,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-08;TS-09,BD-010,BD-010;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-05.04:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-010,ARCHITECTURE_DECISION,Isolated benchmark governance and maturity receipts,EP-08,ST-08.02,Promote Maturity Only Through Protected Receipts,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-08;TS-10;TS-13,BD-004;BD-008,BD-004;BD-008;HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-08.02:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-011,ARCHITECTURE_DECISION,Event-derived FastAPI and React Control Tower,EP-10,ST-10.12,"Represent Loading, Empty, Stale, and Disconnected State Honestly",CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-12,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-10.12:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-012,ARCHITECTURE_DECISION,Deny-by-default node and implementation-task isolation,EP-09,ST-09.04,"Checkpoint, Isolate, and Resume Work Safely",CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-02;TS-03;TS-14,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-09.04:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-013,ARCHITECTURE_DECISION,Target compilers with frozen external product boundaries,EP-07,ST-07.01,Register Three Distinct Compilation Targets,CROSS_CUTTING,RELEASE_1_THREE_TARGET_STRUCTURAL_FORMAT02_STUBBED_EXTERNAL_HANDOFF,THREE_TARGET_STRUCTURAL_SUPPORT_EXTERNAL_RUNTIME_EXCLUDED,TS-11,BD-014,BD-014,EVIDENCE_GATED,ST-07.01:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-014,ARCHITECTURE_DECISION,Format 02 under 2D Character Animation as the Release 1 slice,EP-12,ST-12.03,Prove the Complete Builder Spine Through Format 02,CROSS_CUTTING,RELEASE_1_FORMAT02_REFERENCE_PROOF_GENERAL_CERTIFICATION_DEFERRED,FORMAT_02_REFERENCE_PATH_PROOF,TS-04;TS-11;TS-15,BD-004;BD-008,BD-004;BD-008;HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-12.03:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-015,ARCHITECTURE_DECISION,No V2.1 migration without repository-local authoritative artifacts,EP-12,ST-12.01,Inventory and Map Proven V2.1 Behavior,CROSS_CUTTING,RELEASE_1_FORMAT02_REFERENCE_PROOF_GENERAL_CERTIFICATION_DEFERRED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,IMPLEMENTATION_BASELINE,,HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-12.01:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-016,ARCHITECTURE_DECISION,Containerized Release 1 topology and OpenTelemetry observability,EP-09,ST-09.07,"Promote, Migrate, Roll Back, and Hotfix Workflow Profiles",CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-12;TS-14,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-09.07:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-017,ARCHITECTURE_DECISION,Mandatory Release 1 Workflow Profiles,EP-09,ST-09.07,"Promote, Migrate, Roll Back, and Hotfix Workflow Profiles",CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-14,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-09.07:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
ADR-018,ARCHITECTURE_DECISION,Stubbed Asset Demand port for the Format 02 reference slice,EP-07,ST-07.03,Compile VAE and Delegation Handoffs Without Implementing Them,CROSS_CUTTING,RELEASE_1_THREE_TARGET_STRUCTURAL_FORMAT02_STUBBED_EXTERNAL_HANDOFF,THREE_TARGET_STRUCTURAL_SUPPORT_EXTERNAL_RUNTIME_EXCLUDED,TS-11;TS-15,BD-014,BD-014,EVIDENCE_GATED,ST-07.03:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-001,BINDING_ANTI_GOAL,Implement the final production harness,EP-01,ST-01.01,Start and Resume One Target-Profiled Builder Run,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-01;TS-13;TS-15,,HD-006,BLOCKED_PENDING_HUMAN_DECISION,ST-01.01:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-002,BINDING_ANTI_GOAL,Become a universal agent factory,EP-01,ST-01.01,Start and Resume One Target-Profiled Builder Run,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-01;TS-11,,HD-006,BLOCKED_PENDING_HUMAN_DECISION,ST-01.01:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-003,BINDING_ANTI_GOAL,Collapse atomic harnesses into a universal creative engine,EP-06,ST-06.01,Bind Every Harness to One of Five Canonical Categories,CROSS_CUTTING,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-04;TS-11,,HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-06.01:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-004,BINDING_ANTI_GOAL,Flatten the five canonical categories,EP-06,ST-06.01,Bind Every Harness to One of Five Canonical Categories,CROSS_CUTTING,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-11,,HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-06.01:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-005,BINDING_ANTI_GOAL,Treat editing Formats 01–08 as cosmetic themes,EP-06,ST-06.02,Compile Category-Local Format and Performance Profiles,CROSS_CUTTING,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-11;TS-15,,HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-06.02:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-006,BINDING_ANTI_GOAL,Infer meaning before parsing syntax,EP-02,ST-02.03,Induce Grammar Only After Syntax Evidence,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-03,,HD-006,BLOCKED_PENDING_HUMAN_DECISION,ST-02.03:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-007,BINDING_ANTI_GOAL,Promote unsupported knowledge,EP-02,ST-02.03,Induce Grammar Only After Syntax Evidence,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-03;TS-05,,HD-006,BLOCKED_PENDING_HUMAN_DECISION,ST-02.03:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-008,BINDING_ANTI_GOAL,Turn every difficult capability into a skill,EP-05,ST-05.02,Prove a Skill Is Needed Before Designing It,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-07;TS-08,,HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-05.02:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-009,BINDING_ANTI_GOAL,Confuse canonical skills and runtime capsules,EP-05,ST-05.04,Assemble a Deterministic Phase-Local JIT Capsule,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-08;TS-09,,HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-05.04:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-010,BINDING_ANTI_GOAL,Ship untested required skills,EP-05,ST-05.03,Package Portable Skills with Behavioral Anchors,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-08;TS-10,,HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-05.03:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-011,BINDING_ANTI_GOAL,Let the model own critical orchestration,EP-09,ST-09.05,Race Candidates and Route Compute Under Human Authority,CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-07;TS-14,,,CONDITIONAL_EXTERNAL_DEPENDENCY,ST-09.05:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-012,BINDING_ANTI_GOAL,Use accumulated conversation history as the main interface,EP-04,ST-04.05,Compile Minimum Complete Context Without Silent Truncation,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-07;TS-14,,,EVIDENCE_GATED,ST-04.05:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-013,BINDING_ANTI_GOAL,Silently truncate required context,EP-04,ST-04.05,Compile Minimum Complete Context Without Silent Truncation,CROSS_CUTTING,RELEASE_1_INCLUDED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-09;TS-14,,,EVIDENCE_GATED,ST-04.05:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
AG-014,BINDING_ANTI_GOAL,Repair outside the responsible layer,EP-08,ST-08.04,Diagnose Root Cause Before Selecting Repair,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,TS-00;TS-07;TS-13,,HD-006;HD-007,BLOCKED_PENDING_HUMAN_DECISION,ST-08.04:StoryCompletionReceipt:<artifact-hash>,vertical decomposition within confirmed primary Epic responsibility
