inventory_id,authority_type,title,implementation_obligation,acceptance_or_enforcement,primary_evidence
ADR-001,ARCHITECTURE_DECISION,Product boundary and modular-monolith architecture,"Keep strict domain/application/adapter boundaries; do not implement an external target runtime.","Architecture tests reject adapter imports from domain and local external-runtime behavior.","architecture-boundary test and file manifest"
AG-001,BINDING_ANTI_GOAL,Implement the final production harness,"Limit code to governed Builder run scaffolding and deterministic test assets.","No production business or creative logic exists in the change set.","scope audit"
AG-002,BINDING_ANTI_GOAL,Become a universal agent factory,"Accept only the three governed compilation-target identities and the authorized Format 02 execution slice.","Unknown or generalized target factories fail closed.","target-profile tests"
D001,LOCKED_DECISION,Product boundary,"Implement harness-development run governance only.","No final production harness or external runtime is implemented.","boundary tests and completion receipt"
D006,LOCKED_DECISION,Lifecycle,"Apply the shared governed lifecycle through a typed target-specific profile.","Format 02 required work is explicit without flattening other target identities.","state-machine and profile tests"
FR-001,FUNCTIONAL_REQUIREMENT,Select one explicit compilation target,"Require exactly one target/profile selection before run creation.","No target and multiple targets are rejected; no silent default exists.","ST-01.01-acceptance"
FR-002,FUNCTIONAL_REQUIREMENT,Create a stable run identity,"Bind run ID, target/profile, compiler version, operator, timestamps and state before evidence work.","All events use one run identity and resume preserves it.","identity and replay tests"
FR-003,FUNCTIONAL_REQUIREMENT,Enforce a typed lifecycle state machine,"Validate states, edges, prerequisites and actor authority before append.","Illegal transitions emit a typed rejection and do not mutate authoritative state.","ST-01.01-failure"
FR-004,FUNCTIONAL_REQUIREMENT,Apply target-specific lifecycle profiles,"Resolve required work through the immutable selected profile.","Authorized Format 02 behavior is profile-specific; external and conversational branches cannot execute.","profile and boundary tests"
FR-005,FUNCTIONAL_REQUIREMENT,Govern lifecycle waivers,"Represent waiver requests with signer, rationale, scope, affected gates and expiry.","Unauthorized, expired or production-gate-bypassing waivers are rejected without mutation.","ST-01.01-authority"
FR-006,FUNCTIONAL_REQUIREMENT,Emit an event for every authoritative transition,"Append one typed immutable event for each accepted authoritative command.","Replay reconstructs state; no UI-only or unrecorded authoritative mutation exists.","event-count and replay tests"
FR-007,FUNCTIONAL_REQUIREMENT,Resume without replaying human decisions,"Select the newest valid checkpoint and replay accepted receipts rather than re-requesting decisions.","Corrupt or incompatible checkpoints block diagnostically and never reset silently.","resume and corrupt-checkpoint tests"
FR-008,FUNCTIONAL_REQUIREMENT,Enforce the Builder product boundary,"Reject commands that cross into generated harness or external target runtime behavior.","Only deterministic Builder run-governance scaffolding is present.","boundary tests"
NFR-REL-002,NON_FUNCTIONAL_REQUIREMENT,Resumability,"Restore from the last committed event/checkpoint without repeating human decisions.","Replay is deterministic and preserves identity, event order and receipt references.","replay determinism test"
NFR-SEC-003,NON_FUNCTIONAL_REQUIREMENT,Authority enforcement,"Deny ratification, waiver, freeze and authorization actions to actors lacking an exact grant.","Every allow/deny is attributable; denial creates no authoritative state event.","authorization matrix test"

