term_id,canonical_name,aliases,type,layer,definition,owner_component,source_of_truth,existing_code_refs,existing_doc_refs,bundle_refs,used_by,depends_on,produces,invariants,failure_modes,status,migration_action
doctrine.doctrine.anti_centroid_doctrine.v1,Anti-Centroid Doctrine,[],doctrine,doctrine,"The system must detect generic, averaged, over-sanitized outputs and preserve specificity and primitive force.",Doctrine Registry,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md"", ""docs/evals/08-tech-specs-doctrine-driven-testing-audit.md"", ""docs/evals/09-tech-specs-doctrine-driven-testing-revision-report.md"", ""docs/stories/story-10-2-memory-review-correction-expiry-and-quarantine.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.authentic_audio_doctrine.v1,Authentic Audio Doctrine,[],doctrine,doctrine,Authentic captured human audio remains the truth anchor; synthetic audio is exceptional and provenance-flagged.,Doctrine Registry,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md"", ""docs/evals/08-tech-specs-doctrine-driven-testing-audit.md"", ""docs/evals/09-tech-specs-doctrine-driven-testing-revision-report.md"", ""docs/stories/story-2-4-voice-dna-boost-eligibility-and-audio-classification.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.composition_before_editing_doctrine.v1,Composition-Before-Editing Doctrine,[],doctrine,doctrine,"No edit, generation, or provider materialization job may run before composition role and decision are recorded.",Doctrine Registry,docs/prd/modules/PRD_CMF_07_Editing_Composition_Rendering.md,"[""docs/prd/modules/PRD_CMF_07_Editing_Composition_Rendering.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/BATCH-01-composition-spine-build-2026-06-25.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-073-canonical-composition-json-registry-and-preview-approval-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-075-operator-composition-and-template-approval-workbench-build.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.compositional_sequencing_doctrine.v1,Compositional Sequencing Doctrine,[],doctrine,doctrine,"Assets must sequence meaning, attention, proof, and payoff across beats/slides/scenes rather than present disconnected outputs.",Doctrine Registry,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-114-conscious-sequencing-contract-kernel-and-registries-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-119-sequence-eval-gates-learning-package-sequencing-build.md"", ""docs/audits/CMF_CONSCIOUS_SEQUENCING_ENGINE_MCDA_SWOT_2026-06-25.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.deterministic_render_doctrine.v1,Deterministic Render Doctrine,[],doctrine,doctrine,"Final renders must be reproducible from frozen contracts, assets, seeds, render container versions, and receipts.",Doctrine Registry,docs/stories/story-8-2-deterministic-remotion-and-motion-canvas-rendering.md,"[""docs/stories/story-8-2-deterministic-remotion-and-motion-canvas-rendering.md"", ""docs/tech-specs/TS-CMF-043-deterministic-remotion-and-motion-canvas-rendering.md"", ""src/ccp_studio/contracts/deterministic_rendering.py"", ""src/ccp_studio/services/deterministic_rendering_service.py""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.doctrine_boundary_layer.v1,Doctrine Boundary Layer,[],doctrine,doctrine,"A hard gate that blocks privacy, consent, source distortion, synthetic voice, or unsafe claims without over-softening creative edge.",Doctrine Registry,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-086-papercut-rig-layer-motion-and-sfx-runtime-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-089-generative-asset-factory-layer-extraction-and-repair-queue-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-103-single-image-provider-job-planner-and-layer-materialization-build.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.edge_integrity_doctrine.v1,Edge Integrity Doctrine,[],doctrine,doctrine,Editing must preserve the non-generic edge product and avoid flattening source meaning into safe centroid advice.,Doctrine Registry,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md"", ""docs/evals/08-tech-specs-doctrine-driven-testing-audit.md"", ""docs/evals/09-tech-specs-doctrine-driven-testing-revision-report.md"", ""docs/stories/story-3-1-migration-ledger-inventory-and-hashing.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.evidence_rich_review_doctrine.v1,Evidence-Rich Review Doctrine,[],doctrine,doctrine,"Operator review must show source, lineage, primitive obligations, eval failures, and proposed repair actions.",Doctrine Registry,docs/stories/story-9-2-evidence-rich-review-surface.md,"[""docs/stories/story-9-2-evidence-rich-review-surface.md"", ""docs/tech-specs/TS-CMF-051-evidence-rich-review-surface.md"", ""docs/stories/story-9-6-telegram-quick-review-with-evidence.md"", ""docs/tech-specs/TS-CMF-055-telegram-quick-review-with-evidence.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.expression_first_doctrine.v1,Expression-First Doctrine,[],doctrine,doctrine,The system must preserve human expression as the source event; assets are phenotypes of captured expression.,Doctrine Registry,docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md,"[""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-083-expression-lineage-and-interview-asset-contract-binding-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-115-interview-brief-v2-sequence-hypothesis-and-expression-acquisition-plan-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-117-expression-ingredient-inventory-relation-graph-build.md""]",[],[],[],[],[],[],[],canonical,keep
doctrine.doctrine.interview_first_doctrine.v1,Interview-First Doctrine,[],doctrine,doctrine,"All production begins from human interview activation and expression, not post-hoc prompt generation.",Doctrine Registry,registries/evals/doctrine/cmf_interview_brief_doctrine_eval.v1.json,"[""registries/evals/doctrine/cmf_interview_brief_doctrine_eval.v1.json"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-078-four-video-format-runtime-and-doctrine-crosswalk-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-083-expression-lineage-and-interview-asset-contract-binding-build.md"", ""docs/architecture/cmf_studio_build_workflow/build_receipts/TS-CMF-115-interview-brief-v2-sequence-hypothesis-and-expression-acquisition-plan-build.md""]",[],[],[],[],[],[],[],canonical,keep
