story_id,global_order,epic_id,title,release_1_role,format02_readiness_classification,full_product_readiness_classification,source_gate_status,dependency_story_ids,primary_blocking_frontier,applicable_blocker_ids,conditionally_inapplicable_blocker_ids,format02_sequence_required,acceptance_tests_complete,observability_evidence_complete,completion_receipt_required,external_product_boundary_valid,ready_for_bounded_capsule,currently_implementation_authorized,rationale
ST-01.01,1,EP-01,Start and Resume One Target-Profiled Builder Run,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,READY,BLOCKED_HUMAN_DECISION,READY_TARGET_CONDITIONAL,,,,HD-006@conversational_execution_only;XDEP-004@conversational_target_only,true,true,true,true,true,true,false,HD-006 is not invoked for Format 02 because the profile collects no Human Reaction material; conversational execution remains fail-closed.
ST-01.02,2,EP-01,Lock a Safe Target-Specific Evidence Workspace,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,DIRECT_PROFILE_EVIDENCE_GATE,ST-01.01,ST-01.02/BD-004[format02_corpus],BD-004,HD-006@conversational_execution_only;BD-014@external_target_branch_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,The first post-root Story requires the authoritative Format 02 corpus scope of BD-004; HD-006 and conversational interface gates are not applicable.
ST-01.03,3,EP-01,Index Every Evidence Specimen with Provenance,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-01.02,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004,HD-006@conversational_execution_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-01.04,4,EP-01,Decide Evidence Saturation Without Inventing Claims,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-01.03,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004,HD-006@conversational_execution_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-02.01,5,EP-02,Normalize Evidence into Typed Syntax Observations,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-01.04,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-007,HD-006@conversational_execution_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-02.02,6,EP-02,"Build Spatial, Temporal, and Reading-Order Graphs",RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-02.01,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-007,HD-006@conversational_execution_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-02.03,7,EP-02,Induce Grammar Only After Syntax Evidence,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-02.02,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-007;BD-008,HD-006@conversational_execution_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-02.04,8,EP-02,Compare Candidate Atomic Product Boundaries,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-02.03,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-007;BD-008,HD-006@conversational_execution_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-02.05,9,EP-02,Ratify and Freeze the Draft Harness Boundary,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_HUMAN_DECISION,INHERITED_EVIDENCE_FRONTIER,ST-02.04,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-007,HD-006@conversational_execution_only;XDEP-004@conversational_target_only,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
ST-03.01,10,EP-03,Ask Only Dependency-Ready Constitutional Questions,RELEASE_1_FORMAT_02_REFERENCE_SUPPORT,BLOCKED_EVIDENCE,BLOCKED_EVIDENCE,INHERITED_EVIDENCE_FRONTIER,ST-01.04;ST-02.05,ST-01.02/BD-004[format02_corpus],BD-004[format02_corpus]@inherited;BD-004;BD-008,,true,true,true,true,true,false,false,"The Story is downstream of ST-01.02, whose Format 02 corpus evidence gate remains open; conditional conversational gates do not create this block."
