concept,existing_code_object,bundle_or_new_object,canonical_name,recommended_action,rationale,priority,target_files
Still visual runtime,StillVisualCompositionProgram / StillVisualRenderManifest,SuperVisualProgram / Single Image Engine,SuperVisualProgram over StillVisual runtime,extend/wrap,"Existing still visual runtime has useful request/stage/render/eval/review structure; new ontology should wrap it with context, ingredients, style route, and composition decision.",P1,src/ccp_studio/contracts/still_visuals.py; src/ccp_studio/services/still_visual_program_service.py
SuperVisual grammar,SuperVisualGrammarRecord / PrimitiveTriadContract,PrimitiveCoalitionContract + CompositionDecisionReceipt,Primitive-governed SuperVisual grammar,extend,"Keep zones and Skia obligations, replace shallow primitive triad with full primitive coalition binding.",P1,src/ccp_studio/contracts/supervisual_grammar.py
Primitive contract,PrimitiveTriadContract,PrimitiveCoalitionContract,PrimitiveCoalitionContract,replace/wrap,Triad is useful but insufficient; convert into V2 coalition with primary/support/suppression/conflict/eval fields.,P0,src/ccp_studio/contracts/asset_program_compilers.py
Visual research,VisualResearchQuery / VisualCandidate / AssetResearchManifest,VisualSchema + VisualIngredientRequirement,Visual Research + Visual Schema pipeline,extend,Existing query is asset search; visual.zip requires upstream Visual Schema before storyboard/provider jobs.,P0,src/ccp_studio/contracts/visual_research.py; src/ccp_studio/services/visual_research_service.py
Asset program catch-all,asset_program_compilers.py large multi-domain file,"Sequence, Carousel, SuperVisual, Video, 2D Character modules",Split asset program compiler domains,split,Current catch-all proves concepts exist but creates domain coupling; split while preserving import aliases.,P1,src/ccp_studio/contracts/asset_program_compilers.py
Video edit program,VideoEditProgram / VideoRenderContract,VideoEditingProgram V2,Primitive-governed VideoEditingProgram,extend,"Existing program has useful refs and render contracts; add primitive coalition, style routes, frame profiles, visual schema, and composition receipts.",P1,src/ccp_studio/contracts/asset_program_compilers.py
Carousel builder,CarouselBuilderProgram / CarouselSequencePlan,Carousel Engine V1,CarouselProgram,extend,Existing builder primitives should be normalized into sequence + slide programs using 44 composition atlas.,P1,src/ccp_studio/contracts/asset_program_compilers.py
Single image engine,SingleImageRouteDecision / SingleImageSkiaScene,SuperVisual Engine / Single Image Engine V2,SingleImageProgram inside SuperVisual,merge,Single image should be lower-level runtime of SuperVisual rather than parallel product object.,P1,src/ccp_studio/contracts/asset_program_compilers.py; src/ccp_studio/contracts/still_visuals.py
2D character,TwoDCharacterGenesis / Rig / SceneProgram,TwoDCharacterProgram bundle,TwoDCharacterProgram,extend,"Existing classes exist; enrich with character performance program, rig version, acting states, paper materiality, and receipts.",P2,src/ccp_studio/contracts/asset_program_compilers.py; src/ccp_studio/contracts/rig_manifest.py; src/ccp_studio/contracts/acting_library.py
Visual preproduction,skill docs in visual.zip,Visual Researcher / Storyboard Composer / Visual Analyst / Storyboard Commander,Visual Pre-Production System,create/wire,"Skills exist outside code; formalize VisualSchema and storyboard program contracts, validators, and provider preflight gates.",P0,visual.zip; src/ccp_studio/contracts/visual_schema.py
Motion style routes,motion.zip skills,CAC / GMG expert style routes,StyleRouteRegistry,create/wire,Motion skills define actual visual style system; create style route registry and provider validators.,P0,motion.zip; registries/composition/visual_style_routes.v1.json
Frame profiles,assembly planner ratios,"1:1 soft-rounded, 9:16, 4:5, 16:9 source-only",FrameProfileRegistry,extend,"Aspect ratios exist technically, but frame treatments need first-class contracts and 16:9 should be source-only for short-form.",P0,src/ccp_studio/services/assembly_planner.py
Asset intelligence,creative_libraries / visual_research partial,Paper-Cut Artifact System / Asset Intelligence,CreativeIngredient + ArtifactAsset,create/extend,"Asset management lacks full scoring, usage, winning, fatigue, paper-cut artifact semantics.",P0,src/ccp_studio/contracts/creative_libraries.py; src/ccp_studio/contracts/visual_research.py
Composition runtime,CompositionTemplateJson / CompositionBeatMap,Composition Decision Receipt / Layer Plan,Composition Program V2,extend,Runtime has templates and beat maps; add composition-before-editing gates and source/ingredient role locks.,P1,src/ccp_studio/contracts/composition_runtime.py
SceneSpec,SceneSpec / RenderContract,SceneSpec V2 / Creative Ingredient bindings,SceneSpec enriched by ontology,extend,Keep scene spec as render boundary; add visual ingredient and style route references.,P1,src/ccp_studio/contracts/scene_spec.py
Sonic timeline,SonicTimelineManifest / AudioMixManifest,Video Engine audio/sound doctrine,SonicPlan V2,extend,Audio timeline exists; add format-specific sound doctrine and authentic audio boundaries.,P2,src/ccp_studio/contracts/sonic_timeline.py
Provider jobs,Provider job receipts/services,Style-route-constrained provider jobs,ProviderJobPlan V2,extend,"Provider jobs should require source references, style route, frame profile, composition role, primitive binding.",P0,src/ccp_studio/contracts/provider_jobs.py; src/ccp_studio/services/provider_request_builder.py
Evaluation receipts,evaluation_receipts.py,Primitive/Taste/Sequence/Composition-specific receipts,EvaluationReceipt V2 taxonomy,extend,Keep receipt infrastructure; add eval namespaces and specific rubrics from bundles.,P1,src/ccp_studio/contracts/evaluation_receipts.py
Operator UI,operator-web existing app,Ontology Browser / Asset Studio / SuperVisual Studio / Carousel / Video workbench,Object-centric Operator Cockpit,extend,"UI should expose lineage, current contract, agent commands, evals, and execution trace by object spine.",P1,operator-web/src
Registry service,registries.py / registry entries,Canonical namespaced registry architecture,Registry Kernel V2,extend,"Existing registries need namespace normalization, schemas, source refs, compatibility fields, and query APIs.",P0,src/ccp_studio/services/registry_service.py; registries/
Publishing,publishing.py / Publer provider,Publishing Intent + performance memory,Publishing/Memory loop,extend,Publishing exists; ensure asset/composition/sequence usage attribution back-propagates performance.,P2,src/ccp_studio/contracts/publishing.py; src/ccp_studio/providers/publer.py
Brand Genesis Engine,partial existing across services/workflows,Brand Genesis Engine bundle/spec,Brand Genesis Engine,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
Interview Intelligence Studio,partial existing across services/workflows,Interview Intelligence Studio bundle/spec,Interview Intelligence Studio,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
Conscious Sequencing Engine,partial existing across services/workflows,Conscious Sequencing Engine bundle/spec,Conscious Sequencing Engine,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
Asset Intelligence System,partial existing across services/workflows,Asset Intelligence System bundle/spec,Asset Intelligence System,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
Paper-Cut Artifact Intelligence System,missing or external skills only,Paper-Cut Artifact Intelligence System bundle/spec,Paper-Cut Artifact Intelligence System,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
SuperVisual Engine,partial existing across services/workflows,SuperVisual Engine bundle/spec,SuperVisual Engine,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
Carousel Engine,partial existing across services/workflows,Carousel Engine bundle/spec,Carousel Engine,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
Video Editing Engine,partial existing across services/workflows,Video Editing Engine bundle/spec,Video Editing Engine,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
2D Character Animation Engine,partial existing across services/workflows,2D Character Animation Engine bundle/spec,2D Character Animation Engine,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
Visual Research Engine,partial existing across services/workflows,Visual Research Engine bundle/spec,Visual Research Engine,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
Style Route Engine,missing or external skills only,Style Route Engine bundle/spec,Style Route Engine,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
Provider Orchestrator,partial existing across services/workflows,Provider Orchestrator bundle/spec,Provider Orchestrator,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
Publishing Engine,partial existing across services/workflows,Publishing Engine bundle/spec,Publishing Engine,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
Memory Engine,partial existing across services/workflows,Memory Engine bundle/spec,Memory Engine,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
Review Engine,partial existing across services/workflows,Review Engine bundle/spec,Review Engine,extend/create,Component should be integrated as a service/workflow over canonical contracts rather than isolated bundle.,P2,
