requirement_id,change_type,previous_authority,current_authority,summary,affected_artifacts,status
"CONST-001","NEW_BINDING_CONSTITUTIONAL_OBLIGATION","No pinned precedence contract in V1.1","V1.2 amendment section 1","Pin Constitution v1.1.0 and apply it to Activative and visual-semantic conflicts","governance/CONSTITUTIONAL_PRECEDENCE_CONTRACT.yaml;docs/tech-specs/ARCHITECTURE_PRESERVATION_CONTRACT.md;docs/architecture/ARCHITECTURE.md;TS-00..TS-15","MAPPED_PATCH_REQUIRED"
"CONST-002","NEW_BINDING_CONSTITUTIONAL_OBLIGATION","Four canonical visual categories","V1.2 amendment section 2","Add conversational_activation_expression and four initial profiles while keeping execution outside Builder","governance/CANONICAL_CATEGORY_REGISTRY.yaml;prd/07-format-category-constitutions.md;TS-11;TS-12;planning inventory","MAPPED_PATCH_REQUIRED"
"CONST-003","EXPANDED_BINDING_CONTRACT","Shared core lacks full rich-object and freeze rules","V1.2 amendment section 3","Preserve rich Activative object references and frozen versions through sparse execution tokens","FR-137;TS-05;TS-06;TS-07;TS-09;TS-11","MAPPED_PATCH_REQUIRED"
"CONST-004","NEW_BINDING_RUNTIME_CHAIN","No typed conversational chain","V1.2 amendment section 4","Compile Activative Calls to Reaction Receipts to Expression Moments to post-expression recompilation and final Content Type Contracts","TS-02;TS-06;TS-07;TS-10;TS-11;TS-12;TS-14","MAPPED_PATCH_REQUIRED"
"CONST-005","EXPANDED_BINDING_RUNTIME_CHAIN","Visual chain does not require the complete semantic lineage","V1.2 amendment section 5","Compile Visual Semantic Pack through Semiotic MCDA Visual Narrative feature contracts Composition Asset Pack Visual Syntax handoff and T/V route request","TS-03;TS-06;TS-07;TS-10;TS-11;TS-13;TS-14;TS-15;ADR-018","MAPPED_PATCH_REQUIRED"
"CONST-006","CLARIFIED_ORDERING_LAW","Visual Syntax First can be misread as runtime order","V1.2 amendment section 6","Keep Visual Syntax First for harness-development discovery and Activation First for runtime production","TS-00;TS-03;TS-05;TS-11;TS-14;TS-15;ADR-008","MAPPED_PATCH_REQUIRED"
"CONST-007","EXPANDED_FAIL_CLOSED_GATE","Wrong-reading locks exist but are not mandatory on every transformative visual contract","V1.2 amendment section 7","Require at least one dominant wrong-reading lock and block readiness when absent","HG-015;TS-03;TS-06;TS-10;TS-11;TS-13;TS-15;Control Tower UX","MAPPED_PATCH_REQUIRED"
"CONST-008","EXPANDED_EVALUATION_CONTRACT","Existing evaluation is generic or Format 02 focused","V1.2 amendment section 8","Add role clarity pattern match pattern interruption prediction payoff affinity anticipation residue anti-cliche no-text survival and wrong-reading rejection","governance/SUCCESS_METRICS.yaml;TS-10;TS-11;TS-12;TS-13;TS-15;ADR-010","MAPPED_PATCH_REQUIRED"
"FR-137","MODIFIED_STABLE_REQUIREMENT","V1.1","V1.2","Constitution-complete Shared Activative Core with Coach or Guest identity rich frozen references smallest useful commitment evaluation contract and conversational form","prd/05-features/F14-format-categories-sequencing.md;governance/REQUIREMENTS_REGISTRY.yaml;governance/REQUIREMENTS_REGISTRY.json;TS-11;planning FR-137","MAPPED_PATCH_REQUIRED"
"FR-139","MODIFIED_STABLE_REQUIREMENT","V1.1","V1.2","Four canonical categories become five including Conversational Activation / Human Expression","prd/05-features/F14-format-categories-sequencing.md;governance/CANONICAL_CATEGORY_REGISTRY.yaml;TS-11;planning FR-139","MAPPED_PATCH_REQUIRED"
"FR-145","MODIFIED_STABLE_REQUIREMENT","V1.1","V1.2","Visual parsing becomes category-native syntax parsing including conversational reaction and Expression Moment syntax","prd/05-features/F14-format-categories-sequencing.md;TS-03;TS-11;planning FR-145","MAPPED_PATCH_REQUIRED"
"FR-146","MODIFIED_STABLE_REQUIREMENT","V1.1","V1.2","Temporal parsing expands to conversational turns silence reactions follow-up and close structure","prd/05-features/F14-format-categories-sequencing.md;TS-11;planning FR-146","MAPPED_PATCH_REQUIRED"
"FR-147","MODIFIED_STABLE_REQUIREMENT","V1.1","V1.2","Sequencing expands from viewer and asset states to participant conversational-turn and expression states plus smallest useful commitment","prd/05-features/F14-format-categories-sequencing.md;TS-11;planning FR-147","MAPPED_PATCH_REQUIRED"
"D031","CONSTITUTIONAL_EXPANSION_WITH_HISTORICAL_RECORD_PRESERVED","Original locked decision names four categories","V1.2 amendment affected base requirements","Keep original decision evidence but apply a machine-readable five-category constitutional overlay","governance/DECISION_REGISTER.md;governance/DECISION_REGISTER.json;governance/PRODUCT_CONSTITUTION.yaml;planning D031","BLOCKED_HD-001"
"HG-015","NEW_READINESS_HARD_GATE","HG-001 through HG-014","V1.2 READINESS_HARD_GATES","Fail when the constitutional semantic stack or conversational category is missing","governance/READINESS_HARD_GATES.yaml;TS-00;TS-13;TS-15;planning hard gates;Control Tower UX","MAPPED_NEW_ROW"
"FR-169","COLLATERAL_CONFLICT_REQUIRES_DECISION","General certification requires all four categories","V1.2 fifth-category authority","Decide whether general certification requires all five categories or separate visual and conversational portfolios","prd/05-features/F16-v2-migration-release.md;governance/REQUIREMENTS_REGISTRY.yaml;governance/REQUIREMENTS_REGISTRY.json;TS-15;planning FR-169","BLOCKED_HD-003"
"A-002","COLLATERAL_CONFLICT_REQUIRES_CORRECTION","Four category names are canonical","V1.2 fifth-category authority","Replace or qualify the stale four-category assumption","governance/ASSUMPTION_REGISTER.yaml;prd/12-assumptions-open-questions.md","BLOCKED_HD-001"
"AG-004","COLLATERAL_CONFLICT_REQUIRES_CORRECTION","Do not flatten the four format categories","V1.2 fifth-category authority","Extend the anti-goal to all five categories without weakening category isolation","governance/ARCHITECTURAL_PROHIBITIONS.json;prd/09-non-goals-anti-goals.md;planning AG-004","MAPPED_PATCH_REQUIRED"
"PRD-RELEASE-PORTFOLIO","COLLATERAL_TEXT_CONFLICT","Remaining three category constitutions","V1.2 fifth-category authority","Release planning must refer to the remaining four non-reference categories unless human scope says otherwise","prd/10-mvp-release-plan.md;addendum/BMAD_METHOD_ADAPTATION.md","BLOCKED_HD-002"
