requirement_id,type,title,source_evidence,locked_decisions,journeys,nfr_links,implementation_evidence,test_evidence,coverage_verdict,coverage_reason
FR-001,FR,Enforce the complete visual asset-resolution promise,prd/05-features/F01-product-constitution-autonomous-authority.md,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,NONE_VERIFIED,NONE_VERIFIED,FAIL,No production code or executable tests exist in this checkout; PRD/governance evidence is specification-only.
FR-002,FR,Preserve semantic sovereignty,prd/05-features/F01-product-constitution-autonomous-authority.md,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,NONE_VERIFIED,NONE_VERIFIED,FAIL,No production code or executable tests exist in this checkout; PRD/governance evidence is specification-only.
FR-003,FR,Operate autonomously inside authorized boundaries,prd/05-features/F01-product-constitution-autonomous-authority.md,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,NONE_VERIFIED,NONE_VERIFIED,FAIL,No production code or executable tests exist in this checkout; PRD/governance evidence is specification-only.
FR-004,FR,Limit human intervention to typed exceptions,prd/05-features/F01-product-constitution-autonomous-authority.md,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,NONE_VERIFIED,NONE_VERIFIED,FAIL,No production code or executable tests exist in this checkout; PRD/governance evidence is specification-only.
FR-005,FR,Apply three acceptance gates,prd/05-features/F01-product-constitution-autonomous-authority.md,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,NONE_VERIFIED,NONE_VERIFIED,FAIL,No production code or executable tests exist in this checkout; PRD/governance evidence is specification-only.
FR-006,FR,Separate human authority from production execution,prd/05-features/F01-product-constitution-autonomous-authority.md,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,NONE_VERIFIED,NONE_VERIFIED,FAIL,No production code or executable tests exist in this checkout; PRD/governance evidence is specification-only.
FR-007,FR,Keep lightweight source provenance without a rights workcell,prd/05-features/F01-product-constitution-autonomous-authority.md,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,NONE_VERIFIED,NONE_VERIFIED,FAIL,No production code or executable tests exist in this checkout; PRD/governance evidence is specification-only.
FR-008,FR,Authorize Architecture before implementation,prd/05-features/F01-product-constitution-autonomous-authority.md,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,NONE_VERIFIED,NONE_VERIFIED,FAIL,No production code or executable tests exist in this checkout; PRD/governance evidence is specification-only.
FR-009,FR,Require a typed Visual Asset Demand,prd/05-features/F02-visual-asset-demand-intake.md,D003|D009|D019|D023|D024|D027|D028,UJ-01|UJ-03|UJ-12|UJ-14,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,NONE_VERIFIED,NONE_VERIFIED,FAIL,No production code or executable tests exist in this checkout; PRD/governance evidence is specification-only.
FR-010,FR,Treat notes as non-authoritative enrichment,prd/05-features/F02-visual-asset-demand-intake.md,D003|D009|D019|D023|D024|D027|D028,UJ-01|UJ-03|UJ-12|UJ-14,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,NONE_VERIFIED,NONE_VERIFIED,FAIL,No production code or executable tests exist in this checkout; PRD/governance evidence is specification-only.
