composition_id,family,compatible_archetypes,compatible_derivatives,content_shapes,formats,provider_mode,eval_profile
BLUNT_IMPERATIVE_POSTER,assertion_commentary,archetype.challenger_frame_breaker.v1|archetype.myth_debunk.v1|archetype.scam_exposure.v1|archetype.mistakes_listicle.v1|archetype.industry_hypocrisy_exposure.v1,asset_derivative.persuasive_micro_claim.v1|asset_derivative.scene_to_principle.v1|asset_derivative.quote_card.v1,single_claim|claim_plus_hero,1:1|4:5,generative_asset_assembly,assertion
QUOTE_ON_CLOSEUP_COMMENTARY,assertion_commentary,archetype.backstory_reveal.v1|archetype.witness_story.v1|archetype.confessional_turn.v1|archetype.ranked_take.v1|reaction.solo_reaction.v1,asset_derivative.thought_whisperer_extract.v1|asset_derivative.quote_card.v1|asset_derivative.quote_to_question.v1|asset_derivative.reaction_seed.v1,quote|quote_plus_portrait,1:1|4:5|9:16,deterministic_plus_cutout,quote_source_fidelity
TWEET_STYLE_COMMENTARY_CARD,documentary_social_card,reaction.solo_reaction.v1|reaction.validation_reaction.v1|archetype.industry_hypocrisy_exposure.v1|archetype.authority_proof_stack.v1,asset_derivative.social_commentary_card.v1|asset_derivative.quote_card.v1|asset_derivative.reaction_seed.v1,social_post|quote_plus_support_media,1:1|4:5,deterministic_plus_cutout,social_source_fidelity
MINIMAL_BLACK_QUOTE_CARD,assertion_commentary,archetype.challenger_frame_breaker.v1|archetype.authority_proof_stack.v1|archetype.myth_debunk.v1|archetype.transformation_story.v1,asset_derivative.persuasive_micro_claim.v1|asset_derivative.thought_whisperer_extract.v1|asset_derivative.quote_card.v1,single_quote|single_claim,1:1|4:5,deterministic_only,assertion
POWERFUL_DEMONSTRATION_SINGLE,conceptual_metaphor,archetype.conceptual_contrast.v1|archetype.core_educator_explainer.v1|archetype.authority_proof_stack.v1|archetype.shocking_comparison.v1|archetype.myth_debunk.v1,asset_derivative.scene_to_principle.v1|asset_derivative.data_story_post.v1|asset_derivative.single_image_metaphor.v1,single_metaphor|visual_proof,1:1|4:5,generative_plate_then_layer,conceptual_metaphor
MAIN_CHARACTER_EMOTIONAL_SCENE,conceptual_metaphor,archetype.transformation_story.v1|archetype.backstory_reveal.v1|archetype.confessional_turn.v1|archetype.witness_story.v1|archetype.worst_case_scenario.v1|archetype.pain_to_relief_contrast.v1,asset_derivative.identity_mirror.v1|asset_derivative.mirror_prompt.v1|asset_derivative.quote_to_question.v1|asset_derivative.single_image_metaphor.v1,emotional_scene|identity_scene,1:1|4:5,generative_plate,emotional_scene
PROBLEM_AMPLIFICATION_URGENCY,conceptual_metaphor,archetype.worst_case_scenario.v1|archetype.fear_anxiety_listicle.v1|archetype.scam_exposure.v1|archetype.industry_hypocrisy_exposure.v1,asset_derivative.persuasive_micro_claim.v1|asset_derivative.single_image_metaphor.v1|asset_derivative.tension_poll.v1,warning_scene|problem_scene,1:1|4:5,generative_plate_then_layer,urgency
CONCEPTUAL_CONTRAST_POSTER_LIGHT,comparison_poll,archetype.conceptual_contrast.v1|archetype.before_after_contrast.v1|archetype.wrong_way_right_way_contrast.v1|archetype.comparison_breakdown.v1,asset_derivative.single_image_comparison.v1|asset_derivative.scene_to_principle.v1|asset_derivative.poll_visual.v1,two_concepts|two_outcomes,4:5,generative_panel_assets,comparison
CONCEPTUAL_CONTRAST_POSTER_DARK,comparison_poll,archetype.conceptual_contrast.v1|archetype.before_after_contrast.v1|archetype.wrong_way_right_way_contrast.v1|archetype.comparison_breakdown.v1|archetype.industry_hypocrisy_exposure.v1,asset_derivative.single_image_comparison.v1|asset_derivative.scene_to_principle.v1|asset_derivative.poll_visual.v1,two_concepts|two_outcomes,4:5,generative_panel_assets,comparison_dark
WOULD_YOU_RATHER_BASIC,comparison_poll,archetype.conceptual_contrast.v1|archetype.before_after_contrast.v1|reaction.vote_then_react.v1|reaction.audience_mirror_quiz.v1,asset_derivative.dilemma_poll.v1|asset_derivative.poll_visual.v1|asset_derivative.tension_poll.v1,two_options|binary_choice,1:1|4:5,generative_asset_assembly,poll
WOULD_YOU_RATHER_IDENTITY_LADDER,comparison_poll,archetype.conceptual_contrast.v1|archetype.before_after_contrast.v1|reaction.audience_mirror_quiz.v1|archetype.transformation_story.v1,asset_derivative.dilemma_poll.v1|asset_derivative.poll_visual.v1|asset_derivative.identity_mirror.v1,two_identity_options|aspirational_choice,1:1|4:5,generative_asset_assembly,poll_identity
COMPARISON_POLL_VERTICAL,comparison_poll,archetype.conceptual_contrast.v1|reaction.vote_then_react.v1|reaction.audience_mirror_quiz.v1|reaction.debate_with_jury_mode.v1,asset_derivative.dilemma_poll.v1|asset_derivative.poll_visual.v1|asset_derivative.tension_poll.v1,two_options|binary_choice,4:5|9:16,generative_asset_assembly,poll
VS_SCORECARD,comparison_poll,archetype.comparison_breakdown.v1|archetype.shocking_comparison.v1|archetype.tier_list_authority.v1|archetype.ranked_take.v1|reaction.debate_with_jury_mode.v1,asset_derivative.single_image_comparison.v1|asset_derivative.data_story_post.v1|asset_derivative.poll_visual.v1,two_sides_with_features|versus_scorecard,1:1|4:5,deterministic_plus_cutout,scorecard
THIS_OR_THAT_DEBATE_CARD,comparison_poll,reaction.debate_with_jury_mode.v1|reaction.vote_then_react.v1|reaction.audience_mirror_quiz.v1|archetype.myth_debunk.v1|archetype.industry_hypocrisy_exposure.v1,asset_derivative.poll_visual.v1|asset_derivative.tension_poll.v1|asset_derivative.reaction_seed.v1,binary_debate|two_positions,1:1|4:5,deterministic_plus_cutout,debate
CARTOON_MORAL_SCENE,cartoon_moral,archetype.transformation_story.v1|archetype.witness_story.v1|archetype.core_educator_explainer.v1|archetype.observational_humor.v1|archetype.achievement_story.v1,asset_derivative.scene_to_principle.v1|asset_derivative.persuasive_micro_claim.v1|asset_derivative.single_image_metaphor.v1,illustrated_moral_scene|single_scene_lesson,1:1,generative_plate_then_layer,cartoon_moral
CARTOON_CHARACTER_PORTRAIT_THESIS,cartoon_moral,archetype.challenger_frame_breaker.v1|archetype.authority_proof_stack.v1|archetype.core_educator_explainer.v1|archetype.status_satire.v1,asset_derivative.persuasive_micro_claim.v1|asset_derivative.identity_mirror.v1|asset_derivative.quote_card.v1,character_thesis|archetype_portrait,1:1|4:5,generative_asset_assembly,character_thesis
CARTOON_OBJECT_METAPHOR,cartoon_moral,archetype.conceptual_contrast.v1|archetype.core_educator_explainer.v1|archetype.myth_debunk.v1|archetype.visual_timeline.v1|archetype.authority_proof_stack.v1,asset_derivative.scene_to_principle.v1|asset_derivative.single_image_metaphor.v1|asset_derivative.persuasive_micro_claim.v1,object_metaphor|concept_scene,1:1,generative_plate_then_layer,object_metaphor
CARTOON_DIPTYCH_CONTRAST,cartoon_framework,archetype.before_after_contrast.v1|archetype.wrong_way_right_way_contrast.v1|archetype.comparison_breakdown.v1|archetype.transformation_story.v1,asset_derivative.single_image_comparison.v1|asset_derivative.scene_to_principle.v1|asset_derivative.identity_mirror.v1,two_panels|two_outcomes,1:1|4:5,generative_panel_assets,framework_diptych
CARTOON_TRIPTYCH_PROGRESS,cartoon_framework,archetype.stepwise_teaching_listicle.v1|archetype.mistakes_listicle.v1|archetype.shocking_listicle.v1|archetype.core_educator_explainer.v1,asset_derivative.single_image_framework.v1|asset_derivative.data_story_post.v1|asset_derivative.scene_to_principle.v1,three_panels|three_steps|three_examples,1:1|4:5,generative_panel_assets,framework_triptych
CARTOON_QUAD_FRAMEWORK,cartoon_framework,archetype.stepwise_teaching_listicle.v1|archetype.mistakes_listicle.v1|archetype.core_educator_explainer.v1|archetype.authority_proof_stack.v1,asset_derivative.single_image_framework.v1|asset_derivative.data_story_post.v1|asset_derivative.scene_to_principle.v1,four_panels|four_states|four_principles,1:1|4:5,generative_panel_assets,framework_quad
PROGRESSION_FRAMEWORK_POSTER,cartoon_framework,archetype.visual_timeline.v1|archetype.transformation_story.v1|archetype.achievement_story.v1|archetype.stepwise_teaching_listicle.v1,asset_derivative.single_image_framework.v1|asset_derivative.scene_to_principle.v1|asset_derivative.data_story_post.v1,path_progression|timeline|stages,1:1|4:5,generative_plate_then_layer,progression
DIFFICULT_CONVERSATION_CARD,assertion_commentary,archetype.confessional_turn.v1|archetype.witness_story.v1|archetype.pain_to_relief_contrast.v1|archetype.challenger_frame_breaker.v1,asset_derivative.scene_to_principle.v1|asset_derivative.mirror_prompt.v1|asset_derivative.quote_to_question.v1,relational_scene|emotional_claim,1:1|4:5,generative_asset_assembly,relational
ONE_SCENE_TWO_SCENARIOS,conceptual_metaphor,archetype.worst_case_scenario.v1|archetype.conceptual_contrast.v1|archetype.before_after_contrast.v1|archetype.comparison_breakdown.v1,asset_derivative.single_image_comparison.v1|asset_derivative.dilemma_poll.v1|asset_derivative.scene_to_principle.v1,two_scenarios|branching_outcomes,1:1|4:5,generative_panel_assets,two_scenarios
SPORTS_STAT_COLLAGE,sports_collage,archetype.ranked_take.v1|archetype.authority_proof_stack.v1|archetype.shocking_comparison.v1|archetype.tier_list_authority.v1,asset_derivative.data_story_post.v1|asset_derivative.single_image_comparison.v1,sports_stats|photo_collage|ranking,4:5,deterministic_plus_cutout,sports_stats
SPORTS_QUOTE_CLOSEUP,sports_collage,archetype.ranked_take.v1|archetype.authority_proof_stack.v1|reaction.solo_reaction.v1|archetype.shocking_comparison.v1,asset_derivative.quote_card.v1|asset_derivative.social_commentary_card.v1|asset_derivative.reaction_seed.v1,sports_quote|photo_quote,4:5,deterministic_plus_cutout,sports_quote
LIVE_SHOW_FLYER,promo_live,archetype.authority_proof_stack.v1|archetype.backstory_reveal.v1|archetype.core_educator_explainer.v1,asset_derivative.live_promo.v1,event_promo|live_show,1:1|4:5|9:16,deterministic_plus_cutout,promo
EXPERT_FLYER_MINIMAL,promo_live,archetype.authority_proof_stack.v1|archetype.core_educator_explainer.v1|archetype.backstory_reveal.v1,asset_derivative.live_promo.v1|asset_derivative.quote_card.v1,expert_promo|episode_release,1:1|4:5,deterministic_plus_cutout,promo_minimal
SOCIAL_SCREENSHOT_REACTION_CARD,documentary_social_card,reaction.solo_reaction.v1|reaction.validation_reaction.v1|archetype.authority_proof_stack.v1|archetype.industry_hypocrisy_exposure.v1,asset_derivative.social_commentary_card.v1|asset_derivative.reaction_seed.v1|asset_derivative.quote_to_question.v1,social_reaction|comment_response,1:1|4:5,deterministic_plus_cutout,social_source_fidelity
