fr_id,feature_id,feature_title,title,owning_product,primary_story_id,primary_tech_spec_id,requirement,trigger_preconditions,required_output_transition,invariants,positive_given,positive_when,positive_then,adversarial_given,adversarial_then,required_evidence,downstream_consumer,downstream_failure,decision_ref,source_refs,lifecycle
AIR-FR-001,F01,"Constitutional Authority, Activation Domains, and Epistemic State",Declare exactly one activation domain,Program Control,AIR-ST-01.01,TS-AIR-001,"Every activative program and semantic object shall declare exactly one primary activation domain—source, relationship, audience, campaign, or derivative—and may reference other domains only through typed handoffs.","A source, relationship, audience, or campaign request introduces a semantic claim or a change to an existing claim.","A versioned semantic object exists with one domain, field-level epistemic states, lineage, lifecycle status, and a non-compensable evaluation receipt.","Source, relationship, and audience activation remain distinct programs. | Planned intent never becomes observed truth by implication. | Rejected and superseded claims remain available as negative and historical evidence. | Activative Contract Compiler is not represented as the Activative Intelligence Runtime.","A source, relationship, audience, or campaign request introduces a semantic claim or a change to an existing claim.",the Runtime performs **declare exactly one activation domain** under the active feature contract,"Every activative program and semantic object shall declare exactly one primary activation domain—source, relationship, audience, campaign, or derivative—and may reference other domains only through typed handoffs, and the resulting state is eligible for the feature terminal condition: A versioned semantic object exists with one domain, field-level epistemic states, lineage, lifecycle status, and a non-compensable evaluation receipt.","the input is stale, contradictory, unresolved, or cannot support the claimed state transition",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F02,"a planned assertion is presented downstream as observed human truth, corrupting every later activation and evaluation claim",AIR-D006,SRC-AI2-001 | SRC-AHP-001 | SRC-DOCTRINE-001,NEW_V2_1_OR_DEEPENED
AIR-FR-002,F01,"Constitutional Authority, Activation Domains, and Epistemic State",Preserve field-level epistemic state,Program Control,AIR-ST-01.01,TS-AIR-001,"Every material field shall declare whether it is planned, observed, inferred, operator-confirmed, rejected, or superseded instead of inheriting one undifferentiated object status.","A source, relationship, audience, or campaign request introduces a semantic claim or a change to an existing claim.","A versioned semantic object exists with one domain, field-level epistemic states, lineage, lifecycle status, and a non-compensable evaluation receipt.","Source, relationship, and audience activation remain distinct programs. | Planned intent never becomes observed truth by implication. | Rejected and superseded claims remain available as negative and historical evidence. | Activative Contract Compiler is not represented as the Activative Intelligence Runtime.","A source, relationship, audience, or campaign request introduces a semantic claim or a change to an existing claim.",the Runtime performs **preserve field-level epistemic state** under the active feature contract,"Every material field shall declare whether it is planned, observed, inferred, operator-confirmed, rejected, or superseded instead of inheriting one undifferentiated object status, and the resulting state is eligible for the feature terminal condition: A versioned semantic object exists with one domain, field-level epistemic states, lineage, lifecycle status, and a non-compensable evaluation receipt.","a planned, inferred, rejected, or superseded field is presented without its exact epistemic state",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F02,"a planned assertion is presented downstream as observed human truth, corrupting every later activation and evaluation claim",AIR-D006,SRC-AI2-001 | SRC-AHP-001 | SRC-DOCTRINE-001,NEW_V2_1_OR_DEEPENED
AIR-FR-003,F01,"Constitutional Authority, Activation Domains, and Epistemic State",Version and supersede semantic objects additively,Program Control,AIR-ST-01.02,TS-AIR-001,Semantic changes shall create immutable successor versions with explicit supersession and invalidation edges; prior versions remain replayable.,"A source, relationship, audience, or campaign request introduces a semantic claim or a change to an existing claim.","A versioned semantic object exists with one domain, field-level epistemic states, lineage, lifecycle status, and a non-compensable evaluation receipt.","Source, relationship, and audience activation remain distinct programs. | Planned intent never becomes observed truth by implication. | Rejected and superseded claims remain available as negative and historical evidence. | Activative Contract Compiler is not represented as the Activative Intelligence Runtime.","A source, relationship, audience, or campaign request introduces a semantic claim or a change to an existing claim.",the Runtime performs **version and supersede semantic objects additively** under the active feature contract,"Semantic changes shall create immutable successor versions with explicit supersession and invalidation edges; prior versions remain replayable, and the resulting state is eligible for the feature terminal condition: A versioned semantic object exists with one domain, field-level epistemic states, lineage, lifecycle status, and a non-compensable evaluation receipt.","the input is stale, contradictory, unresolved, or cannot support the claimed state transition",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F02,"a planned assertion is presented downstream as observed human truth, corrupting every later activation and evaluation claim",AIR-D006,SRC-AI2-001 | SRC-AHP-001 | SRC-DOCTRINE-001,NEW_V2_1_OR_DEEPENED
AIR-FR-004,F01,"Constitutional Authority, Activation Domains, and Epistemic State",Prevent planned intent from manufacturing observed truth,Program Control,AIR-ST-01.02,TS-AIR-001,"The Runtime shall reject any transition that treats a Brief, hypothesis, intended role, or planned tag as evidence that a human expression or audience reaction occurred.","A source, relationship, audience, or campaign request introduces a semantic claim or a change to an existing claim.","A versioned semantic object exists with one domain, field-level epistemic states, lineage, lifecycle status, and a non-compensable evaluation receipt.","Source, relationship, and audience activation remain distinct programs. | Planned intent never becomes observed truth by implication. | Rejected and superseded claims remain available as negative and historical evidence. | Activative Contract Compiler is not represented as the Activative Intelligence Runtime.","A source, relationship, audience, or campaign request introduces a semantic claim or a change to an existing claim.",the Runtime performs **prevent planned intent from manufacturing observed truth** under the active feature contract,"The Runtime shall reject any transition that treats a Brief, hypothesis, intended role, or planned tag as evidence that a human expression or audience reaction occurred, and the resulting state is eligible for the feature terminal condition: A versioned semantic object exists with one domain, field-level epistemic states, lineage, lifecycle status, and a non-compensable evaluation receipt.","a planned, inferred, rejected, or superseded field is presented without its exact epistemic state",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F02,"a planned assertion is presented downstream as observed human truth, corrupting every later activation and evaluation claim",AIR-D006,SRC-AI2-001 | SRC-AHP-001 | SRC-DOCTRINE-001,NEW_V2_1_OR_DEEPENED
AIR-FR-005,F01,"Constitutional Authority, Activation Domains, and Epistemic State",Compile cross-domain semantic lineage,Program Control,AIR-ST-01.03,TS-AIR-001,"Every handoff between source, relationship, audience, campaign, and derivative activation shall preserve the originating objects, transformations, and authority boundaries.","A source, relationship, audience, or campaign request introduces a semantic claim or a change to an existing claim.","A versioned semantic object exists with one domain, field-level epistemic states, lineage, lifecycle status, and a non-compensable evaluation receipt.","Source, relationship, and audience activation remain distinct programs. | Planned intent never becomes observed truth by implication. | Rejected and superseded claims remain available as negative and historical evidence. | Activative Contract Compiler is not represented as the Activative Intelligence Runtime.","A source, relationship, audience, or campaign request introduces a semantic claim or a change to an existing claim.",the Runtime performs **compile cross-domain semantic lineage** under the active feature contract,"Every handoff between source, relationship, audience, campaign, and derivative activation shall preserve the originating objects, transformations, and authority boundaries, and the resulting state is eligible for the feature terminal condition: A versioned semantic object exists with one domain, field-level epistemic states, lineage, lifecycle status, and a non-compensable evaluation receipt.","the input is stale, contradictory, unresolved, or cannot support the claimed state transition",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F02,"a planned assertion is presented downstream as observed human truth, corrupting every later activation and evaluation claim",AIR-D006,SRC-AI2-001 | SRC-AHP-001 | SRC-DOCTRINE-001,NEW_V2_1_OR_DEEPENED
AIR-FR-006,F01,"Constitutional Authority, Activation Domains, and Epistemic State",Issue lifecycle and epistemology evaluation receipts,Program Control,AIR-ST-01.03,TS-AIR-001,"Independent evaluation shall verify domain fit, epistemic correctness, lifecycle legality, and claim ceiling before a semantic object becomes eligible downstream.","A source, relationship, audience, or campaign request introduces a semantic claim or a change to an existing claim.","A versioned semantic object exists with one domain, field-level epistemic states, lineage, lifecycle status, and a non-compensable evaluation receipt.","Source, relationship, and audience activation remain distinct programs. | Planned intent never becomes observed truth by implication. | Rejected and superseded claims remain available as negative and historical evidence. | Activative Contract Compiler is not represented as the Activative Intelligence Runtime.","A source, relationship, audience, or campaign request introduces a semantic claim or a change to an existing claim.",the Runtime performs **issue lifecycle and epistemology evaluation receipts** under the active feature contract,"Independent evaluation shall verify domain fit, epistemic correctness, lifecycle legality, and claim ceiling before a semantic object becomes eligible downstream, and the resulting state is eligible for the feature terminal condition: A versioned semantic object exists with one domain, field-level epistemic states, lineage, lifecycle status, and a non-compensable evaluation receipt.","the implementation is outside its capability envelope, approves itself, or crosses the declared product boundary",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F02,"a planned assertion is presented downstream as observed human truth, corrupting every later activation and evaluation claim",AIR-D006,SRC-AI2-001 | SRC-AHP-001 | SRC-DOCTRINE-001,NEW_V2_1_OR_DEEPENED
AIR-FR-007,F02,"Identity, Context Premise, Resonance, and Matrix of Edging",Load immutable identity and brand context references,Activative Intelligence Runtime,AIR-ST-02.01,TS-AIR-002,"The Runtime shall resolve exact Identity DNA, Brand Context Version, Brand Genesis Session, Voice DNA, and Visual DNA references required by the current activation objective.","An operator selects a guest, coach, audience, interviewer, relationship stage, or source objective.","The Runtime emits a source-backed broad signal, candidate pressures, survived edges, and identity observations with exact epistemic state and no direct Identity DNA mutation.","Identity DNA remains human-owned. | The Matrix of Edging is not a generic topic brainstorm. | Interviewer Resonance is evidence-bearing context, not a fabricated persona. | An Edge Product is formed only after candidate survival and, where applicable, reaction evidence.","An operator selects a guest, coach, audience, interviewer, relationship stage, or source objective.",the Runtime performs **load immutable identity and brand context references** under the active feature contract,"The Runtime shall resolve exact Identity DNA, Brand Context Version, Brand Genesis Session, Voice DNA, and Visual DNA references required by the current activation objective, and the resulting state is eligible for the feature terminal condition: The Runtime emits a source-backed broad signal, candidate pressures, survived edges, and identity observations with exact epistemic state and no direct Identity DNA mutation.","the active Brand Context, Voice DNA, Visual DNA, or Final Script version does not match the one authorized for the derivative",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F03,the interview pressure misses the guest’s actual identity layer and produces polished but non-revealing answers,AIR-D007,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-BRAND-001 | SRC-RSCS-001 | SRC-CCV-001,NEW_V2_1_OR_DEEPENED
AIR-FR-008,F02,"Identity, Context Premise, Resonance, and Matrix of Edging",Compile the audience Context Premise,Activative Intelligence Runtime,AIR-ST-02.01,TS-AIR-002,"The Runtime shall represent the audience situation, self-perception, pressure, desired movement, probable defenses, and relationship stage as a versioned Context Premise.","An operator selects a guest, coach, audience, interviewer, relationship stage, or source objective.","The Runtime emits a source-backed broad signal, candidate pressures, survived edges, and identity observations with exact epistemic state and no direct Identity DNA mutation.","Identity DNA remains human-owned. | The Matrix of Edging is not a generic topic brainstorm. | Interviewer Resonance is evidence-bearing context, not a fabricated persona. | An Edge Product is formed only after candidate survival and, where applicable, reaction evidence.","An operator selects a guest, coach, audience, interviewer, relationship stage, or source objective.",the Runtime performs **compile the audience context premise** under the active feature contract,"The Runtime shall represent the audience situation, self-perception, pressure, desired movement, probable defenses, and relationship stage as a versioned Context Premise, and the resulting state is eligible for the feature terminal condition: The Runtime emits a source-backed broad signal, candidate pressures, survived edges, and identity observations with exact epistemic state and no direct Identity DNA mutation.","the proposed campaign repeats an exhausted role, structure, Primitive signature, or archetype beyond its current freshness limit",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F03,the interview pressure misses the guest’s actual identity layer and produces polished but non-revealing answers,AIR-D007,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-BRAND-001 | SRC-RSCS-001 | SRC-CCV-001,NEW_V2_1_OR_DEEPENED
AIR-FR-009,F02,"Identity, Context Premise, Resonance, and Matrix of Edging",Represent Interviewer Resonance and relationship context,Activative Intelligence Runtime,AIR-ST-02.02,TS-AIR-002,"Source activation shall include the interviewer’s real resonance, lived stake, curiosity, and current relationship context when those conditions materially affect the guest response.","An operator selects a guest, coach, audience, interviewer, relationship stage, or source objective.","The Runtime emits a source-backed broad signal, candidate pressures, survived edges, and identity observations with exact epistemic state and no direct Identity DNA mutation.","Identity DNA remains human-owned. | The Matrix of Edging is not a generic topic brainstorm. | Interviewer Resonance is evidence-bearing context, not a fabricated persona. | An Edge Product is formed only after candidate survival and, where applicable, reaction evidence.","An operator selects a guest, coach, audience, interviewer, relationship stage, or source objective.",the Runtime performs **represent interviewer resonance and relationship context** under the active feature contract,"Source activation shall include the interviewer’s real resonance, lived stake, curiosity, and current relationship context when those conditions materially affect the guest response, and the resulting state is eligible for the feature terminal condition: The Runtime emits a source-backed broad signal, candidate pressures, survived edges, and identity observations with exact epistemic state and no direct Identity DNA mutation.",the requested relationship move is inconsistent with the current relationship stage or observed readiness evidence,typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity | source spans, word/phrase timing, speakers, audio/visual observations, planned–observed delta, and expression decision",F03,the interview pressure misses the guest’s actual identity layer and produces polished but non-revealing answers,AIR-D007,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-BRAND-001 | SRC-RSCS-001 | SRC-CCV-001,NEW_V2_1_OR_DEEPENED
AIR-FR-010,F02,"Identity, Context Premise, Resonance, and Matrix of Edging",Compile the Matrix broad signal,Activative Intelligence Runtime,AIR-ST-02.02,TS-AIR-002,"The Matrix compiler shall intersect guest truth, audience reality, interviewer or relationship resonance, and current objective to produce a broad signal before edge candidates are ranked.","An operator selects a guest, coach, audience, interviewer, relationship stage, or source objective.","The Runtime emits a source-backed broad signal, candidate pressures, survived edges, and identity observations with exact epistemic state and no direct Identity DNA mutation.","Identity DNA remains human-owned. | The Matrix of Edging is not a generic topic brainstorm. | Interviewer Resonance is evidence-bearing context, not a fabricated persona. | An Edge Product is formed only after candidate survival and, where applicable, reaction evidence.","An operator selects a guest, coach, audience, interviewer, relationship stage, or source objective.",the Runtime performs **compile the matrix broad signal** under the active feature contract,"The Matrix compiler shall intersect guest truth, audience reality, interviewer or relationship resonance, and current objective to produce a broad signal before edge candidates are ranked, and the resulting state is eligible for the feature terminal condition: The Runtime emits a source-backed broad signal, candidate pressures, survived edges, and identity observations with exact epistemic state and no direct Identity DNA mutation.","the input is stale, contradictory, unresolved, or cannot support the claimed state transition",typed blocker before downstream eligibility; no synthesized source truth or authority,"exact input object IDs, versions, hashes, and source references | the active contract, product owner, actor identity, and lifecycle transition | positive and adversarial validation results with immutable receipt identity",F03,the interview pressure misses the guest’s actual identity layer and produces polished but non-revealing answers,AIR-D007,SRC-INT-001 | SRC-INT-002 | SRC-MOE-001 | SRC-BRAND-001 | SRC-RSCS-001 | SRC-CCV-001,NEW_V2_1_OR_DEEPENED
