spec_id,title,feature_id,gate,status,controlling_frs,controlling_stories,active_primitives,spec_path,target_module,target_service,target_test
TS-AIR-001,"Constitutional Authority, Activation Domains, and Epistemic State",F01,GATE_A_CONSTITUTIONAL_AND_CONTRACT_FOUNDATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-001|AIR-FR-002|AIR-FR-003|AIR-FR-004|AIR-FR-005|AIR-FR-006,AIR-ST-01.01|AIR-ST-01.02|AIR-ST-01.03,PRM-PSY-008|PRM-VSG-003|EXP-FBK-001,specs/TS-AIR-001-constitutional-authority-activation-domains-and-epistemic-state.md,src/cmf_activative_intelligence/constitutional_authority_activation_domains_and_epistemic_state.py,src/cmf_activative_intelligence/services/constitutional_authority_activation_domains_and_epistemic_state_service.py,tests/integration/test_constitutional_authority_activation_domains_and_epistemic_state.py
TS-AIR-002,"Identity, Context Premise, Resonance, and Matrix of Edging",F02,GATE_A_CONSTITUTIONAL_AND_CONTRACT_FOUNDATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-007|AIR-FR-008|AIR-FR-009|AIR-FR-010|AIR-FR-011|AIR-FR-012,AIR-ST-02.01|AIR-ST-02.02|AIR-ST-02.03,PRM-PSY-001|PRM-PSY-008|PRM-PRS-015,specs/TS-AIR-002-identity-context-resonance-and-matrix-of-edging.md,src/cmf_activative_intelligence/identity_context_resonance_and_matrix_of_edging.py,src/cmf_activative_intelligence/services/identity_context_resonance_and_matrix_of_edging_service.py,tests/integration/test_identity_context_resonance_and_matrix_of_edging.py
TS-AIR-003,Activation Hypothesis Portfolio and Comparative Search,F03,GATE_A_CONSTITUTIONAL_AND_CONTRACT_FOUNDATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-013|AIR-FR-014|AIR-FR-015|AIR-FR-016|AIR-FR-017|AIR-FR-018,AIR-ST-03.01|AIR-ST-03.02|AIR-ST-03.03,PRM-PSY-001|PRM-PRS-015|PRM-HUM-021,specs/TS-AIR-003-activation-hypothesis-portfolio-and-comparative-search.md,src/cmf_activative_intelligence/activation_hypothesis_portfolio_and_comparative_search.py,src/cmf_activative_intelligence/services/activation_hypothesis_portfolio_and_comparative_search_service.py,tests/integration/test_activation_hypothesis_portfolio_and_comparative_search.py
TS-AIR-004,Primitive Family Registry and Primitive Binding,F04,GATE_A_CONSTITUTIONAL_AND_CONTRACT_FOUNDATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-019|AIR-FR-020|AIR-FR-021|AIR-FR-022|AIR-FR-023|AIR-FR-024,AIR-ST-04.01|AIR-ST-04.02|AIR-ST-04.03,PRM-BUS-001|PRM-BUS-006|PRM-PSY-001,specs/TS-AIR-004-primitive-family-registry-and-primitive-binding.md,src/cmf_activative_intelligence/primitive_family_registry_and_primitive_binding.py,src/cmf_activative_intelligence/services/primitive_family_registry_and_primitive_binding_service.py,tests/integration/test_primitive_family_registry_and_primitive_binding.py
TS-AIR-005,"Primitive Coalition Contract, Coalition Signature, Edge Product, and Steering Recipes",F05,GATE_A_CONSTITUTIONAL_AND_CONTRACT_FOUNDATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-025|AIR-FR-026|AIR-FR-027|AIR-FR-028|AIR-FR-029|AIR-FR-030,AIR-ST-05.01|AIR-ST-05.02|AIR-ST-05.03,PRM-PRS-002|PRM-PRS-009|PRM-PRS-015,specs/TS-AIR-005-primitive-coalition-signature-edge-product-and-steering-recipes.md,src/cmf_activative_intelligence/primitive_coalition_signature_edge_product_and_steering_recipes.py,src/cmf_activative_intelligence/services/primitive_coalition_signature_edge_product_and_steering_recipes_service.py,tests/integration/test_primitive_coalition_signature_edge_product_and_steering_recipes.py
TS-AIR-006,Archetype Coalition and Psychological Role Inside a Tension,F06,GATE_A_CONSTITUTIONAL_AND_CONTRACT_FOUNDATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-031|AIR-FR-032|AIR-FR-033|AIR-FR-034|AIR-FR-035|AIR-FR-036,AIR-ST-06.01|AIR-ST-06.02|AIR-ST-06.03,PRM-PSY-001|PRM-PRS-002|PRM-HUM-021,specs/TS-AIR-006-archetype-coalition-and-psychological-role-inside-tension.md,src/cmf_activative_intelligence/archetype_coalition_and_psychological_role_inside_tension.py,src/cmf_activative_intelligence/services/archetype_coalition_and_psychological_role_inside_tension_service.py,tests/integration/test_archetype_coalition_and_psychological_role_inside_tension.py
TS-AIR-007,"Brand Genesis, Voice DNA, Visual DNA, and Distillation Layers",F07,GATE_A_CONSTITUTIONAL_AND_CONTRACT_FOUNDATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-037|AIR-FR-038|AIR-FR-039|AIR-FR-040|AIR-FR-041|AIR-FR-042,AIR-ST-07.01|AIR-ST-07.02|AIR-ST-07.03,PRM-VOC-009|PRM-VSG-003|PRM-VSG-021,specs/TS-AIR-007-brand-genesis-voice-visual-dna-and-distillation-layers.md,src/cmf_activative_intelligence/brand_genesis_voice_visual_dna_and_distillation_layers.py,src/cmf_activative_intelligence/services/brand_genesis_voice_visual_dna_and_distillation_layers_service.py,tests/integration/test_brand_genesis_voice_visual_dna_and_distillation_layers.py
TS-AIR-008,Planned Activative Intelligence and Interview Asset Contracts,F08,GATE_A_CONSTITUTIONAL_AND_CONTRACT_FOUNDATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-043|AIR-FR-044|AIR-FR-045|AIR-FR-046|AIR-FR-047|AIR-FR-048,AIR-ST-08.01|AIR-ST-08.02|AIR-ST-08.03,PRM-PRS-009|PRM-PRS-002|PRM-PSY-008,specs/TS-AIR-008-planned-activative-intelligence-and-interview-asset-contracts.md,src/cmf_activative_intelligence/planned_activative_intelligence_and_interview_asset_contracts.py,src/cmf_activative_intelligence/services/planned_activative_intelligence_and_interview_asset_contracts_service.py,tests/integration/test_planned_activative_intelligence_and_interview_asset_contracts.py
TS-AIR-009,Live Narrative State Induction and Interviewer Resonance,F09,GATE_B_VERTICAL_RUNTIME_AND_INTEGRATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-049|AIR-FR-050|AIR-FR-051|AIR-FR-052|AIR-FR-053|AIR-FR-054,AIR-ST-09.01|AIR-ST-09.02|AIR-ST-09.03,PRM-PSY-008|EXP-FBK-001|PRM-PRS-009,specs/TS-AIR-009-live-narrative-state-induction-and-interviewer-resonance.md,src/cmf_activative_intelligence/live_narrative_state_induction_and_interviewer_resonance.py,src/cmf_activative_intelligence/services/live_narrative_state_induction_and_interviewer_resonance_service.py,tests/integration/test_live_narrative_state_induction_and_interviewer_resonance.py
TS-AIR-010,Reaction Observation and Reaction Receipts,F10,GATE_B_VERTICAL_RUNTIME_AND_INTEGRATION,DRAFT_AFTER_PRD_PENDING_RATIFICATION,AIR-FR-055|AIR-FR-056|AIR-FR-057|AIR-FR-058|AIR-FR-059|AIR-FR-060,AIR-ST-10.01|AIR-ST-10.02|AIR-ST-10.03,EXP-FBK-001|PRM-PSY-001|PRM-VSG-021,specs/TS-AIR-010-reaction-observation-and-reaction-receipts.md,src/cmf_activative_intelligence/reaction_observation_and_reaction_receipts.py,src/cmf_activative_intelligence/services/reaction_observation_and_reaction_receipts_service.py,tests/integration/test_reaction_observation_and_reaction_receipts.py
