file_path,identifier,described_meaning,reported_owner,reported_status,reported_severity,recorded_date,record_activity,record_scope,reconciliation_disposition,canonical_registry_pointer
CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI-001.yaml,XRI-001,RC1 source-kind interview-provenance clean-layout and packaging defect,03_DELEGATION_PROTOCOL,resolved,blocking,2026-07-14,historical,program_level,aligned_controlled_status_and_retained_as_historical_resolution_receipt,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-001
CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/CROSS_REPO_ISSUES.md,XRI-001,RC1 source-kind and interview-provenance consumer rejection,03_DELEGATION_PROTOCOL,resolved,blocking,2026-07-15,active,program_level,replaced_with_registry_navigation,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-001
CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/CROSS_REPO_ISSUES.md,XRI-002,Conversational Activation category adoption,01_ATOMIC_HARNESS_BUILDER,resolved,high,2026-07-15,active,program_level,replaced_with_registry_navigation,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-002
CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/STATUS_TRUTH_RECONCILIATION.yaml,XRI-001,RC1 migration and rejection evidence,03_DELEGATION_PROTOCOL,resolved,blocking,2026-07-15,active,program_level,canonical_reference_retained,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-001
CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/MASTER_STATUS.md,XRI-001,Canonical RC1 defect plus historical formal-audit boundary,03_DELEGATION_PROTOCOL,resolved,blocking,2026-07-15,active,program_status,updated_to_post_reconciliation_truth_without_rerunning_audit,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-001
CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/MASTER_STATUS.md,XRI-002,Canonical Builder category-adoption issue plus historical formal-audit boundary,01_ATOMIC_HARNESS_BUILDER,resolved,high,2026-07-15,active,program_status,updated_to_post_reconciliation_truth_without_rerunning_audit,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-002
CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/CROSS_REPO_CONVERGENCE_REPORT.md,XRI-001,Canonical RC1 defect contrasted with Delegation missing-source misuse,CMF_PROGRAM_CONTROL,failed_audit_dimension,blocking,2026-07-15,historical,historical_audit,retained_unchanged_as_formal_audit_evidence,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-001
CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/CROSS_REPO_CONVERGENCE_REPORT.md,XRI-002,Canonical category adoption contrasted with Delegation missing-adapter misuse,CMF_PROGRAM_CONTROL,failed_audit_dimension,blocking,2026-07-15,historical,historical_audit,retained_unchanged_as_formal_audit_evidence,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-002
CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/CONVERGENCE_VERDICT.yaml,XRI-001,Global identity and state conflict finding,CMF_PROGRAM_CONTROL,failed_audit_dimension,blocking,2026-07-15,historical,historical_audit,retained_unchanged_as_formal_audit_evidence,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-001
CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/CONVERGENCE_VERDICT.yaml,XRI-002,Global identity and state conflict finding,CMF_PROGRAM_CONTROL,failed_audit_dimension,blocking,2026-07-15,historical,historical_audit,retained_unchanged_as_formal_audit_evidence,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-002
CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/CONTRACT_HASH_MATRIX.csv,XRI-001,Audit expectation of one globally unique meaning and state,CMF_PROGRAM_CONTROL,FAIL,blocking,2026-07-15,historical,historical_audit,retained_unchanged_as_formal_audit_evidence,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-001
CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/CONTRACT_HASH_MATRIX.csv,XRI-002,Audit expectation of one globally unique meaning and state,CMF_PROGRAM_CONTROL,FAIL,blocking,2026-07-15,historical,historical_audit,retained_unchanged_as_formal_audit_evidence,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-002
CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/ALIGNMENT_DASHBOARD.md,XRI-001,Canonical RC1 defect and post-audit reconciliation status,03_DELEGATION_PROTOCOL,resolved,blocking,2026-07-15,active,program_status,updated_to_post_reconciliation_validation_pass,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-001
CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/ALIGNMENT_DASHBOARD.md,XRI-002,Canonical Builder category-adoption issue and post-audit reconciliation status,01_ATOMIC_HARNESS_BUILDER,resolved,high,2026-07-15,active,program_status,updated_to_post_reconciliation_validation_pass,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-002
03_DELEGATION_PROTOCOL/CROSS_REPO_ISSUES.md,XRI-001,Missing immutable upstream source artifacts and reproducible exact diffs,product_governance_vae_delegation,open,critical,2026-07-14,active_pre_reconciliation,repository_local,remapped_to_DLG-ISSUE-001,CMF_PROGRAM_CONTROL/04_CROSS_REPO_ISSUES/XRI_REGISTRY.yaml#XRI-001
