source_id,title,kind,source_locator,copied_path,bytes,sha256,member_count
SRC-AI2-001,Activative Intelligence Lifecycle Constitution V2,predecessor_constitution,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/docs/00_ACTIVATIVE_INTELLIGENCE_LIFECYCLE_CONSTITUTION_V2.md,sources/ai_v2_predecessor/00_ACTIVATIVE_INTELLIGENCE_LIFECYCLE_CONSTITUTION_V2.md,32769,619331517d748d71e3f0ee8750bd0d9e1a1bbf9f143ade5dd339caeb50d33c58,1
SRC-AI2-002,Integrated Activative Intelligence V2 Product Requirements,predecessor_prd,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/docs/05_PRODUCT_REQUIREMENTS_V2.md,sources/ai_v2_predecessor/05_PRODUCT_REQUIREMENTS_V2.md,28263,0b5de954d06920448a21be4b5c765eb82b39c4b23acd042d984caa7cd85b7996,1
SRC-AI2-CAMPAIGN-001,AI2 Campaign Activation Program contract,contract,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/contracts/08_CAMPAIGN_ACTIVATION_PROGRAM.md,sources/ai_v2_predecessor/contracts/08_CAMPAIGN_ACTIVATION_PROGRAM.md,318,902d0a9aea819a16388bac2283b6e15a6414ae73dda32270f22f06ee942f866d,1
SRC-AI2-CONTRACT-001,AI2 Interview Asset Contract,contract,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/contracts/02_INTERVIEW_ASSET_CONTRACT.md,sources/ai_v2_predecessor/contracts/02_INTERVIEW_ASSET_CONTRACT.md,444,815516bb5cdd63706c881edcba3ed349fd41ec37b164ec6422ead4a8a377c51d,1
SRC-AI2-EXPRESSION-001,AI2 Expression Moment contract,contract,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/contracts/04_EXPRESSION_MOMENT.md,sources/ai_v2_predecessor/contracts/04_EXPRESSION_MOMENT.md,436,049fdb1711f3aa0cddc3d85e48491c9e0aa8f2b878e0f3fbb25dbc1b6a755802,1
SRC-AI2-HRE-001,AI2 Human Resolution Episode contract,contract,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/contracts/09_HUMAN_RESOLUTION_EPISODE.md,sources/ai_v2_predecessor/contracts/09_HUMAN_RESOLUTION_EPISODE.md,374,8c8c5a3a5632827bfa9ab35b6f86fbc34b79ecb8e1f84dc13aedc1af5fce5e96,1
SRC-AI2-LIVE-001,AI2 lifecycle state machines,lifecycle,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/docs/07_LIFECYCLE_STATE_MACHINES.md,sources/ai_v2_predecessor/07_LIFECYCLE_STATE_MACHINES.md,1285,403f684a14160ac974cdfd0f45ca25645a5a0a38e07628d7096d80d87a5236cb,1
SRC-AI2-MODEL-001,AI2 reference implementation models,reference_code,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/reference_implementation/activative_intelligence_v2/models.py,sources/ai_v2_predecessor/reference_implementation/models.py,24677,f392c940349c3c5f9586a359fd8497ce1b8368de1b6654357deb146a686efd97,1
SRC-AI2-REACTION-001,AI2 Reaction Observation and Receipt contract,contract,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/contracts/03_REACTION_OBSERVATION_AND_RECEIPT.md,sources/ai_v2_predecessor/contracts/03_REACTION_OBSERVATION_AND_RECEIPT.md,519,491d08c9ee2c89bfb79a53eaca625eaf5fd77048680b909698e5424e597349f3,1
SRC-AI2-REL-001,AI2 relationship activation models,schema,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/schemas/relationship_activation_state.schema.json,sources/ai_v2_predecessor/schemas/relationship_activation_state.schema.json,2477,2829512d2e6aeb4bd695cd5c9f2382d76ac3b16c755c50ab8443fa2aaf7ecc1c,1
SRC-AI2-REPAIR-001,AI2 failure attribution and repair contract,contract,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/contracts/11_FAILURE_ATTRIBUTION_AND_REPAIR_PROGRAM.md,sources/ai_v2_predecessor/contracts/11_FAILURE_ATTRIBUTION_AND_REPAIR_PROGRAM.md,274,b25670847d79678eb0d269656afe38cd45d0a9244b47d5051dea931379ec2ae7,1
SRC-AI2-SOURCE-001,AI2 Canonical Interview Source Package contract,contract,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/contracts/05_CANONICAL_INTERVIEW_SOURCE_PACKAGE.md,sources/ai_v2_predecessor/contracts/05_CANONICAL_INTERVIEW_SOURCE_PACKAGE.md,383,568fd028786e3ad87b1e65f0ee0f49dcc45b2745261e8003f3b75104f5544bd1,1
SRC-AI2-TRANSFER-001,AI2 Activation Transfer Contract,contract,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/contracts/07_ACTIVATION_TRANSFER_CONTRACT.md,sources/ai_v2_predecessor/contracts/07_ACTIVATION_TRANSFER_CONTRACT.md,414,9a84914ced08453701b150f4d1f3720f8aef688870bc0016bd551a774a5e1580,1
SRC-AI2-VISUAL-001,AI2 visual narrative schema,schema,extracted://CCP_INTEGRATED_ACTIVATIVE_INTELLIGENCE_V2_FULL_BUNDLE/schemas/visual_narrative_program.schema.json,sources/ai_v2_predecessor/schemas/visual_narrative_program.schema.json,4335,1f1d9d5229156b2a9dfe0467f0879a1d057310825de1e0a774cac4f3188ffb46,1
SRC-AHP-001,AHP PRD V1.2 primitive/archetype-centered combined PRD,current_prd_candidate,extracted://CONSCIOUS_ACTIVATIONS_AHP_PRD_V1_2_PRIMITIVE_ARCHETYPE_CENTERED/prd/PRD_COMBINED.md,sources/doctrine/AHP_PRD_V1_2_PRIMITIVE_ARCHETYPE_CENTERED.md,589093,387568731acfe57f022a2fadcd2acfc73baf1287b8a5a1e1d3ed78675ccb067d,1
SRC-AHP-F03-001,AHP F03 bounded role taxonomy,feature_module,extracted://CONSCIOUS_ACTIVATIONS_AHP_PRD_V1_2_PRIMITIVE_ARCHETYPE_CENTERED/prd/features/F03-workflow-node-execution-kernel-and-bounded-role-taxonomy.md,sources/doctrine/AHP_F03_BOUNDED_ROLE_TAXONOMY.md,17889,1d50940d7313b89331e872b63393276267e698cb5908254479e216a234f3ec77,1
SRC-AHP-F09-001,AHP F09 Composition IR and static runtime,feature_module,extracted://CONSCIOUS_ACTIVATIONS_AHP_PRD_V1_2_PRIMITIVE_ARCHETYPE_CENTERED/prd/features/F09-composition-ir-geometry-typography-annotation-and-skia-static-runtime.md,sources/doctrine/AHP_F09_COMPOSITION_IR.md,18941,68db87fa583d639af2ebdc707e9f94e7bca50af9b981dca1dd9c2f6be8eef456,1
SRC-AHP-F15-001,AHP F15 VAE Delegation and GNM boundary,feature_module,extracted://CONSCIOUS_ACTIVATIONS_AHP_PRD_V1_2_PRIMITIVE_ARCHETYPE_CENTERED/prd/features/F15-visual-asset-editor-delegation-and-gnm-boundary-integration.md,sources/doctrine/AHP_F15_VAE_DELEGATION_GNM.md,18207,eb65e84b126369a3067464a0dc9bd7c0dec72ebd168111cdb7f1fdef69333f44,1
SRC-AHP-F16-001,AHP F16 evaluation and selective repair,feature_module,extracted://CONSCIOUS_ACTIVATIONS_AHP_PRD_V1_2_PRIMITIVE_ARCHETYPE_CENTERED/prd/features/F16-independent-evaluation-visual-syntax-reparse-diagnosis-and-selective-repair.md,sources/doctrine/AHP_F16_EVALUATION_REPAIR.md,18469,0a247a2025ef803df09e8bfc97b9456d73a64cf2f867598135b3c8ba03a668e2,1
SRC-AHP-F23-001,AHP F23 source-backed batch and archetype routing,feature_module,extracted://CONSCIOUS_ACTIVATIONS_AHP_PRD_V1_2_PRIMITIVE_ARCHETYPE_CENTERED/prd/features/F23-source-backed-content-batch-and-archetype-routing.md,sources/doctrine/AHP_F23_BATCH_ARCHETYPE_ROUTING.md,17132,94833575d71b8c04fb0bcab11ca02e99865502bbb7c8445d25a41c9c985d816d,1
SRC-AHP-F25-001,AHP F25 source-grounded static and animation derivatives,feature_module,extracted://CONSCIOUS_ACTIVATIONS_AHP_PRD_V1_2_PRIMITIVE_ARCHETYPE_CENTERED/prd/features/F25-source-grounded-carousel-supervisual-and-2d-animation-derivatives.md,sources/doctrine/AHP_F25_STATIC_ANIMATION_DERIVATIVES.md,17410,dbab88c994da95fbead65abfba4984d0efa3cd8a2fb27598997bd9886c37d293,1
SRC-AHP-F26-001,AHP F26 Human Resolution and Revision Compiler,feature_module,extracted://CONSCIOUS_ACTIVATIONS_AHP_PRD_V1_2_PRIMITIVE_ARCHETYPE_CENTERED/prd/features/F26-operator-revision-compiler-and-human-resolution-programming-material.md,sources/doctrine/AHP_F26_HUMAN_RESOLUTION.md,16765,f6ce81b7f5a8db6b7e6545299a2f526e344136b51cd4ac887b4300698110b54a,1
SRC-AHP-F28-001,AHP F28 psychological role and archetype coalition,feature_module,extracted://CONSCIOUS_ACTIVATIONS_AHP_PRD_V1_2_PRIMITIVE_ARCHETYPE_CENTERED/prd/features/F28-psychological-role-archetype-coalition-and-final-script-authority.md,sources/doctrine/F28-psychological-role-archetype-coalition-and-final-script-authority.md,14624,0a130c459707e309ae323f769b00d0f82f866b8bfddf6eb42546a5de4f78370c,1
SRC-AHP-F29-001,AHP F29 primitive-first coalition composition and evaluation,feature_module,extracted://CONSCIOUS_ACTIVATIONS_AHP_PRD_V1_2_PRIMITIVE_ARCHETYPE_CENTERED/prd/features/F29-primitive-first-coalition-composition-and-evaluation.md,sources/doctrine/F29-primitive-first-coalition-composition-and-evaluation.md,14271,80be79e53616e28b0e86604f9e6f6d94ffd02308aa0618766ea912c62c9e03bc,1
SRC-AHP-F30-001,AHP F30 Brand Genesis Voice/Visual DNA and anti-centroid,feature_module,extracted://CONSCIOUS_ACTIVATIONS_AHP_PRD_V1_2_PRIMITIVE_ARCHETYPE_CENTERED/prd/features/F30-brand-genesis-voice-visual-dna-distillation-and-anti-centroid-integrity.md,sources/doctrine/F30-brand-genesis-voice-visual-dna-distillation-and-anti-centroid-integrity.md,14697,20765b8509550271f43590293cd3f95387c892c69240ae9d41c5dd1c32d9deb5,1
SRC-AHP-MODEL-001,AHP Programmed Model and learned claims feature,feature_module,extracted://CONSCIOUS_ACTIVATIONS_AHP_PRD_V1_2_PRIMITIVE_ARCHETYPE_CENTERED/prd/features/F07-programmed-models-and-learned-capability-claims.md,sources/doctrine/AHP_F07_PROGRAMMED_MODELS.md,18546,4de5f4f896832a1185bf8d71e19c28e042aaaedd6896f0c12dc9ba03dcdb0258,1
