integration_requirement_id,integration_outcome,existing_obligation_ids,primary_story_ids,supporting_story_ids,technical_spec,adr_addendum,mapping_artifact,validation_check,new_obligation_required
BDRC3-001,Pin exact RC3 release identity and trust state,"ADR-013;FR-170;FR-173;FR-180;NFR-COMPAT-002;NFR-TRACE-001","ST-07.01;ST-07.04","ST-03.03;ST-08.02;ST-12.03;ST-12.04",TS-11,ADR-013,contracts/integration/DELEGATION_CONTRACT_PIN.yaml,exact_rc3_pin;release_receipt_manifest_and_profile_identity,false
BDRC3-002,Validate all released hashes schemas and generated types,"FR-173;FR-180;NFR-COMPAT-002;NFR-TRACE-001",ST-07.04,"ST-03.03;ST-07.01;ST-08.02",TS-11,ADR-013,contracts/integration/DELEGATION_CONTRACT_PIN.yaml,all_released_hashes;generated_types_released,false
BDRC3-003,Map Builder target specifications to Delegation wire fields without schema ownership,"D004;FR-170;FR-173;FR-175;FR-177;FR-179;FR-180;CONST-005","ST-07.01;ST-07.02;ST-07.04","ST-07.03;ST-08.02;ST-12.03",TS-11,ADR-013,contracts/integration/BUILDER_TO_DELEGATION_WIRE_MAPPING.yaml,no_local_schema_fork;external_ownership_of_delegation_contracts,false
BDRC3-004,Resolve all governed source kinds from authoritative evidence,"CONST-004;FR-145;FR-146;FR-147;NFR-TRACE-001;NFR-COMPAT-002","ST-03.03;ST-06.03","ST-01.02;ST-06.05;ST-08.02;ST-08.07",TS-11,ADR-007,contracts/integration/SOURCE_PROVENANCE_MAPPING.yaml,source_kind_schema_enforcement;source_kind_mapping;ambiguous_source_kind_fails_closed,false
BDRC3-005,Require Reaction Receipt and Expression Moment provenance for interview expression,"CONST-004;CONST-005;CONST-007;CONST-008;FR-146;FR-147;NFR-TRACE-001","ST-06.05;ST-08.07","ST-03.03;ST-08.02",TS-11,ADR-007,contracts/integration/SOURCE_PROVENANCE_MAPPING.yaml,mandatory_interview_provenance;optional_non_interview_provenance,false
BDRC3-006,Preserve five canonical categories in Delegation compatibility,"FR-137;FR-139;FR-140;FR-141;NFR-CAT-001;NFR-CAT-002","ST-06.01;ST-06.03","ST-06.02;ST-06.04;ST-06.05",TS-11,ADR-013,contracts/integration/CATEGORY_PROFILE_COMPATIBILITY.yaml,category_profile_compatibility,false
BDRC3-007,Keep Format 02 as certified reference without certification inheritance,"FR-143;FR-167;FR-168;FR-169;NFR-CAT-001;NFR-CAT-002;NFR-CAT-003","ST-12.03;ST-12.04","ST-06.02;ST-06.04",TS-15,ADR-018,contracts/integration/CATEGORY_PROFILE_COMPATIBILITY.yaml,format02_certification_without_conversational_inheritance,false
BDRC3-008,Support four conversational profiles structurally and uncertified,"FR-139;FR-141;FR-145;FR-146;FR-147;FR-148;FR-150;FR-168;NFR-CAT-001;NFR-CAT-003","ST-06.05;ST-08.07","ST-06.01;ST-06.03;ST-06.04;ST-12.04",TS-11;TS-15,ADR-013,contracts/integration/CATEGORY_PROFILE_COMPATIBILITY.yaml,category_profile_compatibility;format02_certification_without_conversational_inheritance,false
BDRC3-009,Require non-empty wrong-reading locks on generative and transformative demand,"CONST-005;CONST-007;CONST-008;FR-177;FR-180;NFR-EVAL-004","ST-07.03;ST-08.03","ST-05.03;ST-08.02;ST-08.07",TS-11,ADR-018,contracts/integration/WRONG_READING_LOCK_INHERITANCE.yaml,wrong_reading_lock_inheritance,false
BDRC3-010,Preserve and strengthen wrong-reading locks across derivatives,"CONST-005;CONST-007;CONST-008;FR-177;FR-180;NFR-TRACE-003;NFR-EVAL-004","ST-07.03;ST-07.04","ST-08.02;ST-08.03;ST-08.07",TS-11,ADR-018,contracts/integration/WRONG_READING_LOCK_INHERITANCE.yaml,wrong_reading_lock_inheritance,false
