inventory_id,authority_type,title,ownership_relation,verification_scope
ADR-001,ARCHITECTURE_DECISION,Product boundary and modular-monolith architecture,inherited_from_ST-01.01,additive profile admission preserves product boundary
AG-001,BINDING_ANTI_GOAL,Implement the final production harness,inherited_from_ST-01.01,branch does not implement or execute the synthetic task
AG-002,BINDING_ANTI_GOAL,Become a universal agent factory,inherited_from_ST-01.01,one governed repository proof profile only
D001,LOCKED_DECISION,Product boundary,inherited_from_ST-01.01,no VAE Delegation runtime or product publication
D006,LOCKED_DECISION,Lifecycle,inherited_from_ST-01.01,stable identity transition checkpoint and replay behavior
FR-001,FUNCTIONAL_REQUIREMENT,Select one explicit compilation target,inherited_from_ST-01.01,atomic_content_harness only
FR-002,FUNCTIONAL_REQUIREMENT,Create a stable run identity,inherited_from_ST-01.01,deterministic run identity across resume
FR-003,FUNCTIONAL_REQUIREMENT,Enforce a typed lifecycle state machine,inherited_from_ST-01.01,authorized transitions and fail-closed invalid transitions
FR-004,FUNCTIONAL_REQUIREMENT,Apply target-specific lifecycle profiles,inherited_from_ST-01.01,synthetic proof required-work profile
FR-005,FUNCTIONAL_REQUIREMENT,Govern lifecycle waivers,inherited_from_ST-01.01,no implicit waivers or bypass
FR-006,FUNCTIONAL_REQUIREMENT,Emit an event for every authoritative transition,inherited_from_ST-01.01,event and audit parity
FR-007,FUNCTIONAL_REQUIREMENT,Resume without replaying human decisions,inherited_from_ST-01.01,no duplicate decisions or events
FR-008,FUNCTIONAL_REQUIREMENT,Enforce the Builder product boundary,inherited_from_ST-01.01,external runtimes and final-task execution prohibited
NFR-REL-002,NON_FUNCTIONAL_REQUIREMENT,Resumability,inherited_from_ST-01.01,checkpoint replay and recovery regression
NFR-SEC-003,NON_FUNCTIONAL_REQUIREMENT,Authority enforcement,inherited_from_ST-01.01,unauthorized actors cannot mutate state
