story_id,global_order,epic_id,title,product_classification,actual_outcome,classification_reason,direct_dependencies,current_decision_blockers,cross_repository_dependencies,blocker_origin,intrinsic_builder_core_blockers,reference_or_later_phase_blockers,confirmed_graph_readiness,first_builder_path,first_path_status
ST-01.01,1,EP-01,Start and Resume One Target-Profiled Builder Run,BUILDER_CORE,"the run has stable identity, explicit authority, replay-safe state, and target-specific required work",Category-independent Builder governance or compilation; profile activation is separable.,,HD-006,XDEP-001;XDEP-004;XDEP-006,REFERENCE_PROFILE_OR_LATER_PHASE,,HD-006,COMPLETE_PASS,true,COMPLETE_PASS_FOUNDATION_SUPPLEMENTAL_BRANCH_UNCONFIRMED
ST-01.02,2,EP-01,Lock a Safe Target-Specific Evidence Workspace,BUILDER_CORE,"source material is portable, safe to inspect, and protected from mutation",Category-independent Builder governance or compilation; profile activation is separable.,ST-01.01,BD-004;BD-014;HD-006,XDEP-001;XDEP-004;XDEP-006,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;BD-014;HD-006,BLOCKED_EVIDENCE,true,WAITING_FOR_ST_01_01_SUPPLEMENTAL_RECEIPT
ST-01.03,3,EP-01,Index Every Evidence Specimen with Provenance,BUILDER_CORE,"later decisions can query complete evidence and distinguish observation, status, and provenance",Category-independent Builder governance or compilation; profile activation is separable.,ST-01.02,BD-004;HD-006,XDEP-001;XDEP-004;XDEP-006,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;HD-006,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-01.04,4,EP-01,Decide Evidence Saturation Without Inventing Claims,BUILDER_CORE,"the run proceeds, pauses, or blocks through an evidence-backed typed outcome",Category-independent Builder governance or compilation; profile activation is separable.,ST-01.03,BD-004;HD-006,XDEP-001;XDEP-004;XDEP-006,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;HD-006,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-02.01,5,EP-02,Normalize Evidence into Typed Syntax Observations,CATEGORY_ADAPTER,"reviewers can compare reliable geometry, components, turns, and evidence identities",Interprets or compiles category/substrate-specific syntax or profiles after core.,ST-01.04,BD-004;BD-007;HD-006,XDEP-001;XDEP-004,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;BD-007;HD-006,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-02.02,6,EP-02,"Build Spatial, Temporal, and Reading-Order Graphs",CATEGORY_ADAPTER,the candidate grammar is grounded in substrate-specific relationships rather than vague meaning,Interprets or compiles category/substrate-specific syntax or profiles after core.,ST-02.01,BD-004;BD-007;HD-006,XDEP-001;XDEP-004,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;BD-007;HD-006,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-02.03,7,EP-02,Induce Grammar Only After Syntax Evidence,CATEGORY_ADAPTER,Visual Syntax First governs development discovery while unsupported meaning stays visibly provisional,Interprets or compiles category/substrate-specific syntax or profiles after core.,ST-02.02,BD-004;BD-007;BD-008;HD-006,XDEP-001;XDEP-004,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;BD-007;BD-008;HD-006,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-02.04,8,EP-02,Compare Candidate Atomic Product Boundaries,BUILDER_CORE,human authority can see the consequence of each candidate before choosing the atomic product,Category-independent Builder governance or compilation; profile activation is separable.,ST-02.03,BD-004;BD-007;BD-008;HD-006,XDEP-001;XDEP-004,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;BD-007;BD-008;HD-006,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
ST-02.05,9,EP-02,Ratify and Freeze the Draft Harness Boundary,BUILDER_CORE,"downstream constitutional decisions start from an explicit, reviewable, and stable product boundary",Category-independent Builder governance or compilation; profile activation is separable.,ST-02.04,BD-004;BD-007;HD-006,XDEP-001;XDEP-004,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;BD-007;HD-006,BLOCKED_EVIDENCE,true,BLOCKED_BY_EARLIER_CORE_STORY_RECEIPTS
ST-03.01,10,EP-03,Ask Only Dependency-Ready Constitutional Questions,BUILDER_CORE,human attention is spent on the next consequential question with complete rationale,Category-independent Builder governance or compilation; profile activation is separable.,ST-01.04;ST-02.05,BD-004;BD-008,XDEP-001;XDEP-006,REFERENCE_PROFILE_OR_LATER_PHASE,,BD-004;BD-008,BLOCKED_EVIDENCE,false,NOT_ON_FIRST_BUILDER_PATH
