id,type,title,classification,release_scope,tech_spec,component_id,architecture_component,adr_ids,locked_decisions,architecture_mechanism,verification_strategy,blocking_decisions,requirement_source
FR-001,FR,Select one explicit compilation target,NEW_IMPLEMENTATION,RELEASE_1,TS-01,C01,Run Governance,ADR-001;ADR-003;ADR-005,D004;D006,"event-sourced Run aggregate, target profiles, guarded state machine, authority receipts, checkpoints",unit;state-machine;authority;concurrency;replay;resume;boundary,BD-001;BD-005,prd/05-features/F01-governed-product-lifecycle.md
FR-002,FR,Create a stable run identity,NEW_IMPLEMENTATION,RELEASE_1,TS-01,C01,Run Governance,ADR-001;ADR-003;ADR-005,D005;D025,"event-sourced Run aggregate, target profiles, guarded state machine, authority receipts, checkpoints",unit;state-machine;authority;concurrency;replay;resume;boundary,BD-001;BD-005,prd/05-features/F01-governed-product-lifecycle.md
FR-003,FR,Enforce a typed lifecycle state machine,NEW_IMPLEMENTATION,RELEASE_1,TS-01,C01,Run Governance,ADR-001;ADR-003;ADR-005,D006;D027,"event-sourced Run aggregate, target profiles, guarded state machine, authority receipts, checkpoints",unit;state-machine;authority;concurrency;replay;resume;boundary,BD-001;BD-005,prd/05-features/F01-governed-product-lifecycle.md
FR-004,FR,Apply target-specific lifecycle profiles,NEW_IMPLEMENTATION,RELEASE_1,TS-01,C01,Run Governance,ADR-001;ADR-003;ADR-005,D004;D006,"event-sourced Run aggregate, target profiles, guarded state machine, authority receipts, checkpoints",unit;state-machine;authority;concurrency;replay;resume;boundary,BD-001;BD-005,prd/05-features/F01-governed-product-lifecycle.md
FR-005,FR,Govern lifecycle waivers,NEW_IMPLEMENTATION,RELEASE_1,TS-01,C01,Run Governance,ADR-001;ADR-003;ADR-005,D002;D006;D027,"event-sourced Run aggregate, target profiles, guarded state machine, authority receipts, checkpoints",unit;state-machine;authority;concurrency;replay;resume;boundary,BD-001;BD-005,prd/05-features/F01-governed-product-lifecycle.md
FR-006,FR,Emit an event for every authoritative transition,NEW_IMPLEMENTATION,RELEASE_1,TS-01,C01,Run Governance,ADR-001;ADR-003;ADR-005,D025,"event-sourced Run aggregate, target profiles, guarded state machine, authority receipts, checkpoints",unit;state-machine;authority;concurrency;replay;resume;boundary,BD-001;BD-005,prd/05-features/F01-governed-product-lifecycle.md
FR-007,FR,Resume without replaying human decisions,NEW_IMPLEMENTATION,RELEASE_1,TS-01,C01,Run Governance,ADR-001;ADR-003;ADR-005,D010;D025,"event-sourced Run aggregate, target profiles, guarded state machine, authority receipts, checkpoints",unit;state-machine;authority;concurrency;replay;resume;boundary,BD-001;BD-005,prd/05-features/F01-governed-product-lifecycle.md
FR-008,FR,Enforce the Builder product boundary,NEW_IMPLEMENTATION,RELEASE_1,TS-01,C01,Run Governance,ADR-001;ADR-003;ADR-005,D001;D029;D033,"event-sourced Run aggregate, target profiles, guarded state machine, authority receipts, checkpoints",unit;state-machine;authority;concurrency;replay;resume;boundary,BD-001;BD-005,prd/05-features/F01-governed-product-lifecycle.md
FR-009,FR,Define target-specific source profiles,NEW_IMPLEMENTATION,RELEASE_1,TS-02,C02,Evidence Workspace,ADR-003;ADR-007;ADR-012,D005;D006,"source profiles, immutable Source Lock, reaction/expression consent and evidence spans, safe adapters, saturation contract",unit;contract;archive-security;consent;withdrawal;property;scale;resume;invalidation,BD-004;BD-005,prd/05-features/F02-configured-evidence-workspace.md
FR-010,FR,Run source-readiness diagnostics before initialization,NEW_IMPLEMENTATION,RELEASE_1,TS-02,C02,Evidence Workspace,ADR-003;ADR-007;ADR-012,D005,"source profiles, immutable Source Lock, reaction/expression consent and evidence spans, safe adapters, saturation contract",unit;contract;archive-security;consent;withdrawal;property;scale;resume;invalidation,BD-004;BD-005,prd/05-features/F02-configured-evidence-workspace.md
