gap_id,status,severity,description,spec_id,closure_route
P7-GAP-001,OPEN,HIGH,No trained category-specific Revision Compiler model; deterministic compiler and Steering Recipe bindings only.,TS-CAS-001,Future Programmed Model phase
P7-GAP-002,OPEN,HIGH,No adopted Remotion Timeline or Elah interactive UI; canonical read-only timeline projection only.,TS-CAS-002,Timeline adoption and UI implementation
P7-GAP-003,OPEN,HIGH,Selective rerun request is compiled but not transported to a live Pipeline API.,TS-CAS-002,Cross-product integration phase
P7-GAP-004,OPEN,HIGH,"Control Tower consumes development read models rather than live AIR, Interview, Pipeline, VAE and Delegation streams.",TS-CAS-004,Realtime integration phase
P7-GAP-005,OPEN,MEDIUM,HumanResolution uses an append-only local ledger; no Supabase/Postgres control-plane implementation.,TS-CAS-003,Deployment/control-plane phase
P7-GAP-006,OPEN,MEDIUM,Programming-material indexing is deterministic lexical memory only; dataset builder and shadow replay are not implemented.,TS-CAS-003,Programmed Model phase
P7-GAP-007,OPEN,MEDIUM,Runtime/provider/worker health projections are typed but not connected to live workers.,TS-CAS-004,Worker integration phase
P7-GAP-008,OPEN,HIGH,Ship decision is implemented; no external publication adapter executes a real publish.,TS-CAS-006,Release and publication phase
P7-GAP-009,OPEN,MEDIUM,"Category workbench browser surface is a self-contained development projection, not a deployed interactive application.",TS-CAS-004,Studio UI productization
P7-GAP-010,OPEN,HIGH,VAE and Delegation supervisory modules are registry entries without live integration.,TS-CAS-005,Phase 8
P7-GAP-011,OPEN,MEDIUM,"No multi-user authentication, concurrency, lease or optimistic UI conflict handling.",TS-CAS-005,Control-plane hardening
P7-GAP-012,OPEN,MEDIUM,Direct manipulation is an adapter API; no drag/trim/canvas UI emits deltas yet.,TS-CAS-002,Timeline/static workbench UI
P7-GAP-013,OPEN,MEDIUM,"Audit export is canonical JSON plus hashes, not a signed portable archive.",TS-CAS-004,Release evidence phase
P7-GAP-014,DEFERRED,HIGH,Character Performance Studio and Format 02 remain deferred.,TS-CAS-005,Requires current validated Format 02 Harness
