gap_id,status,severity,finding,affected_specs,closure
P6-GAP-001,OPEN,HIGH,Actual skia-python execution is optional; the validated fallback is a deterministic Skia-compatible reference rasterizer.,"TS-STA-001,TS-SPV-001,TS-CAR-001",Bind and verify a pinned real Skia runtime without changing Composition IR.
P6-GAP-002,OPEN,HIGH,Remotion and HyperFrames are compiled as exact binding manifests but their external runtimes are not executed.,"TS-VID-004,TS-VID-005",Pin runtime versions and execute clean-room adapter conformance in a later integration phase.
P6-GAP-003,OPEN,HIGH,Independent visual judgment is represented by typed evaluator separation; no certified VLM evaluator is called.,"TS-VID-006,TS-EVAL-001,TS-EVAL-002",Bind a governed evaluator identity and calibration evidence.
P6-GAP-004,OPEN,MEDIUM,Word-boundary EDL supports bounded selected spans but not the complete portfolio/context/reaction policy surface.,TS-VID-002,Add full candidate portfolio and semantic-context validators.
P6-GAP-005,OPEN,MEDIUM,Variable-frame-rate ordinal/pixel-digest reconciliation is not fully implemented.,TS-VID-001,Add exact decoded-frame identity and VFR property fixtures.
P6-GAP-006,OPEN,MEDIUM,FFmpeg rendering does not yet burn styled captions or multi-layer Remotion/HyperFrames output into the master timeline.,"TS-VID-003,TS-VID-005",Add caption/overlay composition after runtime adapters are pinned.
P6-GAP-007,OPEN,MEDIUM,Composition IR supports text and geometry reference elements; arbitrary image/mask/depth assets and VAE results remain later work.,"TS-STA-001,TS-SPV-001,TS-CAR-001",Integrate exact VAE result consumption after Stage 8 boundary work.
P6-GAP-008,OPEN,MEDIUM,"Carousel PDF and slide PNGs are reference outputs; JPEG, richer typography, annotations and template families remain incomplete.",TS-CAR-001,Expand category-native Carousel template and annotation support.
P6-GAP-009,OPEN,HIGH,"Animation realization is a bounded generated-motion reference, not a rig/layer/voice/performance-library runtime.",TS-ANI-001,Integrate approved non-Format-02 rig and performance bindings.
P6-GAP-010,OPEN,HIGH,Repair service produces bounded plans and ownership escalation; it does not execute all repair actions automatically.,TS-EVAL-003,Implement action-specific successor mutations with per-action tests and attempt receipts.
P6-GAP-011,OPEN,MEDIUM,"Rendered cut evidence is extracted, but mouth continuity, waveform discontinuity and semantic judgment remain pending.","TS-VID-006,TS-EVAL-002",Add deterministic waveform analysis and governed VLM/human judgment.
P6-GAP-012,DEFERRED,HIGH,"VAE Stage 5, GNM, ComfyUI, SAM3 and Lucida are outside Phase 6.","TS-ANI-001,TS-EVAL-001",Remain deferred to Phase 8.
P6-GAP-013,DEFERRED,HIGH,Format 02 remains inactive.,TS-ANI-001,Requires separately authorized current Harness and independent proof.
