story_id,story_title,epic_id,feature_id,primary_fr_id,primitive_id,downstream_story_or_handoff,cbar_mandate
AIR-ST-01.01,Establish activation-domain and truth-state authority,AIR-EP-01,F01,AIR-FR-001,PRM-PSY-008,AIR-ST-01.02,Establish activation-domain and truth-state authority must preserve Attack Problem Not Person's core move while denying the shortcut to collapse one object-level status across fields so implementation becomes simpler.
AIR-ST-01.01,Establish activation-domain and truth-state authority,AIR-EP-01,F01,AIR-FR-002,PRM-PSY-008,AIR-ST-01.02,Establish activation-domain and truth-state authority must preserve Attack Problem Not Person's core move while denying the shortcut to collapse one object-level status across fields so implementation becomes simpler.
AIR-ST-01.02,Version semantic decisions without rewriting history,AIR-EP-01,F01,AIR-FR-003,PRM-VSG-003,AIR-ST-01.03,Version semantic decisions without rewriting history must preserve Intent Governs Style's core move while denying the shortcut to collapse one object-level status across fields so implementation becomes simpler.
AIR-ST-01.02,Version semantic decisions without rewriting history,AIR-EP-01,F01,AIR-FR-004,PRM-VSG-003,AIR-ST-01.03,Version semantic decisions without rewriting history must preserve Intent Governs Style's core move while denying the shortcut to collapse one object-level status across fields so implementation becomes simpler.
AIR-ST-01.03,Prove lifecycle and epistemology claims,AIR-EP-01,F01,AIR-FR-005,EXP-FBK-001,AIR-ST-02.01,Prove lifecycle and epistemology claims must preserve RIM Feedback Discipline's core move while denying the shortcut to collapse one object-level status across fields so implementation becomes simpler.
AIR-ST-01.03,Prove lifecycle and epistemology claims,AIR-EP-01,F01,AIR-FR-006,EXP-FBK-001,AIR-ST-02.01,Prove lifecycle and epistemology claims must preserve RIM Feedback Discipline's core move while denying the shortcut to collapse one object-level status across fields so implementation becomes simpler.
AIR-ST-02.01,"Assemble identity, audience, interviewer, and relationship context",AIR-EP-02,F02,AIR-FR-007,PRM-PSY-001,AIR-ST-02.02,"Assemble identity, audience, interviewer, and relationship context must preserve Matching Principle's core move while denying the shortcut to use topic similarity as a substitute for identity, resonance, and Matrix survival."
AIR-ST-02.01,"Assemble identity, audience, interviewer, and relationship context",AIR-EP-02,F02,AIR-FR-008,PRM-PSY-001,AIR-ST-02.02,"Assemble identity, audience, interviewer, and relationship context must preserve Matching Principle's core move while denying the shortcut to use topic similarity as a substitute for identity, resonance, and Matrix survival."
AIR-ST-02.02,Compile Matrix broad signal and survived Edge Product,AIR-EP-02,F02,AIR-FR-009,PRM-PSY-008,AIR-ST-02.03,"Compile Matrix broad signal and survived Edge Product must preserve Attack Problem Not Person's core move while denying the shortcut to use topic similarity as a substitute for identity, resonance, and Matrix survival."
AIR-ST-02.02,Compile Matrix broad signal and survived Edge Product,AIR-EP-02,F02,AIR-FR-010,PRM-PSY-008,AIR-ST-02.03,"Compile Matrix broad signal and survived Edge Product must preserve Attack Problem Not Person's core move while denying the shortcut to use topic similarity as a substitute for identity, resonance, and Matrix survival."
AIR-ST-02.03,Propose Identity DNA candidate observations without mutation,AIR-EP-02,F02,AIR-FR-011,PRM-PRS-015,AIR-ST-03.01,"Propose Identity DNA candidate observations without mutation must preserve The What Is / What Could Be Contrast Engine's core move while denying the shortcut to use topic similarity as a substitute for identity, resonance, and Matrix survival."
AIR-ST-02.03,Propose Identity DNA candidate observations without mutation,AIR-EP-02,F02,AIR-FR-012,PRM-PRS-015,AIR-ST-03.01,"Propose Identity DNA candidate observations without mutation must preserve The What Is / What Could Be Contrast Engine's core move while denying the shortcut to use topic similarity as a substitute for identity, resonance, and Matrix survival."
AIR-ST-03.01,Generate meaningfully different activation hypotheses,AIR-EP-03,F03,AIR-FR-013,PRM-PSY-001,AIR-ST-03.02,Generate meaningfully different activation hypotheses must preserve Matching Principle's core move while denying the shortcut to accept the first fluent hypothesis and skip comparative search.
AIR-ST-03.01,Generate meaningfully different activation hypotheses,AIR-EP-03,F03,AIR-FR-014,PRM-PSY-001,AIR-ST-03.02,Generate meaningfully different activation hypotheses must preserve Matching Principle's core move while denying the shortcut to accept the first fluent hypothesis and skip comparative search.
AIR-ST-03.02,Compare candidates under non-compensable gates,AIR-EP-03,F03,AIR-FR-015,PRM-PRS-015,AIR-ST-03.03,Compare candidates under non-compensable gates must preserve The What Is / What Could Be Contrast Engine's core move while denying the shortcut to accept the first fluent hypothesis and skip comparative search.
AIR-ST-03.02,Compare candidates under non-compensable gates,AIR-EP-03,F03,AIR-FR-016,PRM-PRS-015,AIR-ST-03.03,Compare candidates under non-compensable gates must preserve The What Is / What Could Be Contrast Engine's core move while denying the shortcut to accept the first fluent hypothesis and skip comparative search.
AIR-ST-03.03,Converge while preserving rejections and stopping evidence,AIR-EP-03,F03,AIR-FR-017,PRM-HUM-021,AIR-ST-04.01,Converge while preserving rejections and stopping evidence must preserve Irony Inversion's core move while denying the shortcut to accept the first fluent hypothesis and skip comparative search.
AIR-ST-03.03,Converge while preserving rejections and stopping evidence,AIR-EP-03,F03,AIR-FR-018,PRM-HUM-021,AIR-ST-04.01,Converge while preserving rejections and stopping evidence must preserve Irony Inversion's core move while denying the shortcut to accept the first fluent hypothesis and skip comparative search.
AIR-ST-04.01,Query the real primitive registries,AIR-EP-04,F04,AIR-FR-019,PRM-BUS-001,AIR-ST-04.02,"Query the real primitive registries must preserve Perception and Guidance Stack's core move while denying the shortcut to select primitives by name similarity without loading their core move, misuse modes, or conflicts."
AIR-ST-04.01,Query the real primitive registries,AIR-EP-04,F04,AIR-FR-020,PRM-BUS-001,AIR-ST-04.02,"Query the real primitive registries must preserve Perception and Guidance Stack's core move while denying the shortcut to select primitives by name similarity without loading their core move, misuse modes, or conflicts."
AIR-ST-04.02,Bind exact primitives to the current activation state,AIR-EP-04,F04,AIR-FR-021,PRM-BUS-006,AIR-ST-04.03,"Bind exact primitives to the current activation state must preserve Hierarchy as Attention Routing's core move while denying the shortcut to select primitives by name similarity without loading their core move, misuse modes, or conflicts."
AIR-ST-04.02,Bind exact primitives to the current activation state,AIR-EP-04,F04,AIR-FR-022,PRM-BUS-006,AIR-ST-04.03,"Bind exact primitives to the current activation state must preserve Hierarchy as Attention Routing's core move while denying the shortcut to select primitives by name similarity without loading their core move, misuse modes, or conflicts."
AIR-ST-04.03,Prove stage-appropriate primitive coverage and conflicts,AIR-EP-04,F04,AIR-FR-023,PRM-PSY-001,AIR-ST-05.01,"Prove stage-appropriate primitive coverage and conflicts must preserve Matching Principle's core move while denying the shortcut to select primitives by name similarity without loading their core move, misuse modes, or conflicts."
AIR-ST-04.03,Prove stage-appropriate primitive coverage and conflicts,AIR-EP-04,F04,AIR-FR-024,PRM-PSY-001,AIR-ST-05.01,"Prove stage-appropriate primitive coverage and conflicts must preserve Matching Principle's core move while denying the shortcut to select primitives by name similarity without loading their core move, misuse modes, or conflicts."
AIR-ST-05.01,Compile a complete Primitive Coalition Contract,AIR-EP-04,F05,AIR-FR-025,PRM-PRS-002,AIR-ST-05.02,"Compile a complete Primitive Coalition Contract must preserve Tension-and-Release Narrative Engine's core move while denying the shortcut to treat a list of primitives as a coalition without binding, signature, edge, or misuse evaluation."
