requirement_id,relationship,title,contract_clauses,surfaces,acceptance_tests,source
"FR-117","OWNED","Show a run overview","UXC-003;UXC-004;UXC-101;UXC-102;UXC-111;UXC-113;UXC-208","run-index;run-overview","AT-UX-001;AT-UX-002;AT-UX-003","prd/05-features/F12-harness-control-tower.md"
"FR-118","OWNED","Render the Phase and Context Graphs","UXC-103;UXC-203;UXC-205;UXC-408","graph-explorer","AT-UX-004;AT-UX-005","prd/05-features/F12-harness-control-tower.md"
"FR-119","OWNED","Expose evidence and visual understanding","UXC-003;UXC-104;UXC-204;UXC-406","evidence-workspace","AT-UX-006;AT-UX-007;AT-UX-008","prd/05-features/F12-harness-control-tower.md"
"FR-120","OWNED","Expose Genesis decisions and authority","UXC-002;UXC-105;UXC-301;UXC-306","genesis-decisions","AT-UX-009;AT-UX-010;AT-UX-011","prd/05-features/F12-harness-control-tower.md"
"FR-121","OWNED","Expose skills recipes and capsules","UXC-003;UXC-106;UXC-111","skills-and-capsules","AT-UX-012","prd/05-features/F12-harness-control-tower.md"
"FR-122","OWNED","Expose contracts and module ownership","UXC-003;UXC-107;UXC-203","ownership-and-contracts","AT-UX-013","prd/05-features/F12-harness-control-tower.md"
"FR-123","OWNED","Expose evaluations and repair history","UXC-108;UXC-109;UXC-408","evaluation;repair-history","AT-UX-014;AT-UX-015;AT-UX-016","prd/05-features/F12-harness-control-tower.md"
"FR-124","OWNED","Track cost latency and context usage","UXC-111;UXC-501;UXC-502;UXC-503;UXC-504","run-overview;workflow;evaluation","AT-UX-017;AT-UX-025","prd/05-features/F12-harness-control-tower.md"
"FR-125","OWNED","Provide governed human actions","UXC-002;UXC-009;UXC-301;UXC-302;UXC-303;UXC-304;UXC-305;UXC-306;UXC-307;UXC-407","all-command-surfaces","AT-UX-018;AT-UX-019;AT-UX-020;AT-UX-021;AT-UX-022","prd/05-features/F12-harness-control-tower.md"
"FR-126","OWNED","Prevent the UI from becoming a second source of truth","UXC-001;UXC-002;UXC-003;UXC-009;UXC-402;UXC-403;UXC-404;UXC-405","all-surfaces","AT-UX-023;AT-UX-024","prd/05-features/F12-harness-control-tower.md"
"NFR-PERF-001","OWNED","Interactive Control Tower","UXC-401;UXC-501;UXC-502;UXC-503;UXC-504","all-query-surfaces","AT-UX-025","prd/06-cross-cutting-nfrs.md"
"NFR-TRACE-002","OWNED","Append-only operational history","UXC-112;UXC-307;UXC-408","events;repairs;exports","AT-UX-016;AT-UX-026","prd/06-cross-cutting-nfrs.md"
"NFR-OBS-001","OWNED","Event completeness","UXC-003;UXC-112;UXC-504","events;all-status-surfaces","AT-UX-001;AT-UX-027","prd/06-cross-cutting-nfrs.md"
"NFR-OBS-002","OWNED","Evidence-backed status","UXC-003;UXC-004","all-status-surfaces","AT-UX-001;AT-UX-002","prd/06-cross-cutting-nfrs.md"
"NFR-OBS-003","OWNED","No second source of truth","UXC-001;UXC-002;UXC-009;UXC-305","all-command-surfaces","AT-UX-021;AT-UX-023;AT-UX-024","prd/06-cross-cutting-nfrs.md"
"NFR-OBS-004","OWNED","Exportability","UXC-112;UXC-307","events;exports","AT-UX-026","prd/06-cross-cutting-nfrs.md"
"NFR-UX-001","OWNED","Accessible Control Tower","UXC-006;UXC-008;UXC-203;UXC-204;UXC-207;UXC-209","all-surfaces","AT-UX-005;AT-UX-028;AT-UX-029","prd/06-cross-cutting-nfrs.md"
"NFR-UX-002","OWNED","Progressive disclosure","UXC-005;UXC-102;UXC-201;UXC-202;UXC-206","all-primary-surfaces","AT-UX-030","prd/06-cross-cutting-nfrs.md"
