spec_id,title,path,quality_state_before_audit,audit_outcome,blocking_findings,warnings,notes,build_candidate,next_lifecycle_action
TS-AHP-001,"Program Authority, Current-State Reconciliation, and Brownfield Source Admission",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-001,"Constitutional Authority, Activation Domains, and Epistemic State",04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-REL-001,"Format 02 Deferral, Historical Evidence Isolation, and Future Activation Gate",CMF_PROGRAM_CONTROL/01_PRODUCT_AUTHORITIES/v2.1-candidates/specs/TS-REL-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AHP-002,AtomicHarnessDefinition Intake and HarnessExecutionBindingManifest,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-002.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-002,"Identity, Context Premise, Resonance, and Matrix of Edging",04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-002.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-004,Primitive Family Registry and Primitive Binding,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-004.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-003,Activation Hypothesis Portfolio and Comparative Search,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-003.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-007,"Brand Genesis, Voice DNA, Visual DNA, and Distillation Layers",04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-007.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-005,"Primitive Coalition Contract, Coalition Signature, Edge Product, and Steering",04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-005.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-008,Planned Activative Intelligence and Interview Asset Contracts,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-008.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-014,Relationship Activation and ReelCast Progression,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-014.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-006,Archetype Coalition and Psychological Role Inside a Tension,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-006.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-013,"Campaign Activation, Freshness, and Audience Reaction",04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-013.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-SKL-001,"Canonical Skills, Skill Composition Recipes, Steering Recipes, and Transformation Contracts",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-SKL-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-009,Live Narrative State Induction and Interviewer Resonance,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-009.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-INT-001,Canonical Interview Source Package and Dual Admission,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-INT-007,Live Activative State and Interview Execution,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-007.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-INT-002,Word/Speaker Alignment and Packed Phrase Transcript,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-002.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-INT-003,"Shot Boundary, Transition, Keyframe, and Visual Reference Index",06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-003.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-INT-006,Reaction Observation and Reaction Receipt Evidence,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-006.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-INT-004,"Tag Provenance, Anchor Hit, and Expression Moment Governance",06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-004.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-011,Expression Moments and Observed Activative Intelligence,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-011.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-INT-005,Expression Ingredient Inventory and Asset Package Spec,06_INTERVIEW_EXPRESSION/docs/tech-specs/TS-INT-005.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-015,"Derivative Activation Programs, Guest Voice DNA Final Scripts, and Mandatory",04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-015.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-016,Activation Transfer Fidelity and Source Fidelity,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-016.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AHP-003,"Source-Backed Content Batch, Archetype Routing, and Derivative Job Contracts",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-003.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-017,"Visual Activation, Composition-Before-Editing, and Production Handoff",04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-017.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-VID-001,Existing VideoEditProgram Adoption and Canonical Source Media Intake,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AIR-019,"Failure Attribution, Selective Repair, and JIT Role Capsules",04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-019.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-ANI-001,Source-Grounded Non-Format-02 2D Animation Derivative Runtime,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-ANI-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-DEL-001,"Source-Grounded Visual Asset Demand, Asset Result, Geometry, and Usage Acknowledgement",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-DEL-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-EVAL-001,Deterministic and Independent Evaluation Profiles,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-EVAL-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-STA-001,"Composition IR, PRETEXT, Geometry, Annotation, and Skia Runtime",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-STA-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-VID-002,"Talking-Head A-Roll Selection, Word-Boundary EDL, and Output-Time Mapping",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-002.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AHP-004,"Workflow Node Kernel, Scheduler, Bounded Roles, and Handoffs",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-004.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-RET-001,Authority-First Hybrid Retrieval and JIT Execution Capsule Compiler,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-RET-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-VAE-BOUND-001,"VAE Provider Ownership for SAM3, Lucida, Layered Generation, ComfyUI, and Google GNM",CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/cross-product-proposals/TS-VAE-BOUND-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-EVAL-002,Rendered Visual Syntax Reparse and Responsible-Layer Diagnosis,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-EVAL-002.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-CAR-001,Source-Grounded Carousel Runtime and Export Package,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-CAR-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-SPV-001,Source-Grounded SuperVisual Runtime and Export Package,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-SPV-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-VID-003,"Captions, Audio, Evidence, B-Roll, Reframing, and Motion-Slot Planning",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-003.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AHP-005,Batch Dependency Graph and Selective Invalidation,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-005.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-VID-004,Temporal Embodiment Binding and FFmpeg Production-Correctness,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-004.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AHP-006,"Durable Events, Checkpoints, Replay, Cancellation, Migration, and Recovery",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-006.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-EVAL-003,"Selective Repair, Invalidation, Repair Limits, and Human Escalation",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-EVAL-003.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-VID-005,"Remotion, HyperFrames, FFmpeg Render, QA, and Export Adapters",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-VID-005.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-AHP-007,"Execution Fingerprints, Sandbox, Continuous Assurance, and Incident Containment",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-007.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
TS-CAS-001,Natural-Language Revision Compiler and ChangeRequestProgram,07_CONSCIOUS_ACTIVATIONS_STUDIO/docs/tech-specs/TS-CAS-001.md,WRITTEN_PENDING_AUDIT,AUDIT_BLOCKED,1,0,0,False,RERUN_PROMPT_04
