action,spec_id,title,status,change
AMEND,TS-AHP-041,Format 02 Thirteen-Registry Runtime Contract,DEFERRED_AWAITING_FORMAT02_HARNESS,Remove from active Gate-C queue
AMEND,TS-AHP-042,CharacterPerformanceProgram Schema and Compiler,DEFERRED_AWAITING_FORMAT02_HARNESS,Remove from active Gate-C queue
AMEND,TS-AHP-043,Format 02 Compatibility and Continuity,DEFERRED_AWAITING_FORMAT02_HARNESS,Remove from active Gate-C queue
AMEND,TS-AHP-044,Format 02 Temporal Embodiment,DEFERRED_AWAITING_FORMAT02_HARNESS,Remove from active Gate-C queue
AMEND,TS-CAS-UI-012,Format 02 Workbench,DEFERRED_AWAITING_FORMAT02_HARNESS,Do not build current Studio surface
REPLACE,TS-CAS-UI-011,Video Timeline Workbench migration,ACTIVE,Replace timeline panel; preserve useful shell and integrations
ADD,TS-CAS-PM-001,Human Resolution Episode and Programming Material Ledger,ACTIVE_GATE_A,Every human decision becomes programming material
ADD,TS-CAS-PM-002,Programming Material Attribution and Dataset Builder,ACTIVE_GATE_B,Generate scoped datasets and hard negatives
ADD,TS-CAS-PM-003,"Preference, Repair, and Demonstration Extraction",ACTIVE_GATE_B,Derive learning episodes
ADD,TS-CAS-PM-004,Shadow Replay and Programmed Model Promotion,ACTIVE_GATE_C,Evaluate future models
ADD,TS-CAS-AUT-001,"Campaign Order, Seed, Taste, Budget and Output Contract",ACTIVE_GATE_A,Order-to-ship entry contract
ADD,TS-CAS-AUT-002,Harness Autonomy Modes and Human-Gate Policy,ACTIVE_GATE_A,Exception-only supervision
ADD,TS-CAS-AUT-003,Exception Supervision and Selective Rerun,ACTIVE_GATE_B,Correct course without full rerun
ADD,TS-CAS-AUT-004,"Ship, Export, Publication and Post-Production Evidence",ACTIVE_GATE_B,Complete order-to-ship path
ADD,TS-CAS-REV-001,Operator Revision Request Contract,ACTIVE_GATE_A,Typed correction intake
ADD,TS-CAS-REV-002,Static Revision Compiler Programmed Model,ACTIVE_GATE_B,Request to exact static tools
ADD,TS-CAS-REV-003,Video Revision Compiler Programmed Model,ACTIVE_GATE_B,Request to exact video tools
ADD,TS-CAS-REV-004,VAE Revision Compiler Programmed Model,ACTIVE_GATE_B,Request to exact VAE tools
ADD,TS-CAS-STUDIO-021,Category Studio Plugin Registry and Harness Surface Routing,ACTIVE_GATE_A,One shell with category-native modules
ADD,TS-CAS-VIDEO-001,Timeline Foundation Evaluation and Adoption,ACTIVE_GATE_A,"Select Remotion Timeline, Elah, Twick, or approved alternative"
