spec_id,title,product,phase,spec_path,spec_sha256,phase_relationship,per_spec_status,implementation_paths,test_paths,acceptance_criteria_count,direct_test_evidence_count,implementation_without_direct_ac_test_count,unimplemented_or_nonbehavior_ac_count,gap_ids,maximum_supported_claim,full_spec_completed
TS-AIR-001,"TS-AIR-001 — Constitutional Authority, Activation Domains, and Epistemic State",AIR,PHASE_02,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-001.md,622b32dc08259bc8148c60f5865359c6a76de37037103789ff1fda0f842c6cbc,IMPLEMENTED_CORE_SUBSET,PARTIALLY_IMPLEMENTED,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/domain.py;04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/application.py;04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/repositories/air_repository.py,tests/phase2/test_air_core.py::AirDomainTests::test_activation_domains_are_complete;tests/phase2/test_air_core.py::AirDomainTests::test_epistemic_transition_requires_operator_evidence;tests/phase2/test_air_core.py::AirDomainTests::test_planned_cannot_become_observed;tests/phase2/test_air_core.py::AirSemanticFlowTests::test_idempotent_replay_and_revision_conflict,10,5,5,0,GAP-EVAL-INDEPENDENT;GAP-MIGRATION-FAULT-INJECTION;GAP-PER-SPEC-TESTS,CORE_SUBSET_DEVELOPMENT_EVIDENCE_ONLY,False
TS-AIR-002,"TS-AIR-002 — Identity, Context, Resonance, and Matrix of Edging",AIR,PHASE_02,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-002.md,258c711d84dbbf2e8abc79e910d825cb8370dd0b7e0940e81d91d8a93e1b43e5,IMPLEMENTED_CORE_SUBSET,PARTIALLY_IMPLEMENTED,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/context_service.py;04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/domain.py;04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/repositories/air_repository.py,tests/phase2/test_air_core.py::AirSemanticFlowTests::test_end_to_end_semantic_core;tests/phase2/test_air_core.py::AirSemanticFlowTests::test_idempotent_replay_and_revision_conflict,17,8,9,0,GAP-BROAD-FIRST-PORTFOLIO;GAP-EVAL-INDEPENDENT;GAP-MIGRATION-FAULT-INJECTION;GAP-PER-SPEC-TESTS,CORE_SUBSET_DEVELOPMENT_EVIDENCE_ONLY,False
TS-AIR-004,TS-AIR-004 — Primitive Family Registry and Primitive Binding,AIR,PHASE_02,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-004.md,c30b656d288f4e781564f2cdf9a39acab79c14e6cdace02d88df14869f9edf58,IMPLEMENTED_CORE_SUBSET,PARTIALLY_IMPLEMENTED,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/repositories/registry_repository.py;04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/primitive_service.py;04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/domain.py,tests/phase2/test_air_core.py::AirRegistryTests::test_exact_inventory_counts_and_duplicate_preservation;tests/phase2/test_air_core.py::AirRegistryTests::test_duplicate_id_requires_source_hash;tests/phase2/test_air_core.py::AirSemanticFlowTests::test_end_to_end_semantic_core,14,3,11,0,GAP-PRIMITIVE-RELATION-GRAPH;GAP-PRIMITIVE-STAGE-COVERAGE;GAP-EVAL-INDEPENDENT;GAP-PER-SPEC-TESTS,CORE_SUBSET_DEVELOPMENT_EVIDENCE_ONLY,False
TS-AIR-005,"TS-AIR-005 — Primitive Coalition Contract, Coalition Signature, Edge Product, and Steering Recipes",AIR,PHASE_02,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-005.md,5dcf631efc4f68f40edd0991ca3ae4be9073da68aa441c52d37e874e70a43e49,IMPLEMENTED_CORE_SUBSET,PARTIALLY_IMPLEMENTED,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/coalition_service.py;04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/domain.py,tests/phase2/test_air_core.py::AirSemanticFlowTests::test_end_to_end_semantic_core,17,4,13,0,GAP-COALITION-CANDIDATE-PORTFOLIO;GAP-STEERING-RECIPE-LIFECYCLE;GAP-EVAL-INDEPENDENT;GAP-PER-SPEC-TESTS,CORE_SUBSET_DEVELOPMENT_EVIDENCE_ONLY,False
TS-AIR-006,TS-AIR-006 — Archetype Coalition and Psychological Role Inside a Tension,AIR,PHASE_02,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-006.md,f7e8b5ab03959fb503cbf5b862d4a139d35272e49f708372e40981721505a4a4,IMPLEMENTED_CORE_SUBSET,PARTIALLY_IMPLEMENTED,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/archetype_service.py;04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/primitive_service.py;04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/domain.py,tests/phase2/test_air_core.py::AirDomainTests::test_role_and_tension_must_be_distinct;tests/phase2/test_air_core.py::AirRegistryTests::test_archetypes_remain_historical_evidence;tests/phase2/test_air_core.py::AirSemanticFlowTests::test_end_to_end_semantic_core,15,3,12,0,GAP-ARCHETYPE-CANDIDATE-PORTFOLIO;GAP-CATEGORY-GEOMETRY-VALIDATION;GAP-EVAL-INDEPENDENT;GAP-PER-SPEC-TESTS,CORE_SUBSET_DEVELOPMENT_EVIDENCE_ONLY,False
TS-AIR-007,"TS-AIR-007 — Brand Genesis, Voice DNA, Visual DNA, and Distillation Layers",AIR,PHASE_02,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-007.md,e6a2b106a751463bd14be44b6b36bbb14e7f6ff05984fae85c5357d7bc6199ec,IMPLEMENTED_CORE_SUBSET,PARTIALLY_IMPLEMENTED,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/brand_service.py;04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/domain.py,tests/phase2/test_air_core.py::AirSemanticFlowTests::test_end_to_end_semantic_core,13,4,9,0,GAP-VOICE-APPLICATION;GAP-VISUAL-DNA-APPLICATION;GAP-CCV-PORTFOLIO;GAP-SDA-SFL-CROSSWALK;GAP-EVAL-INDEPENDENT;GAP-PER-SPEC-TESTS,CORE_SUBSET_DEVELOPMENT_EVIDENCE_ONLY,False
TS-AIR-018,TS-AIR-018 - Human Resolution Episodes and Scoped Learning,AIR,PHASE_02,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-018.md,cd817a664a574efe526daccb81d9ee299f3fdeaf9b999710278173423bceb753,IMPLEMENTED_CORE_SUBSET,PARTIALLY_IMPLEMENTED,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/learning_service.py;04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/domain.py,tests/phase2/test_air_core.py::AirDomainTests::test_human_resolution_cannot_claim_automatic_promotion,6,0,0,6,GAP-SPEC-AC-NOT-BEHAVIORAL;GAP-HUMAN-RESOLUTION-RETRIEVAL;GAP-PER-SPEC-TESTS,CORE_SUBSET_DEVELOPMENT_EVIDENCE_ONLY,False
TS-AIR-019,"TS-AIR-019 - Failure Attribution, Selective Repair, and JIT Role Capsules",AIR,PHASE_02,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-019.md,515e42a7e015c212f9f972b4e78e1e7aa0558816448f10ff18db9b9a7f7ecd5e,IMPLEMENTED_CORE_SUBSET,PARTIALLY_IMPLEMENTED,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/failure_service.py;04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/learning_service.py;04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/domain.py,tests/phase2/test_air_core.py::AirSemanticFlowTests::test_failure_routing_preserves_product_sovereignty,19,5,14,0,GAP-MULTICAUSAL-ATTRIBUTION;GAP-JIT-ROLE-CONTEXT;GAP-LEARNING-ADMISSION;GAP-EVAL-INDEPENDENT;GAP-PER-SPEC-TESTS,CORE_SUBSET_DEVELOPMENT_EVIDENCE_ONLY,False
TS-AHP-001,"TS-AHP-001 - Program Authority, Current-State Reconciliation, and Brownfield Source Admission",AHP,PHASE_03,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-001.md,5e7fc914dbcfa330ffd903c318158639ca74dc8fcb68eafd9a172772aca89444,IMPLEMENTED_CORE_SUBSET,PARTIALLY_IMPLEMENTED,05_ATOMIC_HARNESS_PIPELINE/src/cmf_pipeline/authority/service.py;05_ATOMIC_HARNESS_PIPELINE/src/cmf_pipeline/application.py;05_ATOMIC_HARNESS_PIPELINE/contracts/schemas/authority-snapshot.schema.json,tests/phase3/test_authority_and_batch.py::AuthorityBatchTests::test_program_control_status_wins_and_claim_dimensions_stay_separate;tests/phase3/test_authority_and_batch.py::AuthorityBatchTests::test_candidate_authority_denies_build_claim;tests/phase3/test_schemas_cli_boundaries.py::SchemaCliBoundaryTests::test_no_format02_or_vae_stage5_activation,14,4,10,0,GAP-REAL-PROGRAM-CONTROL-ADAPTER;GAP-BROWNFIELD-COMPLETE-DISPOSITION;GAP-MIGRATION-FAULT-INJECTION;GAP-PER-SPEC-TESTS,CORE_SUBSET_DEVELOPMENT_EVIDENCE_ONLY,False
TS-AHP-002,TS-AHP-002 - AtomicHarnessDefinition Intake and HarnessExecutionBindingManifest,AHP,PHASE_03,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-002.md,3e76ee7e4ec8f3b288a58bb8b8eb886195d9ad17097c67ded613c22fbb3dccd4,IMPLEMENTED_CORE_SUBSET,PARTIALLY_IMPLEMENTED,05_ATOMIC_HARNESS_PIPELINE/src/cmf_pipeline/intake/package_verifier.py;05_ATOMIC_HARNESS_PIPELINE/src/cmf_pipeline/intake/definition_intake.py;05_ATOMIC_HARNESS_PIPELINE/src/cmf_pipeline/intake/graph_reconciler.py;05_ATOMIC_HARNESS_PIPELINE/src/cmf_pipeline/bindings/compiler.py,tests/phase3/test_intake_and_bindings.py::IntakeBindingTests::test_safe_archive_rejects_traversal;tests/phase3/test_intake_and_bindings.py::IntakeBindingTests::test_import_reconcile_and_exact_binding;tests/phase3/test_intake_and_bindings.py::IntakeBindingTests::test_binding_denies_missing_and_ambiguous_candidates;tests/phase3/test_intake_and_bindings.py::IntakeBindingTests::test_format02_is_rejected,14,6,8,0,GAP-REAL-BUILDER-PACKAGE-CORPUS;GAP-BINDING-INVALIDATION-E2E;GAP-PER-SPEC-TESTS,CORE_SUBSET_DEVELOPMENT_EVIDENCE_ONLY,False
