gap_id,severity,status,description,affected_specs,required_action
GAP-PER-SPEC-TESTS,HIGH,OPEN,All phases use aggregate test modules instead of exact product-local per-Spec test paths and one-Spec Build Receipts.,TS-AHP-001;TS-AHP-002;TS-AHP-003;TS-AHP-004;TS-AHP-005;TS-AHP-006;TS-AHP-007;TS-AHP-008;TS-AIR-001;TS-AIR-002;TS-AIR-004;TS-AIR-005;TS-AIR-006;TS-AIR-007;TS-AIR-018;TS-AIR-019;TS-INT-001;TS-REL-001,Create exact per-Spec suites and acceptance receipts before claiming full Spec completion.
GAP-EVAL-INDEPENDENT,HIGH,OPEN,"Independent evaluator identities, calibration, and eligibility decisions are represented structurally but not executed as a distinct evaluator runtime.",TS-AIR-001;TS-AIR-002;TS-AIR-004;TS-AIR-005;TS-AIR-006;TS-AIR-007;TS-AIR-019,Implement/evidence independent evaluator execution in later evaluation phase.
GAP-MIGRATION-FAULT-INJECTION,HIGH,OPEN,Full migration matrices and fault injection at every persistence boundary are not demonstrated.,TS-AHP-001;TS-AHP-004;TS-AHP-006;TS-AIR-001;TS-AIR-002,"Add migration fixtures, deterministic replay, and transactional failure injection."
GAP-BROAD-FIRST-PORTFOLIO,MEDIUM,OPEN,Matrix storage exists but broad-first candidate portfolio and survival comparison are not fully implemented.,TS-AIR-002,Implement TS-AIR-003/TS-AIR-002 portfolio flow.
GAP-PRIMITIVE-RELATION-GRAPH,MEDIUM,OPEN,"Primitive records and bindings exist, but the complete typed relation graph and resolution evidence are incomplete.",TS-AIR-004,Implement relation resolver and conflict evidence.
GAP-PRIMITIVE-STAGE-COVERAGE,MEDIUM,OPEN,Stage/category coverage matrices and evidence-bearing NOT_APPLICABLE are not fully evaluated.,TS-AIR-004,Add stage coverage service and tests.
GAP-COALITION-CANDIDATE-PORTFOLIO,MEDIUM,OPEN,One coalition can be stored; comparative coalition portfolios are not implemented.,TS-AIR-005,Implement coalition candidate generation/comparison.
GAP-STEERING-RECIPE-LIFECYCLE,MEDIUM,OPEN,Steering Recipe candidates are referenced but not governed through promotion lifecycle.,TS-AIR-005,Implement candidate and promotion evidence lifecycle.
GAP-ARCHETYPE-CANDIDATE-PORTFOLIO,MEDIUM,OPEN,Archetype evidence and one program exist; comparative candidate portfolio/rejection workflow is incomplete.,TS-AIR-006,Implement candidate portfolio and explicit rejection receipts.
GAP-CATEGORY-GEOMETRY-VALIDATION,MEDIUM,OPEN,Category geometry is stored as text and not independently validated across derivatives.,TS-AIR-006,Add category geometry registry and evaluator.
GAP-VOICE-APPLICATION,HIGH,OPEN,Voice DNA storage exists; constrained transformation and contrastive continuity evaluation are not implemented.,TS-AIR-007,Implement VoiceDNAApplication in Phase 5.
GAP-VISUAL-DNA-APPLICATION,HIGH,OPEN,Visual DNA storage exists; semantic visual application and integrity evaluation are not implemented.,TS-AIR-007,Implement VisualDNAApplication in Phase 5/6.
