obligation_id,type,title,bounded_ST_03_04_interpretation,acceptance_evidence
ADR-004,ARCHITECTURE_DECISION,Deterministic compilers canonical serialization and schema evolution,"Canonical UTF-8 bytes content hashes immutable compiler/config identity declared IR dependencies and one atomic manifest govern all projections.",golden cross-context hash tests and atomic manifest tests
AG-018,BINDING_ANTI_GOAL,Duplicate authoritative truth across artifacts,"Every generated value is an IR projection with source-node paths; manual generated-view edits never become authority.",single-source and drift negative tests
FR-054,FUNCTIONAL_REQUIREMENT,Compile sharded human-readable specifications,"Compile the exact eight bounded Markdown shards from the canonical IR while preserving governed status and links.",human shard inventory content and source-node tests
FR-055,FUNCTIONAL_REQUIREMENT,Compile OpenSpec as a governed view,"Compile change schema-view and implementation-governance JSON projections that name source IR/compiler hashes and remain non-authoritative.",OpenSpec view inventory and drift tests
FR-056,FUNCTIONAL_REQUIREMENT,Compile machine artifacts from the same IR,"Compile ten non-executable machine projections for registry contracts graphs skills evaluation repair dashboard fixture traceability and implementation-ticket views.",machine inventory cross-artifact and source-node tests
FR-057,FUNCTIONAL_REQUIREMENT,Protect generated authoritative artifacts from silent manual drift,"Validate artifact bytes against the manifest; quarantine altered views and emit a drift report without changing IR.",manual mutation quarantine and IR non-mutation tests
FR-058,FUNCTIONAL_REQUIREMENT,Bind artifacts to compiler and source hashes,"Every artifact and manifest records IR hash source-node set compiler ID/version config hash reproducible generation timestamp and content hash.",manifest completeness and stale-detection tests
NFR-MAINT-001,NON_FUNCTIONAL_REQUIREMENT,Single-source generation,"Human OpenSpec and machine views are projections of one HarnessIR and contain no independently maintained semantic values.",declared-read and no-duplicate-authority tests
NFR-REL-001,NON_FUNCTIONAL_REQUIREMENT,Deterministic replay,"Identical IR compiler version and reproducible build config produce byte-identical artifacts manifest and receipt in fresh contexts.",two fresh-context golden runs
NFR-REL-003,NON_FUNCTIONAL_REQUIREMENT,Idempotent compilation,"Repeat command and compilation key return the same manifest and receipt without duplicate events.",idempotency payload-mismatch and event-count tests
