source_id,kind,exact_path,observed_sha_or_blob_sha,authority,disposition,proposed_target,role
SRC-CUR-001,current_authority,CMF_PROGRAM_CONTROL/00_CONSTITUTION/CONSTITUTIONAL_AUTHORITY.md,2046c10e4e88f2c796c74cdaeeb483e56c8f2a5a,program_control,REFERENCE,,Constitutional precedence and current product-authority pointer.
SRC-CUR-002,current_authority,CMF_PROGRAM_CONTROL/00_CONSTITUTION/current-v1.1/docs/00_ACTIVATIVE_SYSTEM_CONSTITUTION.md,6afa04508ec969799403079e4faa09d62a8c4fbc,highest_order,REFERENCE,,"Activation First, Visual Syntax First, product topology and semantic lineage."
SRC-CUR-003,current_status,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/MASTER_STATUS.md,e3aac414c02f2fbec329687853ee43cbf06f0132,program_status,REFERENCE,,Public repository convergence and authorization status observed 2026-07-15.
SRC-CUR-004,builder_contract,01_ATOMIC_HARNESS_BUILDER/src/cmf_builder/domain/atomic_harness_definition.py,897dd3f66ce05f6c33c32ff9302fbcabdf236a05,builder_implementation,REFERENCE,,Canonical AtomicHarnessDefinition structure and execution-free status.
SRC-CUR-005,builder_contract,01_ATOMIC_HARNESS_BUILDER/src/cmf_builder/domain/category_binding.py,abc3a7a8b93fe58c8b448d2593eb94df75f61e55,builder_implementation,REFERENCE,,Five canonical Category identities and rich lineage binding.
SRC-CUR-006,builder_contract,01_ATOMIC_HARNESS_BUILDER/src/cmf_builder/domain/format_profiles.py,ce4c3106cfc0f39115857e838d36f1eec626b7a1,builder_implementation,REFERENCE,,"Current edited-video, Format 02 and conversational profile identities."
SRC-CUR-007,builder_contract,01_ATOMIC_HARNESS_BUILDER/src/cmf_builder/domain/category_runtime_rules.py,d0630b7b42fadc83290086e71fd9d608da15157b,builder_implementation,REFERENCE,,"Category-native runtime plan requirements, evaluation dimensions and repair units."
SRC-CUR-008,builder_contract,01_ATOMIC_HARNESS_BUILDER/src/cmf_builder/domain/capability_ownership.py,d34415c7d302ccdeb74a357d35c39dfe21e1edd2,builder_implementation,REFERENCE,,Current broad Capability Ownership graph and explicit handoff evidence.
SRC-CUR-009,builder_contract,01_ATOMIC_HARNESS_BUILDER/src/cmf_builder/skills/jit_capsule.py,335f336a76c5efae1c182002274a3f42f3048671,builder_implementation,REFERENCE,,Existing phase-local JIT Execution Capsule taxonomy and integrity rules.
SRC-CUR-010,builder_contract,01_ATOMIC_HARNESS_BUILDER/src/cmf_builder/workflow/actor_explicit_contracts.py,2d19f2f85c2b76455e693c78cc11eda6076da949,builder_implementation,REFERENCE,,"Execution-free Workflow Node, edge, authority and validation contracts."
SRC-CUR-011,builder_status,01_ATOMIC_HARNESS_BUILDER/CURRENT_PROJECT_STATUS.md,3e58dd98b76ace361a67522a93dcf152b754fb91,builder_status,REFERENCE,,Public Builder status snapshot; must be reconciled with newer operator-local receipts before implementation.
SRC-CUR-012,builder_boundary,01_ATOMIC_HARNESS_BUILDER/docs/implementation/offline-development/SOURCE_BOUNDARY_REGISTRY.yaml,1bc7076b1612eb2f021d263dc8a5e78bc6a19009,builder_boundary,REFERENCE,,Exact current Builder source ownership and prohibited external imports.
SRC-CUR-013,vae_prd,02_VISUAL_ASSET_EDITOR/prd/index.md,2f3252e6b8afcce4cb50406c242d0b562762c945,vae_prd,REFERENCE,,VAE 22-feature PRD index.
