requirement_id,type,feature_id,title,decisions,user_journeys,cross_cutting_nfrs,source_file
FR-001,FR,F01,Select one explicit compilation target,D004;D006,UJ-01,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-002,FR,F01,Create a stable run identity,D005;D025,UJ-01,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-003,FR,F01,Enforce a typed lifecycle state machine,D006;D027,UJ-01;UJ-09,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-004,FR,F01,Apply target-specific lifecycle profiles,D004;D006,UJ-01,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-005,FR,F01,Govern lifecycle waivers,D002;D006;D027,UJ-09,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-006,FR,F01,Emit an event for every authoritative transition,D025,UJ-09,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-007,FR,F01,Resume without replaying human decisions,D010;D025,UJ-04,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-008,FR,F01,Enforce the Builder product boundary,D001;D029;D033,UJ-11,NFR-REL-001;NFR-REL-002;NFR-REL-003;NFR-TRACE-002;NFR-OBS-001,prd/05-features/F01-governed-product-lifecycle.md
FR-009,FR,F02,Define target-specific source profiles,D005;D006,UJ-01,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-010,FR,F02,Run source-readiness diagnostics before initialization,D005,UJ-01,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-011,FR,F02,Read directories and archives without mutating sources,D005;D028,UJ-01,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-012,FR,F02,Require a real target candidate boundary,D005,UJ-01,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-013,FR,F02,Create an immutable source lock,D005;D025,UJ-01,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-014,FR,F02,Build a queryable evidence index,D003;D005,UJ-01;UJ-03,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-015,FR,F02,Inventory every target specimen,D007;D023,UJ-02,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-016,FR,F02,Evaluate a measurable saturation contract,D003;D007,UJ-01;UJ-02,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-017,FR,F02,Classify evidence gaps and authority conflicts,D005;D007,UJ-01;UJ-09,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-018,FR,F02,Issue typed saturation outcomes,D007;D027,UJ-01;UJ-09,NFR-REL-004;NFR-TRACE-001;NFR-TRACE-004;NFR-SEC-003;NFR-SCALE-001,prd/05-features/F02-configured-evidence-workspace.md
FR-019,FR,F03,Normalize every visual specimen,D007,UJ-02,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-020,FR,F03,Detect duplicate and near-duplicate visual evidence,D007;D023,UJ-02,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-021,FR,F03,Produce a typed specimen-level visual syntactic parse,D007;D012,UJ-02,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
FR-022,FR,F03,Use a canonical parsing ontology with category adaptations,D030;D031,UJ-02;UJ-06,NFR-TRACE-001;NFR-TRACE-004;NFR-EVAL-001;NFR-EVAL-002;NFR-CAT-001,prd/05-features/F03-visual-syntax-first.md
