artifact_path,artifact_type,verdict,reason,required_batch,owner,status
"docs/product-authority/CURRENT_AUTHORITY.md","authority_pointer","UNCHANGED","Already points to V1.2 and states merge not restart","A","product_authority","verified"
"docs/product-authority/BUILDER_V1_2_CONSTITUTIONAL_ALIGNMENT_AMENDMENT.md","binding_authority","UNCHANGED","Repository copy matches the current authority amendment","A","product_authority","verified"
"README.md","package_readme","PATCH_REQUIRED","Update package identity category count and amendment entry point","B","product_authority","mapped"
"addendum/BMAD_METHOD_ADAPTATION.md","method_addendum","PATCH_REQUIRED","Still names four category constitutions","B","product_authority","mapped"
"prd/03-glossary.md","prd_shard","PATCH_REQUIRED","Canonical Format Category still means one of four and new constitutional terms are absent","B","product_authority","mapped"
"prd/05-features/F14-format-categories-sequencing.md","prd_feature_shard","PATCH_REQUIRED","Synchronize all five changed FRs fifth category and conversational syntax","B","product_authority","mapped"
"prd/05-features/F16-v2-migration-release.md","prd_feature_shard","BLOCKED","FR-169 still requires all four categories; HD-003 decides current portfolio meaning","B","product_lead","pending_HD-003"
"prd/07-format-category-constitutions.md","prd_shard","PATCH_REQUIRED","Add fifth category profiles truth sovereignty and dual-order law","B","product_authority","mapped"
"prd/08-success-metrics.md","prd_shard","PATCH_REQUIRED","Expose complete constitutional evaluation dimensions and non-compensable wrong-reading rejection","B","evaluation_governance","mapped"
"prd/09-non-goals-anti-goals.md","prd_shard","PATCH_REQUIRED","AG-004 still names four categories","B","product_authority","mapped"
"prd/10-mvp-release-plan.md","prd_shard","BLOCKED","Remaining three categories becomes remaining four subject to HD-002","B","product_lead","pending_HD-002"
"prd/12-assumptions-open-questions.md","prd_shard","BLOCKED","A-002 still declares four category names canonical","B","product_authority","pending_HD-001"
"prd/13-implementation-readiness-handoff.md","prd_shard","PATCH_REQUIRED","Add precedence dual-order new category semantic lineage and wrong-reading readiness requirements","B","product_authority","mapped"
"prd/index.md","prd_index","PATCH_REQUIRED","Add amendment and pinned constitution navigation","B","product_authority","mapped"
"prd/PRD_COMBINED.md","generated_prd","PATCH_REQUIRED","Regenerate only after authoritative shards are reconciled","B","documentation_tooling","mapped"
"governance/CANONICAL_CATEGORY_REGISTRY.yaml","governance_registry","PATCH_REQUIRED","Add conversational_activation_expression and four initial profiles","B","category_steward","mapped"
"governance/CONSTITUTIONAL_PRECEDENCE_CONTRACT.yaml","governance_contract","NEW_ARTIFACT","Pin Constitution v1.1.0 hash and controlling rule","B","product_authority","mapped"
"sources/CCP_ACTIVATIVE_INTELLIGENCE_VISUAL_NARRATIVE_CONSTITUTION_V1_1.md","pinned_authority_source","NEW_ARTIFACT","Add the exact constitution bytes named by the precedence contract","B","product_authority","mapped"
"governance/PRODUCT_CONSTITUTION.yaml","governance_constitution","PATCH_REQUIRED","Add fifth category precedence and complete both runtime chains including T/V route request","B","product_authority","mapped"
"governance/READINESS_HARD_GATES.yaml","governance_gate_registry","PATCH_REQUIRED","Add HG-015","B","evaluation_governance","mapped"
"governance/REQUIREMENTS_REGISTRY.yaml","requirement_registry","BLOCKED","Apply five stable FR changes and resolve FR-169 under HD-003","B","product_authority","pending_HD-003"
