spec_id,product,original_path,recovery_output_path,output_path_class,nearest_agents_file,target_product_agents_file,repository_write_authority_result,writing_wave,dispatch_state
TS-AHP-001,Atomic Harness Pipeline,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-001.md,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-001.md,DIRECT_PRODUCT_SPEC_PATH,NONE,NONE,PASS_EXPLICIT_PROMPT02_AND_PROMPT02C_SPECIFICATION_PATH_AUTHORIZATION,0,RECOVERY_AUTHORIZED_WAVE_0
TS-AIR-001,Activative Intelligence Runtime,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-001.md,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-001.md,DIRECT_PRODUCT_SPEC_PATH,NONE,NONE,PASS_EXPLICIT_PROMPT02_AND_PROMPT02C_SPECIFICATION_PATH_AUTHORIZATION,0,RECOVERY_AUTHORIZED_WAVE_0
TS-REL-001,Program Control,CMF_PROGRAM_CONTROL/01_PRODUCT_AUTHORITIES/v2.1-candidates/specs/TS-REL-001.md,CMF_PROGRAM_CONTROL/01_PRODUCT_AUTHORITIES/v2.1-candidates/specs/TS-REL-001.md,DIRECT_PRODUCT_SPEC_PATH,NONE,NONE,PASS_EXPLICIT_PROMPT02_AND_PROMPT02C_SPECIFICATION_PATH_AUTHORIZATION,0,RECOVERY_AUTHORIZED_WAVE_0
TS-AHP-002,Atomic Harness Pipeline,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-002.md,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-002.md,DIRECT_PRODUCT_SPEC_PATH,NONE,NONE,PASS_EXPLICIT_PROMPT02_AND_PROMPT02C_SPECIFICATION_PATH_AUTHORIZATION,1,RECOVERY_VALID_WAITING_FOR_UPSTREAM_DRAFTS
TS-AIR-002,Activative Intelligence Runtime,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-002.md,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-002.md,DIRECT_PRODUCT_SPEC_PATH,NONE,NONE,PASS_EXPLICIT_PROMPT02_AND_PROMPT02C_SPECIFICATION_PATH_AUTHORIZATION,1,RECOVERY_VALID_WAITING_FOR_UPSTREAM_DRAFTS
TS-AIR-004,Activative Intelligence Runtime,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-004.md,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-004.md,DIRECT_PRODUCT_SPEC_PATH,NONE,NONE,PASS_EXPLICIT_PROMPT02_AND_PROMPT02C_SPECIFICATION_PATH_AUTHORIZATION,1,RECOVERY_VALID_WAITING_FOR_UPSTREAM_DRAFTS
TS-AIR-003,Activative Intelligence Runtime,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-003.md,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-003.md,DIRECT_PRODUCT_SPEC_PATH,NONE,NONE,PASS_EXPLICIT_PROMPT02_AND_PROMPT02C_SPECIFICATION_PATH_AUTHORIZATION,2,RECOVERY_VALID_WAITING_FOR_UPSTREAM_DRAFTS
TS-AIR-007,Activative Intelligence Runtime,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-007.md,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-007.md,DIRECT_PRODUCT_SPEC_PATH,NONE,NONE,PASS_EXPLICIT_PROMPT02_AND_PROMPT02C_SPECIFICATION_PATH_AUTHORIZATION,2,RECOVERY_VALID_WAITING_FOR_UPSTREAM_DRAFTS
TS-AIR-005,Activative Intelligence Runtime,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-005.md,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-005.md,DIRECT_PRODUCT_SPEC_PATH,NONE,NONE,PASS_EXPLICIT_PROMPT02_AND_PROMPT02C_SPECIFICATION_PATH_AUTHORIZATION,2,RECOVERY_VALID_WAITING_FOR_UPSTREAM_DRAFTS
TS-AIR-008,Activative Intelligence Runtime,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-008.md,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-008.md,DIRECT_PRODUCT_SPEC_PATH,NONE,NONE,PASS_EXPLICIT_PROMPT02_AND_PROMPT02C_SPECIFICATION_PATH_AUTHORIZATION,3,RECOVERY_VALID_WAITING_FOR_UPSTREAM_DRAFTS
