spec_id,canonical_path,quality_state,spec_present,writing_receipt_present,files_read_receipt_present,source_traceability_present,audit_eligible,audit_status
TS-AHP-001,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-001,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-REL-001,CMF_PROGRAM_CONTROL/01_PRODUCT_AUTHORITIES/v2.1-candidates/specs/TS-REL-001.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AHP-002,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-002.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-002,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-002.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-004,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-004.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-003,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-003.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-007,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-007.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-005,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-005.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
TS-AIR-008,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-008.md,QUEUED_FOR_WRITE,false,false,false,false,false,AUDIT_NOT_STARTED_PROMPT03_GATE_FAILED
