edge_id,upstream_spec_id,downstream_spec_id,primary_class,write_blocking,unique_required_information,write_satisfaction,accepted_for_build_required_at_write,build_state_blocks_write,classification_basis
SDE-001,TS-AHP-001,TS-AHP-002,AUTHORITY_DEPENDENCY,True,True,EXPLICIT_CANDIDATE_SPECIFICATION_WORK_AUTHORIZATION_PLUS_HASH_PINNED_UPSTREAM_DRAFT,False,False,Upstream fixes the governing authority or release boundary required to draft the downstream contract.
SDE-002,TS-AIR-001,TS-AHP-002,AUTHORITY_DEPENDENCY,True,True,EXPLICIT_CANDIDATE_SPECIFICATION_WORK_AUTHORIZATION_PLUS_HASH_PINNED_UPSTREAM_DRAFT,False,False,Upstream fixes the governing authority or release boundary required to draft the downstream contract.
SDE-003,TS-AIR-001,TS-AIR-002,AUTHORITY_DEPENDENCY,True,True,EXPLICIT_CANDIDATE_SPECIFICATION_WORK_AUTHORIZATION_PLUS_HASH_PINNED_UPSTREAM_DRAFT,False,False,Upstream fixes the governing authority or release boundary required to draft the downstream contract.
SDE-004,TS-AIR-001,TS-AIR-004,AUTHORITY_DEPENDENCY,True,True,EXPLICIT_CANDIDATE_SPECIFICATION_WORK_AUTHORIZATION_PLUS_HASH_PINNED_UPSTREAM_DRAFT,False,False,Upstream fixes the governing authority or release boundary required to draft the downstream contract.
SDE-005,TS-AIR-001,TS-AIR-003,AUTHORITY_DEPENDENCY,True,True,EXPLICIT_CANDIDATE_SPECIFICATION_WORK_AUTHORIZATION_PLUS_HASH_PINNED_UPSTREAM_DRAFT,False,False,Upstream fixes the governing authority or release boundary required to draft the downstream contract.
SDE-006,TS-AIR-002,TS-AIR-003,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-007,TS-AIR-001,TS-AIR-007,AUTHORITY_DEPENDENCY,True,True,EXPLICIT_CANDIDATE_SPECIFICATION_WORK_AUTHORIZATION_PLUS_HASH_PINNED_UPSTREAM_DRAFT,False,False,Upstream fixes the governing authority or release boundary required to draft the downstream contract.
SDE-008,TS-AIR-002,TS-AIR-007,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-009,TS-AIR-002,TS-AIR-005,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-010,TS-AIR-004,TS-AIR-005,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-011,TS-AIR-002,TS-AIR-008,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-012,TS-AIR-003,TS-AIR-008,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-013,TS-AIR-002,TS-AIR-014,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-014,TS-AIR-003,TS-AIR-014,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-015,TS-AIR-002,TS-AIR-006,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
SDE-016,TS-AIR-005,TS-AIR-006,WRITE_INTERFACE_DEPENDENCY,True,True,HASH_PINNED_UPSTREAM_DRAFT_OR_REVISED_DRAFT_OR_GOVERNED_CONTRACT_SEED,False,False,"Downstream contract consumes or constrains an upstream typed object, workflow boundary, or handoff; draft interface detail is required at WRITE."
