inventory_id,authority_type,title,primary_epic_id,primary_epic_title,secondary_epic_ids,source_release_scope,epic_release_disposition,active_blockers,carried_gate_refs,assignment_basis
ADR-001,ARCHITECTURE_DECISION,Product boundary and modular-monolith architecture,EP-01,Governed Run Intake and Evidence Readiness,EP-04,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-014;HD-006,explicit architecture decision ownership
ADR-002,ARCHITECTURE_DECISION,Separate canonical Harness IR and Builder Workflow IR,EP-03,Human-Ratified Genesis and Canonical Harness Definition,EP-04;EP-09,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-008;BD-014,explicit architecture decision ownership
ADR-003,ARCHITECTURE_DECISION,"PostgreSQL event ledger, snapshots, projections, and content-addressed artifacts",EP-10,Evidence-Derived Human Control Tower,EP-01;EP-03;EP-08,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-008;BD-010;BD-014,explicit architecture decision ownership
ADR-004,ARCHITECTURE_DECISION,"Deterministic compilers, canonical serialization, and schema evolution",EP-03,Human-Ratified Genesis and Canonical Harness Definition,EP-04;EP-05;EP-08,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-008;BD-014,explicit architecture decision ownership
ADR-005,ARCHITECTURE_DECISION,Explicit human-agent-code authority and command model,EP-03,Human-Ratified Genesis and Canonical Harness Definition,EP-01;EP-02;EP-04;EP-08,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-008;BD-014,explicit architecture decision ownership
ADR-006,ARCHITECTURE_DECISION,Temporal workflow-engine adapter with deterministic test runtime,EP-09,Governed Builder Workflow Factory,,CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,,BD-008;BD-010;BD-014,explicit architecture decision ownership
ADR-007,ARCHITECTURE_DECISION,Immutable evidence identity and target-specific source profiles,EP-01,Governed Run Intake and Evidence Readiness,EP-08,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-004,BD-004;BD-014;HD-006,explicit architecture decision ownership
ADR-008,ARCHITECTURE_DECISION,Provider-bounded visual inference with knowledge-status separation,EP-02,Syntax-Grounded Understanding and Atomic Boundary,EP-08,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-004;BD-007,BD-004;BD-007;BD-008;HD-006,explicit architecture decision ownership
ADR-009,ARCHITECTURE_DECISION,Versioned skill ecology and deterministic JIT capsule compiler,EP-05,Reusable Evaluated Skills and Deterministic JIT Capsules,EP-08,CROSS_CUTTING,RELEASE_1_INCLUDED,BD-010,BD-004;BD-008;BD-010;HD-007,explicit architecture decision ownership
ADR-010,ARCHITECTURE_DECISION,Isolated benchmark governance and maturity receipts,EP-08,"Behavioral Proof, Repair, and Readiness Authorization",EP-05,CROSS_CUTTING,RELEASE_1_INCLUDED_CERTIFICATION_BLOCKED,BD-004;BD-008,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit architecture decision ownership
ADR-011,ARCHITECTURE_DECISION,Event-derived FastAPI and React Control Tower,EP-10,Evidence-Derived Human Control Tower,,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-008;BD-010;BD-014,explicit architecture decision ownership
ADR-012,ARCHITECTURE_DECISION,Deny-by-default node and implementation-task isolation,EP-09,Governed Builder Workflow Factory,EP-01;EP-02,CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,,BD-008;BD-010;BD-014,explicit architecture decision ownership
ADR-013,ARCHITECTURE_DECISION,Target compilers with frozen external product boundaries,EP-07,Three-Target Product Compilation and Cross-Product Handoff,EP-06;EP-08,CROSS_CUTTING,RELEASE_1_THREE_TARGET_STRUCTURAL_FORMAT02_STUBBED_EXTERNAL_HANDOFF,BD-014,BD-004;BD-008;BD-014,explicit architecture decision ownership
ADR-014,ARCHITECTURE_DECISION,Format 02 under 2D Character Animation as the Release 1 slice,EP-12,Brownfield Migration and Release 1 Reference Proof,EP-02;EP-06;EP-08,CROSS_CUTTING,RELEASE_1_FORMAT02_REFERENCE_PROOF_GENERAL_CERTIFICATION_DEFERRED,BD-004;BD-008,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit architecture decision ownership
ADR-015,ARCHITECTURE_DECISION,No V2.1 migration without repository-local authoritative artifacts,EP-12,Brownfield Migration and Release 1 Reference Proof,,CROSS_CUTTING,RELEASE_1_FORMAT02_REFERENCE_PROOF_GENERAL_CERTIFICATION_DEFERRED,,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit architecture decision ownership
ADR-016,ARCHITECTURE_DECISION,Containerized Release 1 topology and OpenTelemetry observability,EP-09,Governed Builder Workflow Factory,EP-10,CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,,BD-008;BD-010;BD-014,explicit architecture decision ownership
ADR-017,ARCHITECTURE_DECISION,Mandatory Release 1 Workflow Profiles,EP-09,Governed Builder Workflow Factory,,CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,,BD-008;BD-010;BD-014,explicit architecture decision ownership
ADR-018,ARCHITECTURE_DECISION,Stubbed Asset Demand port for the Format 02 reference slice,EP-07,Three-Target Product Compilation and Cross-Product Handoff,EP-06;EP-08;EP-12,CROSS_CUTTING,RELEASE_1_THREE_TARGET_STRUCTURAL_FORMAT02_STUBBED_EXTERNAL_HANDOFF,BD-014,BD-004;BD-008;BD-014,explicit architecture decision ownership
AG-001,BINDING_ANTI_GOAL,Implement the final production harness,EP-01,Governed Run Intake and Evidence Readiness,EP-08;EP-12,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-014;HD-006,explicit binding anti goal ownership
AG-002,BINDING_ANTI_GOAL,Become a universal agent factory,EP-01,Governed Run Intake and Evidence Readiness,EP-06,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-014;HD-006,explicit binding anti goal ownership
AG-003,BINDING_ANTI_GOAL,Collapse atomic harnesses into a universal creative engine,EP-06,Five-Category Activative Intelligence and Expression Compilation,EP-02,CROSS_CUTTING,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit binding anti goal ownership
AG-004,BINDING_ANTI_GOAL,Flatten the five canonical categories,EP-06,Five-Category Activative Intelligence and Expression Compilation,,CROSS_CUTTING,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit binding anti goal ownership
AG-005,BINDING_ANTI_GOAL,Treat editing Formats 01–08 as cosmetic themes,EP-06,Five-Category Activative Intelligence and Expression Compilation,EP-12,CROSS_CUTTING,RELEASE_1_FORMAT02_PRODUCTION_OTHER_CATEGORIES_STRUCTURAL_UNCERTIFIED,,BD-004;BD-007;BD-008;BD-010;BD-014;HD-006;HD-007,explicit binding anti goal ownership
AG-006,BINDING_ANTI_GOAL,Infer meaning before parsing syntax,EP-02,Syntax-Grounded Understanding and Atomic Boundary,,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-007;BD-008;HD-006,explicit binding anti goal ownership
AG-007,BINDING_ANTI_GOAL,Promote unsupported knowledge,EP-02,Syntax-Grounded Understanding and Atomic Boundary,EP-03,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-007;BD-008;HD-006,explicit binding anti goal ownership
AG-008,BINDING_ANTI_GOAL,Turn every difficult capability into a skill,EP-05,Reusable Evaluated Skills and Deterministic JIT Capsules,EP-04,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-008;BD-010;HD-007,explicit binding anti goal ownership
AG-009,BINDING_ANTI_GOAL,Confuse canonical skills and runtime capsules,EP-05,Reusable Evaluated Skills and Deterministic JIT Capsules,,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-008;BD-010;HD-007,explicit binding anti goal ownership
AG-010,BINDING_ANTI_GOAL,Ship untested required skills,EP-05,Reusable Evaluated Skills and Deterministic JIT Capsules,EP-08,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-004;BD-008;BD-010;HD-007,explicit binding anti goal ownership
AG-011,BINDING_ANTI_GOAL,Let the model own critical orchestration,EP-09,Governed Builder Workflow Factory,EP-04,CROSS_CUTTING,RELEASE_1_INCLUDED_MANUAL_SHADOW_BEFORE_AUTOMATION,,BD-008;BD-010;BD-014,explicit binding anti goal ownership
AG-012,BINDING_ANTI_GOAL,Use accumulated conversation history as the main interface,EP-04,Owned Capability Graphs and Minimum Complete Context,EP-09,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-010;BD-014,explicit binding anti goal ownership
AG-013,BINDING_ANTI_GOAL,Silently truncate required context,EP-04,Owned Capability Graphs and Minimum Complete Context,EP-05;EP-09,CROSS_CUTTING,RELEASE_1_INCLUDED,,BD-010;BD-014,explicit binding anti goal ownership
