fr_id,source_product,feature_id,title,primary_owner,primary_story_id,primary_story_title,canonical_spec_id,authority_source_id,ownership_authority_id,gate,claim_ceiling,original_spec_id,ownership_reconciled,requirement,required_evidence,source_refs
FR-001,AHP,F01,Use current authority precedence,Atomic Harness Pipeline,ST-01.01,Reconcile authority and predecessor state,TS-AHP-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-001,false,The Pipeline shall read Program Control authority and the current Builder/VAE/Delegation product boundaries before accepting any executable binding.,"authority/status reconciliation, source disposition, provenance hashes, dependency adoption review, and denial tests, linked to an immutable requirement receipt.",SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034
FR-002,AHP,F01,Reconcile public and operator-local status,Atomic Harness Pipeline,ST-01.01,Reconcile authority and predecessor state,TS-AHP-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-001,false,"Before implementation authorization, the product shall reconcile the public repository status with newer operator-local receipts and publish one current program status.","authority/status reconciliation, source disposition, provenance hashes, dependency adoption review, and denial tests, linked to an immutable requirement receipt.",SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034
FR-003,AHP,F01,Adopt a brownfield-first implementation law,Atomic Harness Pipeline,ST-01.01,Reconcile authority and predecessor state,TS-AHP-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-001,false,"Every proposed source module shall carry REUSE, ADAPT, ACTIVATE, REPLACE or ARCHIVE disposition against the predecessor source register.","authority/status reconciliation, source disposition, provenance hashes, dependency adoption review, and denial tests, linked to an immutable requirement receipt.",SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034
FR-004,AHP,F01,Prohibit semantic import from the predecessor,Atomic Harness Pipeline,ST-01.01,Reconcile authority and predecessor state,TS-AHP-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-001,false,"CMF Studio code may supply execution machinery and evidence but may not override current Category, profile, Skill, wrong-reading or Activative authority.","authority/status reconciliation, source disposition, provenance hashes, dependency adoption review, and denial tests, linked to an immutable requirement receipt.",SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034
FR-005,AHP,F01,Preserve exact source provenance,Atomic Harness Pipeline,ST-01.01,Reconcile authority and predecessor state,TS-AHP-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-001,false,"Forked or adapted files shall preserve archive identity, source path, file hash, dependency provenance and migration decision.","authority/status reconciliation, source disposition, provenance hashes, dependency adoption review, and denial tests, linked to an immutable requirement receipt.",SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034
FR-006,AHP,F01,Require replacement justification,Atomic Harness Pipeline,ST-01.01,Reconcile authority and predecessor state,TS-AHP-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-001,false,"A greenfield replacement of a working predecessor component requires an explicit gap, contract mismatch or bounded-cost justification.","authority/status reconciliation, source disposition, provenance hashes, dependency adoption review, and denial tests, linked to an immutable requirement receipt.",SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034
FR-007,AHP,F02,Load exact AtomicHarnessDefinition,Atomic Harness Pipeline,ST-03.01,Ingest and bind an Atomic Harness,TS-AHP-002,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-002,false,"The Pipeline shall ingest a portable AtomicHarnessDefinition package and verify schema, identity, hash, authority, lineage, category/profile and invalidation state.","schema/hash validation, graph reconciliation, binding manifest, compatibility tests, supersession and replay, linked to an immutable requirement receipt.",SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001
FR-008,AHP,F02,Validate the complete Harness graph,Atomic Harness Pipeline,ST-03.01,Ingest and bind an Atomic Harness,TS-AHP-002,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-002,false,"The intake gate shall reconcile capabilities, responsibility modules, phases, handoffs, context manifests, Skills, evaluation requirements and repair laws.","schema/hash validation, graph reconciliation, binding manifest, compatibility tests, supersession and replay, linked to an immutable requirement receipt.",SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001
FR-009,AHP,F02,Compile HarnessExecutionBindingManifest,Atomic Harness Pipeline,ST-03.01,Ingest and bind an Atomic Harness,TS-AHP-002,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-002,false,"A separate immutable binding shall map every executable requirement to deterministic modules, Model Programs, Agent Programs, humans, products and runtime embodiments.","schema/hash validation, graph reconciliation, binding manifest, compatibility tests, supersession and replay, linked to an immutable requirement receipt.",SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001
FR-010,AHP,F02,Forbid semantic mutation by binding,Atomic Harness Pipeline,ST-03.01,Ingest and bind an Atomic Harness,TS-AHP-002,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-002,false,"A binding may choose an implementation but may not change the Harness purpose, phase semantics, declared invariants, creative degrees of freedom or wrong-reading locks.","schema/hash validation, graph reconciliation, binding manifest, compatibility tests, supersession and replay, linked to an immutable requirement receipt.",SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001
