requirement_id,kind,implementation_outcome,acceptance_evidence
AG-012,ANTI_GOAL,typed manifests and handoffs are authoritative while conversation history is excluded,test rejects conversation-history substitution
AG-013,ANTI_GOAL,required context blocks on overflow and is never silently truncated,test identifies overflowing resources and zero partial state
D016,LOCKED_DECISION,versioned Reference and Loading Graph governs exact phase resources,test proves stable references loading modes and progressive disclosure
D020,LOCKED_DECISION,every phase has a Minimum Complete Context budget policy,test proves complete smaller context and governed overflow behavior
FR-072,FUNCTIONAL_REQUIREMENT,reference registry records stable ID version hash owner authority and role,test rejects ghost unregistered or altered references
FR-073,FUNCTIONAL_REQUIREMENT,every reference uses an explicit governed loading mode,manifest explains every selected loading decision
FR-074,FUNCTIONAL_REQUIREMENT,allow and must-not-influence boundaries are enforced,test rejects prohibited influence and phase leakage
FR-075,FUNCTIONAL_REQUIREMENT,branch-specific material uses typed progressive-disclosure pointers,test blocks missing pointer targets and excludes inactive branches
FR-076,FUNCTIONAL_REQUIREMENT,SPR is phase-local conditional and cannot rewrite authority,test proves SPR remains not loaded and not applicable in the synthetic proof
FR-077,FUNCTIONAL_REQUIREMENT,each phase declares hard and soft token latency and cost budgets,test exposes budgets before any execution and rejects undeclared units
FR-078,FUNCTIONAL_REQUIREMENT,context priority follows governed functional necessity,manifest preserves canonical ranked decision rationale
FR-079,FUNCTIONAL_REQUIREMENT,required overflow blocks with typed remediation and no truncation,test proves zero partial commit and named overflow resources
FR-080,FUNCTIONAL_REQUIREMENT,manifest lists included excluded summarized retrieved compressed resources hashes tokens and rationale,test proves deterministic complete manifest reproduction
