canonical_spec_id,title,product_home,primary_semantic_owner,consulted_owners,canonical_path,path_state,writer_lane,gate,quality_status,source_kind,source_spec_or_assignment,controlling_fr_count,controlling_story_count,implementation_grade_full_spec_present,accepted_for_build,claim_ceiling
TS-AHP-001,"Program Authority, Current-State Reconciliation, and Brownfield Source Admission",Atomic Harness Pipeline,Atomic Harness Pipeline,,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-001.md,RESERVED_PROSPECTIVE_NOT_CREATED,A,GATE_A,QUEUED_FOR_WRITE,ASSIGNMENT_BRIEF_ONLY,TS-AHP-001,7,1,false,false,SPECIFICATION_ONLY_NO_IMPLEMENTATION_NO_PRODUCTION_NO_CERTIFICATION
TS-AHP-002,AtomicHarnessDefinition Intake and HarnessExecutionBindingManifest,Atomic Harness Pipeline,Atomic Harness Pipeline,,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-002.md,RESERVED_PROSPECTIVE_NOT_CREATED,A,GATE_A,QUEUED_FOR_WRITE,ASSIGNMENT_BRIEF_ONLY,TS-AHP-002,6,1,false,false,SPECIFICATION_ONLY_NO_IMPLEMENTATION_NO_PRODUCTION_NO_CERTIFICATION
TS-AHP-003,"Source-Backed Content Batch, Archetype Routing, and Derivative Job Contracts",Atomic Harness Pipeline,Atomic Harness Pipeline,,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-003.md,RESERVED_PROSPECTIVE_NOT_CREATED,C,GATE_A,QUEUED_FOR_WRITE,ASSIGNMENT_BRIEF_ONLY,TS-AHP-003,4,2,false,false,SPECIFICATION_ONLY_NO_IMPLEMENTATION_NO_PRODUCTION_NO_CERTIFICATION
TS-AHP-004,"Workflow Node Kernel, Scheduler, Bounded Roles, and Handoffs",Atomic Harness Pipeline,Atomic Harness Pipeline,,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-004.md,RESERVED_PROSPECTIVE_NOT_CREATED,C,GATE_A,QUEUED_FOR_WRITE,ASSIGNMENT_BRIEF_ONLY,TS-AHP-004,8,2,false,false,SPECIFICATION_ONLY_NO_IMPLEMENTATION_NO_PRODUCTION_NO_CERTIFICATION
TS-AHP-005,Batch Dependency Graph and Selective Invalidation,Atomic Harness Pipeline,Atomic Harness Pipeline,,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-005.md,RESERVED_PROSPECTIVE_NOT_CREATED,C,GATE_A,QUEUED_FOR_WRITE,ASSIGNMENT_BRIEF_ONLY,TS-AHP-005,2,2,false,false,SPECIFICATION_ONLY_NO_IMPLEMENTATION_NO_PRODUCTION_NO_CERTIFICATION
TS-AHP-006,"Durable Events, Checkpoints, Replay, Cancellation, Migration, and Recovery",Atomic Harness Pipeline,Atomic Harness Pipeline,,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-006.md,RESERVED_PROSPECTIVE_NOT_CREATED,C,GATE_A,QUEUED_FOR_WRITE,ASSIGNMENT_BRIEF_ONLY,TS-AHP-006,7,2,false,false,SPECIFICATION_ONLY_NO_IMPLEMENTATION_NO_PRODUCTION_NO_CERTIFICATION
TS-AHP-007,"Execution Fingerprints, Sandbox, Continuous Assurance, and Incident Containment",Atomic Harness Pipeline,Atomic Harness Pipeline,,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-007.md,RESERVED_PROSPECTIVE_NOT_CREATED,H,GATE_A,QUEUED_FOR_WRITE,ASSIGNMENT_BRIEF_ONLY,TS-AHP-007,6,2,false,false,SPECIFICATION_ONLY_NO_IMPLEMENTATION_NO_PRODUCTION_NO_CERTIFICATION
TS-AHP-008,"Adaptive Candidate Search, Comparison, Budget, and Stopping",Atomic Harness Pipeline,Atomic Harness Pipeline,Activative Intelligence Runtime;Independent Evaluation,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-AHP-008.md,RESERVED_PROSPECTIVE_NOT_CREATED,G,GATE_B,QUEUED_FOR_WRITE,ASSIGNMENT_BRIEF_ONLY,TS-AHP-008,6,1,false,false,SPECIFICATION_ONLY_NO_IMPLEMENTATION_NO_PRODUCTION_NO_CERTIFICATION
TS-AIR-001,"Constitutional Authority, Activation Domains, and Epistemic State",Activative Intelligence Runtime,Program Control,Activative Intelligence Runtime,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-001.md,RESERVED_PROSPECTIVE_NOT_CREATED,A,GATE_A_CONSTITUTIONAL_AND_CONTRACT_FOUNDATION,QUEUED_FOR_WRITE,FULL_DRAFT,TS-AIR-001,6,3,false,false,SPECIFICATION_ONLY_NO_IMPLEMENTATION_NO_PRODUCTION_NO_CERTIFICATION
TS-AIR-002,"Identity, Context Premise, Resonance, and Matrix of Edging",Activative Intelligence Runtime,Activative Intelligence Runtime,,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-002.md,RESERVED_PROSPECTIVE_NOT_CREATED,B,GATE_A_CONSTITUTIONAL_AND_CONTRACT_FOUNDATION,QUEUED_FOR_WRITE,FULL_DRAFT,TS-AIR-002,6,3,false,false,SPECIFICATION_ONLY_NO_IMPLEMENTATION_NO_PRODUCTION_NO_CERTIFICATION
