gap_id,spec_id,criterion_id,status,gap,closure_requirement,claim_effect
P8-GAP-001,TS-DEL-001,AC-10,DEFERRED,production acceptance versus acknowledgement,Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-002,TS-DEL-001,AC-17,DEFERRED,category/profile and Format 02 truth,Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-003,TS-VAE-BOUND-001,AC-13,DEFERRED,independent evaluation and certification truth,Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-004,TS-VAE-BOUND-001,AC-14,DEFERRED,production acceptance is not consumption,Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-005,TS-VAE-01,AC-01,DEFERRED,"Given a valid signed Format 02 demand, when admitted twice with the same key/hash, then one immutable snapshot and one execution admission fact exist.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-006,TS-VAE-01,AC-04,DEFERRED,"Given the canonical Format 02 demand, when compiled against the same registry snapshot, then repeated runs produce the same plan hash and stage graph.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-007,TS-VAE-02,AC-04,DEFERRED,"Given an uncertified LoRA required by a route, when eligibility runs under Standard, then the route is rejected.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-008,TS-VAE-03,AC-03,DEFERRED,"Given a mutable container tag or startup node install, when runtime profile validates, then it is rejected.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-009,TS-VAE-03,AC-06,DEFERRED,"Given a production-certified bundle update, when a run is active, then the run retains the old bundle while new runs may select the new version.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
P8-GAP-010,TS-VAE-04,AC-07,DEFERRED,"Given local and cloud certified profiles, when the Format 02 job runs, then both return valid receipts and contract-equivalent output manifests.",Provide exact external/runtime/certification evidence or the later product implementation required by the governing Spec.,Does not block bounded Phase 8 development evidence; blocks full Spec completion and any applicable production/certification claim.
