fr_id,source_product,feature_id,title,primary_owner,primary_story_id,primary_story_title,canonical_spec_id,authority_source_id,ownership_authority_id,gate,claim_ceiling,original_spec_id,ownership_reconciled
FR-001,AHP,F01,Use current authority precedence,Atomic Harness Pipeline,ST-01.01,Reconcile authority and predecessor state,TS-AHP-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-001,false
FR-002,AHP,F01,Reconcile public and operator-local status,Atomic Harness Pipeline,ST-01.01,Reconcile authority and predecessor state,TS-AHP-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-001,false
FR-003,AHP,F01,Adopt a brownfield-first implementation law,Atomic Harness Pipeline,ST-01.01,Reconcile authority and predecessor state,TS-AHP-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-001,false
FR-004,AHP,F01,Prohibit semantic import from the predecessor,Atomic Harness Pipeline,ST-01.01,Reconcile authority and predecessor state,TS-AHP-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-001,false
FR-005,AHP,F01,Preserve exact source provenance,Atomic Harness Pipeline,ST-01.01,Reconcile authority and predecessor state,TS-AHP-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-001,false
FR-006,AHP,F01,Require replacement justification,Atomic Harness Pipeline,ST-01.01,Reconcile authority and predecessor state,TS-AHP-001,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-001,false
FR-007,AHP,F02,Load exact AtomicHarnessDefinition,Atomic Harness Pipeline,ST-03.01,Ingest and bind an Atomic Harness,TS-AHP-002,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-002,false
FR-008,AHP,F02,Validate the complete Harness graph,Atomic Harness Pipeline,ST-03.01,Ingest and bind an Atomic Harness,TS-AHP-002,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-002,false
FR-009,AHP,F02,Compile HarnessExecutionBindingManifest,Atomic Harness Pipeline,ST-03.01,Ingest and bind an Atomic Harness,TS-AHP-002,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-002,false
FR-010,AHP,F02,Forbid semantic mutation by binding,Atomic Harness Pipeline,ST-03.01,Ingest and bind an Atomic Harness,TS-AHP-002,CA-AHP-PRD-V1.3-COMPOSITE-CANDIDATE,CA-CROSS-PRODUCT-OWNERSHIP-V2.1,GATE_A,SPECIFICATION_ONLY_PENDING_RATIFICATION_NO_IMPLEMENTATION_OR_PRODUCTION_AUTHORITY,TS-AHP-002,false
