record_type,id,title,parent,status,requirement_decision_or_gate,applicability,code_evidence,test_evidence,prd_or_schema_evidence,verified_gap,verdict,verdict_blocker
functional_requirement,FR-001,Select one explicit compilation target,F01 Governed Product Lifecycle and Run Constitution,draft_for_review,"The Builder must require each run to select exactly one target profile: Atomic Content Harness, Visual Asset Editor, or Content↔Asset Delegation Contract.",applicable,"src/cmf_harness_spec_builder/{cli.py:35-312,module_registry.py:12-108,state.py:12-27,models.py:35-115}",tests/test_spec_builder_v2.py:452-478,prd/05-features/F01-governed-product-lifecycle.md,"F01: Three modules and file-backed run state exist, but lifecycle transitions, authority checks, checkpoints, invalidation, waiver control, and an append-only ledger are not enforced.",,UNRESOLVED_GOVERNANCE: the applicable AGENTS.md defines no Stage 1 requirement-coverage verdict vocabulary
functional_requirement,FR-002,Create a stable run identity,F01 Governed Product Lifecycle and Run Constitution,draft_for_review,"The Builder must create a stable run identifier, target identifier, compiler version binding, operator identity, timestamps, and status before any evidence work begins.",applicable,"src/cmf_harness_spec_builder/{cli.py:35-312,module_registry.py:12-108,state.py:12-27,models.py:35-115}",tests/test_spec_builder_v2.py:452-478,prd/05-features/F01-governed-product-lifecycle.md,"F01: Three modules and file-backed run state exist, but lifecycle transitions, authority checks, checkpoints, invalidation, waiver control, and an append-only ledger are not enforced.",,UNRESOLVED_GOVERNANCE: the applicable AGENTS.md defines no Stage 1 requirement-coverage verdict vocabulary
functional_requirement,FR-003,Enforce a typed lifecycle state machine,F01 Governed Product Lifecycle and Run Constitution,draft_for_review,"The Builder must represent the approved lifecycle as typed states and transitions whose prerequisites, actors, outputs, and terminal conditions are machine-validated.",applicable,"src/cmf_harness_spec_builder/{cli.py:35-312,module_registry.py:12-108,state.py:12-27,models.py:35-115}",tests/test_spec_builder_v2.py:452-478,prd/05-features/F01-governed-product-lifecycle.md,"F01: Three modules and file-backed run state exist, but lifecycle transitions, authority checks, checkpoints, invalidation, waiver control, and an append-only ledger are not enforced.",,UNRESOLVED_GOVERNANCE: the applicable AGENTS.md defines no Stage 1 requirement-coverage verdict vocabulary
functional_requirement,FR-004,Apply target-specific lifecycle profiles,F01 Governed Product Lifecycle and Run Constitution,draft_for_review,"The shared top-level lifecycle must delegate internal phases, decision nodes, artifacts, and gates to the selected target profile without flattening target-specific behavior.",applicable,"src/cmf_harness_spec_builder/{cli.py:35-312,module_registry.py:12-108,state.py:12-27,models.py:35-115}",tests/test_spec_builder_v2.py:452-478,prd/05-features/F01-governed-product-lifecycle.md,"F01: Three modules and file-backed run state exist, but lifecycle transitions, authority checks, checkpoints, invalidation, waiver control, and an append-only ledger are not enforced.",,UNRESOLVED_GOVERNANCE: the applicable AGENTS.md defines no Stage 1 requirement-coverage verdict vocabulary
functional_requirement,FR-005,Govern lifecycle waivers,F01 Governed Product Lifecycle and Run Constitution,draft_for_review,"The Builder must support explicit human-authorized lifecycle waivers that state the skipped obligation, rationale, risk, affected decisions, downstream provisional states, and expiration condition.",applicable,"src/cmf_harness_spec_builder/{cli.py:35-312,module_registry.py:12-108,state.py:12-27,models.py:35-115}",tests/test_spec_builder_v2.py:452-478,prd/05-features/F01-governed-product-lifecycle.md,"F01: Three modules and file-backed run state exist, but lifecycle transitions, authority checks, checkpoints, invalidation, waiver control, and an append-only ledger are not enforced.",,UNRESOLVED_GOVERNANCE: the applicable AGENTS.md defines no Stage 1 requirement-coverage verdict vocabulary
functional_requirement,FR-006,Emit an event for every authoritative transition,F01 Governed Product Lifecycle and Run Constitution,draft_for_review,"Every state transition, blocker, waiver, decision, invalidation, repair, authorization, and certification update must append a typed event to the Run Ledger.",applicable,"src/cmf_harness_spec_builder/{cli.py:35-312,module_registry.py:12-108,state.py:12-27,models.py:35-115}",tests/test_spec_builder_v2.py:452-478,prd/05-features/F01-governed-product-lifecycle.md,"F01: Three modules and file-backed run state exist, but lifecycle transitions, authority checks, checkpoints, invalidation, waiver control, and an append-only ledger are not enforced.",,UNRESOLVED_GOVERNANCE: the applicable AGENTS.md defines no Stage 1 requirement-coverage verdict vocabulary
functional_requirement,FR-007,Resume without replaying human decisions,F01 Governed Product Lifecycle and Run Constitution,draft_for_review,"The Builder must resume an interrupted run from its latest valid checkpoint while preserving ratified decisions, evidence locks, event history, and outstanding actions.",applicable,"src/cmf_harness_spec_builder/{cli.py:35-312,module_registry.py:12-108,state.py:12-27,models.py:35-115}",tests/test_spec_builder_v2.py:452-478,prd/05-features/F01-governed-product-lifecycle.md,"F01: Three modules and file-backed run state exist, but lifecycle transitions, authority checks, checkpoints, invalidation, waiver control, and an append-only ledger are not enforced.",,UNRESOLVED_GOVERNANCE: the applicable AGENTS.md defines no Stage 1 requirement-coverage verdict vocabulary
functional_requirement,FR-008,Enforce the Builder product boundary,F01 Governed Product Lifecycle and Run Constitution,draft_for_review,The lifecycle must prevent the Builder from silently crossing from harness-development compilation into final production-harness implementation.,applicable,"src/cmf_harness_spec_builder/{cli.py:35-312,module_registry.py:12-108,state.py:12-27,models.py:35-115}",tests/test_spec_builder_v2.py:452-478,prd/05-features/F01-governed-product-lifecycle.md,"F01: Three modules and file-backed run state exist, but lifecycle transitions, authority checks, checkpoints, invalidation, waiver control, and an append-only ledger are not enforced.",,UNRESOLVED_GOVERNANCE: the applicable AGENTS.md defines no Stage 1 requirement-coverage verdict vocabulary
functional_requirement,FR-009,Define target-specific source profiles,"F02 Configured Evidence Workspace, Source Lock, and Saturation",draft_for_review,"The Builder must define required, recommended, optional, and prohibited source roles independently for each compilation target and category profile.",applicable,"src/cmf_harness_spec_builder/{source_index.py:47-257,saturation.py:72-148,cli.py:112-138}",tests/test_spec_builder_v2.py:115-132,prd/05-features/F02-configured-evidence-workspace.md,"F02: Files and ZIPs are hashed and text is keyword-indexed; target-specific profiles, authoritative roles, stable specimen IDs, media normalization, conflicts, measurable saturation, and typed outcomes are absent.",,UNRESOLVED_GOVERNANCE: the applicable AGENTS.md defines no Stage 1 requirement-coverage verdict vocabulary
functional_requirement,FR-010,Run source-readiness diagnostics before initialization,"F02 Configured Evidence Workspace, Source Lock, and Saturation",draft_for_review,"The Builder must inspect configured paths, archive readability, source type, expected role, and version hints before committing the run to analysis.",applicable,"src/cmf_harness_spec_builder/{source_index.py:47-257,saturation.py:72-148,cli.py:112-138}",tests/test_spec_builder_v2.py:115-132,prd/05-features/F02-configured-evidence-workspace.md,"F02: Files and ZIPs are hashed and text is keyword-indexed; target-specific profiles, authoritative roles, stable specimen IDs, media normalization, conflicts, measurable saturation, and typed outcomes are absent.",,UNRESOLVED_GOVERNANCE: the applicable AGENTS.md defines no Stage 1 requirement-coverage verdict vocabulary
