spec_id,title,path,spec_sha256,implementation_relationship,per_spec_status,acceptance_criteria_count,direct_test_evidence_count,implementation_present_no_direct_ac_test_count,deferred_or_external_count,implementation_paths,test_paths,full_spec_completed,claim_ceiling
TS-AIR-008,Planned Activative Intelligence and Interview Asset Contracts,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-008.md,e8fac04b295ec742621e92735475f2c603f16b69b26f67b5e5c840ab6ddb16a0,DIRECT_PHASE09_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,21,16,5,0,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/phase9_service.py; campaign.py,tests/phase9; scripts/phase9/validate_phase9.py,false,PHASE_09_FINAL_INTEGRATED_DEVELOPMENT_CANDIDATE
TS-AIR-009,"Live Narrative Policy, Bounded Activative Calls, Pressure Dose, and Counteractivation",04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-009.md,f904f8a996895917098e28f3ee99c0162dd34efdc4a07aae36f4dad069c5ca52,DIRECT_PHASE09_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,26,15,11,0,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/phase9_service.py,tests/phase9; scripts/phase9/validate_phase9.py,false,PHASE_09_FINAL_INTEGRATED_DEVELOPMENT_CANDIDATE
TS-AIR-011,Expression Moments and Observed Activative Intelligence,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-011.md,c48ef679872bfa3e8bf2bd40ea44c3f4d18da30b3d05d19a99d5131fe26dd00b,DIRECT_PHASE09_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,20,9,11,0,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/phase9_service.py,tests/phase9; scripts/phase9/validate_phase9.py,false,PHASE_09_FINAL_INTEGRATED_DEVELOPMENT_CANDIDATE
TS-AIR-013,"Campaign Activation, Freshness, and Audience Reaction",04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-013.md,ffeb0b3ea633fbc2b6286fdc88f0e3c7917c969533eed2e5275edf7cdeaf4672,DIRECT_PHASE09_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,22,15,6,1,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/campaign.py,tests/phase9; scripts/phase9/validate_phase9.py,false,PHASE_09_FINAL_INTEGRATED_DEVELOPMENT_CANDIDATE
TS-AIR-014,Relationship Activation and ReelCast Progression,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-014.md,5f2644d073c473416f07fd4d67952c5212f267c4fe83726075f98104cbcccb0a,DIRECT_PHASE09_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,20,18,1,1,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/phase9_service.py,tests/phase9; scripts/phase9/validate_phase9.py,false,PHASE_09_FINAL_INTEGRATED_DEVELOPMENT_CANDIDATE
TS-AIR-017,"Visual Activation, Composition-Before-Editing, and Production Handoff",04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-017.md,0e87466a326eac865a66609d2609a1fc8006f5b32a5a847bd01e36e488363a81,DIRECT_PHASE09_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,20,6,12,2,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/services/phase9_service.py,tests/phase9; scripts/phase9/validate_phase9.py,false,PHASE_09_FINAL_INTEGRATED_DEVELOPMENT_CANDIDATE
TS-AIR-020,"Programmed Models, Independent Evaluation, Product Integration, and Evidence",04_ACTIVATIVE_INTELLIGENCE_RUNTIME/docs/tech-specs/TS-AIR-020.md,b7c7a94f5a79b6db82cf2ba9ccbe7e59364882b50c849d4c30439bd53fff5584,DIRECT_PHASE09_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,6,3,2,1,04_ACTIVATIVE_INTELLIGENCE_RUNTIME/src/cmf_activative_intelligence/model_evidence.py; 05_ATOMIC_HARNESS_PIPELINE/src/cmf_pipeline/programmed_model_engine.py,tests/phase9; scripts/phase9/validate_phase9.py,false,PHASE_09_FINAL_INTEGRATED_DEVELOPMENT_CANDIDATE
TS-SKL-001,"Canonical Skills, Skill Composition Recipes, Steering Recipes, and Transformation Contracts",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-SKL-001.md,6ca3c55f34f91efbe7250e15a7aad63c200abdbbd7a06da31f3d676f7c30a35b,DIRECT_PHASE09_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,14,12,1,1,05_ATOMIC_HARNESS_PIPELINE/src/cmf_pipeline/skill_registry.py,tests/phase9; scripts/phase9/validate_phase9.py,false,PHASE_09_FINAL_INTEGRATED_DEVELOPMENT_CANDIDATE
TS-RET-001,Authority-First Hybrid Retrieval and JIT Execution Capsule Compiler,05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-RET-001.md,9cec3cdbb9aafd511703e47f6c7263389b4cc86784cbef6c6c0146404489868d,DIRECT_PHASE09_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,28,10,17,1,05_ATOMIC_HARNESS_PIPELINE/src/cmf_pipeline/retrieval_engine.py,tests/phase9; scripts/phase9/validate_phase9.py,false,PHASE_09_FINAL_INTEGRATED_DEVELOPMENT_CANDIDATE
TS-BATCH-001,"Cross-Derivative Continuity, Lineage, Usage, and Audit Export",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-BATCH-001.md,c6a88bcaed4721a251c73b906ef3d76545c60151b9ce47656a5fdae119999cfc,DIRECT_PHASE09_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,6,3,2,1,05_ATOMIC_HARNESS_PIPELINE/src/cmf_pipeline/cross_derivative.py; phase9_demo.py,tests/phase9; scripts/phase9/validate_phase9.py,false,PHASE_09_FINAL_INTEGRATED_DEVELOPMENT_CANDIDATE
TS-PM-001,"Programmed Model Artifact, Claim, Model Program, Lifecycle, and Resolver",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-PM-001.md,64506bfbfb1827d630e11ea5f4fc8bd0e3bd5c0d22b41570ce8bcb5b5069cc30,DIRECT_PHASE09_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,6,3,2,1,05_ATOMIC_HARNESS_PIPELINE/src/cmf_pipeline/programmed_model_engine.py,tests/phase9; scripts/phase9/validate_phase9.py,false,PHASE_09_FINAL_INTEGRATED_DEVELOPMENT_CANDIDATE
TS-REL-001,"Format 02 Deferral, Historical Evidence Isolation, and Future Activation Gate",CMF_PROGRAM_CONTROL/01_PRODUCT_AUTHORITIES/v2.1-candidates/specs/TS-REL-001.md,0acf352384fe54f5126f483035812851968d49a2dcb4254f8b8ab863b04a2568,DIRECT_PHASE09_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,14,9,0,5,packages/ca_release/src/ca_release/guards.py,tests/phase9; scripts/phase9/validate_phase9.py,false,PHASE_09_FINAL_INTEGRATED_DEVELOPMENT_CANDIDATE
TS-REL-002,"Source-First Release Evidence, Expansion Claims, and Implementation Handoff",CMF_PROGRAM_CONTROL/01_PRODUCT_AUTHORITIES/v2.1-candidates/specs/TS-REL-002.md,18a8bbfe10b45f7f9a7b73d1f68d0dece936ea95ed0450cd6f59360efd342478,DIRECT_PHASE09_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,6,3,2,1,packages/ca_release/src/ca_release; deployment/phase9; scripts/phase9,tests/phase9; scripts/phase9/validate_phase9.py,false,PHASE_09_FINAL_INTEGRATED_DEVELOPMENT_CANDIDATE
