gap_id,spec_id,criterion_id,status,gap,closure_requirement,claim_effect
P9-GAP-001,TS-AIR-013,AC-07,DEFERRED,"Given a signed platform envelope tied to exact published asset/context/windows/metric definitions/limits, when admitted and interpreted, then observed facts and inferred audience-role findings remain separate.","Provide exact external, real-source, production-trust, or certification evidence required by the governing Spec.",Does not block the final integrated development candidate; blocks full Spec completion and applicable production or certification claims.
P9-GAP-002,TS-AIR-014,AC-20,DEFERRED,"**Claim ceiling.** Given all synthetic tests pass, when completion is reported, then the claim remains implementation-development evidence only and production eligibility/certification remain false until later authorized gates. A test PASS represented as real relationship effectiveness fails. Evidence: Build Receipt claim fields. Layer: completion governance.","Provide exact external, real-source, production-trust, or certification evidence required by the governing Spec.",Does not block the final integrated development candidate; blocks full Spec completion and applicable production or certification claims.
P9-GAP-003,TS-AIR-017,AC-14,DEFERRED,production acceptance versus consumption acknowledgement,"Provide exact external, real-source, production-trust, or certification evidence required by the governing Spec.",Does not block the final integrated development candidate; blocks full Spec completion and applicable production or certification claims.
P9-GAP-004,TS-AIR-017,AC-15,DEFERRED,category/profile and Format 02 truth,"Provide exact external, real-source, production-trust, or certification evidence required by the governing Spec.",Does not block the final integrated development candidate; blocks full Spec completion and applicable production or certification claims.
P9-GAP-005,TS-AIR-020,AC-04,DEFERRED,"Build, production, certification, product adoption and Development Capsule authority remain false.","Provide exact external, real-source, production-trust, or certification evidence required by the governing Spec.",Does not block the final integrated development candidate; blocks full Spec completion and applicable production or certification claims.
P9-GAP-006,TS-SKL-001,AC-14,DEFERRED,"**Claim ceiling.** Written specs, later implementation evidence, and runtime projections keep production eligibility and certification false until separately authorized. Skill or `EVALUATE` capability presence cannot confer evaluator or product certification.","Provide exact external, real-source, production-trust, or certification evidence required by the governing Spec.",Does not block the final integrated development candidate; blocks full Spec completion and applicable production or certification claims.
P9-GAP-007,TS-RET-001,AC-23,DEFERRED,Historical reproduction,"Provide exact external, real-source, production-trust, or certification evidence required by the governing Spec.",Does not block the final integrated development candidate; blocks full Spec completion and applicable production or certification claims.
P9-GAP-008,TS-BATCH-001,AC-04,DEFERRED,"Build, production, certification, product adoption and Development Capsule authority remain false.","Provide exact external, real-source, production-trust, or certification evidence required by the governing Spec.",Does not block the final integrated development candidate; blocks full Spec completion and applicable production or certification claims.
P9-GAP-009,TS-PM-001,AC-04,DEFERRED,"Build, production, certification, product adoption and Development Capsule authority remain false.","Provide exact external, real-source, production-trust, or certification evidence required by the governing Spec.",Does not block the final integrated development candidate; blocks full Spec completion and applicable production or certification claims.
P9-GAP-010,TS-REL-001,AC-01,DEFERRED,"**FR-079 / ST-11.01 — absent Harness denies activation.** Given a planning request for `format02_minimal_coach_theatre` with no current Builder Harness, when the gate evaluates it, then it emits `DENIED_DEFERRED` with `FORMAT02_CURRENT_HARNESS_MISSING`, leaves active route/surface/benchmark/production flags false, and records the exact input snapshot. Failure example: a historical golden-path fixture creates an active campaign lane. Evidence: gate receipt plus absence scan. Test layer: Program Control integration and architecture-boundary tests.","Provide exact external, real-source, production-trust, or certification evidence required by the governing Spec.",Does not block the final integrated development candidate; blocks full Spec completion and applicable production or certification claims.
P9-GAP-011,TS-REL-001,AC-02,DEFERRED,"**FR-079 / ST-11.01 — complete independent evidence becomes eligible, not executable.** Given all exact activation prerequisites and attributable Program Control ratification, when the gate evaluates one immutable snapshot, then it emits `ACTIVATION_ELIGIBLE` while production and product-local implementation remain separately unauthorized. Failure example: eligibility starts a Pipeline run automatically. Evidence: decision receipt and zero product mutation diff. Test layer: integration/authority.","Provide exact external, real-source, production-trust, or certification evidence required by the governing Spec.",Does not block the final integrated development candidate; blocks full Spec completion and applicable production or certification claims.
P9-GAP-012,TS-REL-001,AC-04,DEFERRED,"**FR-081 / ST-11.01 — candidate program cannot become current.** Given a predecessor `CharacterPerformanceProgram` schema and passing historical fixtures, when a caller requests current schema registration, then the gate returns `FORMAT02_HISTORICAL_PROMOTION_FORBIDDEN`. Failure example: fixture passage produces a current schema ID. Evidence: denial receipt and unchanged registry. Test layer: contract/architecture.","Provide exact external, real-source, production-trust, or certification evidence required by the governing Spec.",Does not block the final integrated development candidate; blocks full Spec completion and applicable production or certification claims.
P9-GAP-013,TS-REL-001,AC-07,DEFERRED,"**FR-084 / ST-11.01 — synthetic evidence cannot support real claims.** Given an old synthetic URI or dry-run success flag, when a release/readiness projection is requested, then `FORMAT02_CLAIM_CEILING_EXCEEDED` is returned and the artifact stays historical synthetic. Failure example: synthetic output increments a real-render count. Evidence: claim-validation receipt. Test layer: release regression.","Provide exact external, real-source, production-trust, or certification evidence required by the governing Spec.",Does not block the final integrated development candidate; blocks full Spec completion and applicable production or certification claims.
