id,type,title,feature_or_domain,classification,release_scope,primary_spec,requirement_text,repository_evidence,coverage_basis,blocking_decisions
FR-001,FR,Select one explicit compilation target,F01,NEW_IMPLEMENTATION,RELEASE_1,TS-01,"The Builder must require each run to select exactly one target profile: Atomic Content Harness, Visual Asset Editor, or Content↔Asset Delegation Contract.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F01-governed-product-lifecycle.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-002,FR,Create a stable run identity,F01,NEW_IMPLEMENTATION,RELEASE_1,TS-01,"The Builder must create a stable run identifier, target identifier, compiler version binding, operator identity, timestamps, and status before any evidence work begins.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F01-governed-product-lifecycle.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-003,FR,Enforce a typed lifecycle state machine,F01,NEW_IMPLEMENTATION,RELEASE_1,TS-01,"The Builder must represent the approved lifecycle as typed states and transitions whose prerequisites, actors, outputs, and terminal conditions are machine-validated.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F01-governed-product-lifecycle.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-004,FR,Apply target-specific lifecycle profiles,F01,NEW_IMPLEMENTATION,RELEASE_1,TS-01,"The shared top-level lifecycle must delegate internal phases, decision nodes, artifacts, and gates to the selected target profile without flattening target-specific behavior.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F01-governed-product-lifecycle.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-005,FR,Govern lifecycle waivers,F01,NEW_IMPLEMENTATION,RELEASE_1,TS-01,"The Builder must support explicit human-authorized lifecycle waivers that state the skipped obligation, rationale, risk, affected decisions, downstream provisional states, and expiration condition.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F01-governed-product-lifecycle.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-006,FR,Emit an event for every authoritative transition,F01,NEW_IMPLEMENTATION,RELEASE_1,TS-01,"Every state transition, blocker, waiver, decision, invalidation, repair, authorization, and certification update must append a typed event to the Run Ledger.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F01-governed-product-lifecycle.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-007,FR,Resume without replaying human decisions,F01,NEW_IMPLEMENTATION,RELEASE_1,TS-01,"The Builder must resume an interrupted run from its latest valid checkpoint while preserving ratified decisions, evidence locks, event history, and outstanding actions.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F01-governed-product-lifecycle.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-008,FR,Enforce the Builder product boundary,F01,NEW_IMPLEMENTATION,RELEASE_1,TS-01,The lifecycle must prevent the Builder from silently crossing from harness-development compilation into final production-harness implementation.,docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F01-governed-product-lifecycle.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-001;BD-005
FR-009,FR,Define target-specific source profiles,F02,NEW_IMPLEMENTATION,RELEASE_1,TS-02,"The Builder must define required, recommended, optional, and prohibited source roles independently for each compilation target and category profile.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F02-configured-evidence-workspace.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-005
FR-010,FR,Run source-readiness diagnostics before initialization,F02,NEW_IMPLEMENTATION,RELEASE_1,TS-02,"The Builder must inspect configured paths, archive readability, source type, expected role, and version hints before committing the run to analysis.",docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F02-configured-evidence-workspace.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-005
FR-011,FR,Read directories and archives without mutating sources,F02,NEW_IMPLEMENTATION,RELEASE_1,TS-02,The Builder must index approved directory and ZIP sources in place while preserving source immutability and recorded hashes.,docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F02-configured-evidence-workspace.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-005
FR-012,FR,Require a real target candidate boundary,F02,NEW_IMPLEMENTATION,RELEASE_1,TS-02,The exact target candidate must resolve to a real accessible directory or another target type explicitly supported by its profile; internal archive paths may not be treated as traversable directories without deterministic extraction.,docs/tech-specs/REPOSITORY_INVENTORY.md#implementation-search;prd/05-features/F02-configured-evidence-workspace.md,"No product implementation, product schema, workflow, or production test exists in the repository; this behavior requires new implementation.",BD-004;BD-005
