gap_id,severity,status,affected_specs,finding,next_action
P5-GAP-HYPOTHESIS-REPAIR-HISTORY,HIGH,OPEN,TS-AIR-003,"Bounded portfolio creation, hard gates, comparison, stopping, and promotion exist, but repaired-candidate successor flow, complete rejected/superseded history projection, cancellation/late-result handling, and legacy migration are incomplete.","Add repaired-candidate commands, full state-chain projection, cancellation/late-result fixtures, and V2.1 migration evidence."
P5-GAP-HYPOTHESIS-SEARCH-CONTROLLER,HIGH,OPEN,TS-AIR-003,The deterministic service accepts candidate portfolios and stop evidence but does not operate an external or iterative candidate-generation/evaluation controller.,Integrate bounded model programs and independent evaluator execution in the later Programmed Model phase.
P5-GAP-ATOMIC-FAULT-CONCURRENCY,HIGH,OPEN,TS-AIR-003;TS-AIR-015;TS-AIR-016,"Repository idempotency and optimistic revisions exist, but fault injection at every Phase 5 multi-record commit member and concurrent writer races are not fully demonstrated.",Add transactional fault-injection and concurrency acceptance suites before full Spec completion.
P5-GAP-FRESH-PROCESS-PORTABILITY,MEDIUM,OPEN,TS-AIR-003;TS-AIR-015;TS-AIR-016,"The reference demo is deterministic in local execution, but complete multi-process, changed-root, locale, clock, order, and environment hash matrices are not yet recorded.",Add two-process clean-root canonical-byte comparison tests and absolute-path scans.
P5-GAP-DERIVATIVE-ELIGIBILITY-BREADTH,HIGH,OPEN,TS-AIR-015,"The source-led short, Carousel, SuperVisual, and non-Format-02 animation program forms are demonstrated, but complete category/profile compatibility, every transformation class, N/A evidence, and all wrong-reading inheritance cases are not directly tested.",Add category/profile registry integration and criterion-specific derivative fixtures.
P5-GAP-DERIVATIVE-SUPERSESSION-INVALIDATION,HIGH,OPEN,TS-AIR-015,"Immutable revisions and lineage exist, but material upstream supersession and descendant-only invalidation of scripts/scenes/packages are not fully implemented end to end.",Connect AIR invalidation events to AHP dependency traversal and add historical replay fixtures.
P5-GAP-TRANSFER-FIVE-CHECKPOINTS,CRITICAL,OPEN,TS-AIR-016,"The Phase 5 reference demonstrates source/script transfer evidence, not complete source→Moment→script→composition→render→platform checkpoint evidence.","Complete the remaining checkpoints in Phases 6–9 using real Composition IR, VideoEditProgram, rendered artifacts, and publication profiles."
P5-GAP-TRANSFER-REPAIR-ATTRIBUTION,HIGH,OPEN,TS-AIR-016,"Transfer failure and repair-request schemas exist, but contested attribution, owning-product execution, selective invalidation, and post-repair reevaluation are not complete.","Integrate AIR failure attribution with AHP, VAE, and Studio repair flows."
P5-GAP-EVALUATOR-CALIBRATION,EXTERNAL,DEFERRED,TS-AIR-003;TS-AIR-015;TS-AIR-016,"Independent evaluator identities and receipts are structurally represented, but no external evaluator, calibration profile, protected set, or certified threshold is executed.",Close through separately authorized evaluation and Programmed Model evidence.
P5-GAP-PER-SPEC-TESTS,HIGH,OPEN,TS-AIR-003;TS-AIR-015;TS-AIR-016,"Phase 5 supplies aggregate and selected criterion-level tests, but 30 implemented criteria still lack direct criterion-specific tests and no full Spec completion is claimed.",Add exact per-criterion suites and later acceptance receipts before full completion claims.
P5-GAP-REAL-HUMAN-PRODUCTION-EVIDENCE,EXTERNAL,DEFERRED,TS-AIR-003;TS-AIR-015;TS-AIR-016,"No real interview, human approval study, external model/provider, rendered media, or production deployment evidence is claimed.",Close only with separately authorized real-source and production evidence.
P5-GAP-AUTHORITY-RATIFICATION,GOVERNANCE,DEFERRED,TS-AIR-003;TS-AIR-015;TS-AIR-016,V2.1 authority remains candidate and no production/certification authority exists.,Preserve candidate and development claim ceilings until attributable ratification and later release authority.
