requirement_id,feature_id,decision_id,journeys,nfr_refs,feature_file,primary_test_type,expected_receipt_or_event
FR-001,F01,D001,UJ-01|UJ-03|UJ-14,NFR-GOV-001|NFR-REL-001|NFR-TRACE-001|NFR-SEC-001,prd/05-features/F01-protocol-boundary.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-002,F01,D001,UJ-01|UJ-03|UJ-14,NFR-GOV-001|NFR-REL-001|NFR-TRACE-001|NFR-SEC-001,prd/05-features/F01-protocol-boundary.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-003,F01,D001,UJ-01|UJ-03|UJ-14,NFR-GOV-001|NFR-REL-001|NFR-TRACE-001|NFR-SEC-001,prd/05-features/F01-protocol-boundary.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-004,F01,D001,UJ-01|UJ-03|UJ-14,NFR-GOV-001|NFR-REL-001|NFR-TRACE-001|NFR-SEC-001,prd/05-features/F01-protocol-boundary.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-005,F01,D001,UJ-01|UJ-03|UJ-14,NFR-GOV-001|NFR-REL-001|NFR-TRACE-001|NFR-SEC-001,prd/05-features/F01-protocol-boundary.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-006,F01,D001,UJ-01|UJ-03|UJ-14,NFR-GOV-001|NFR-REL-001|NFR-TRACE-001|NFR-SEC-001,prd/05-features/F01-protocol-boundary.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-007,F01,D001,UJ-01|UJ-03|UJ-14,NFR-GOV-001|NFR-REL-001|NFR-TRACE-001|NFR-SEC-001,prd/05-features/F01-protocol-boundary.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-008,F01,D001,UJ-01|UJ-03|UJ-14,NFR-GOV-001|NFR-REL-001|NFR-TRACE-001|NFR-SEC-001,prd/05-features/F01-protocol-boundary.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-009,F02,D002,UJ-01|UJ-05|UJ-06,NFR-AUTH-001|NFR-CONTRACT-001|NFR-TRACE-002|NFR-GOV-002,prd/05-features/F02-demand-ownership.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-010,F02,D002,UJ-01|UJ-05|UJ-06,NFR-AUTH-001|NFR-CONTRACT-001|NFR-TRACE-002|NFR-GOV-002,prd/05-features/F02-demand-ownership.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-011,F02,D002,UJ-01|UJ-05|UJ-06,NFR-AUTH-001|NFR-CONTRACT-001|NFR-TRACE-002|NFR-GOV-002,prd/05-features/F02-demand-ownership.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-012,F02,D002,UJ-01|UJ-05|UJ-06,NFR-AUTH-001|NFR-CONTRACT-001|NFR-TRACE-002|NFR-GOV-002,prd/05-features/F02-demand-ownership.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-013,F02,D002,UJ-01|UJ-05|UJ-06,NFR-AUTH-001|NFR-CONTRACT-001|NFR-TRACE-002|NFR-GOV-002,prd/05-features/F02-demand-ownership.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-014,F02,D002,UJ-01|UJ-05|UJ-06,NFR-AUTH-001|NFR-CONTRACT-001|NFR-TRACE-002|NFR-GOV-002,prd/05-features/F02-demand-ownership.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-015,F02,D002,UJ-01|UJ-05|UJ-06,NFR-AUTH-001|NFR-CONTRACT-001|NFR-TRACE-002|NFR-GOV-002,prd/05-features/F02-demand-ownership.md,contract_and_authority,delegation_audit_receipt|control_tower_event
FR-016,F02,D002,UJ-01|UJ-05|UJ-06,NFR-AUTH-001|NFR-CONTRACT-001|NFR-TRACE-002|NFR-GOV-002,prd/05-features/F02-demand-ownership.md,contract_and_authority,delegation_audit_receipt|control_tower_event
