spec_id,latest_implementation_phase,full_spec_completed,development_evidence,production_authorized,certified
TS-AHP-001,PHASE_01_03,false,PRESENT,false,false
TS-AIR-001,PHASE_01_03,false,PRESENT,false,false
TS-REL-001,PHASE_09,false,PRESENT,false,false
TS-AHP-002,PHASE_01_03,false,PRESENT,false,false
TS-AIR-002,PHASE_01_03,false,PRESENT,false,false
TS-AIR-004,PHASE_01_03,false,PRESENT,false,false
TS-AIR-003,PHASE_05,false,PRESENT,false,false
TS-AIR-007,PHASE_01_03,false,PRESENT,false,false
TS-AIR-005,PHASE_01_03,false,PRESENT,false,false
TS-AIR-008,PHASE_09,false,PRESENT,false,false
TS-AIR-014,PHASE_09,false,PRESENT,false,false
TS-AIR-006,PHASE_01_03,false,PRESENT,false,false
TS-AIR-013,PHASE_09,false,PRESENT,false,false
TS-SKL-001,PHASE_09,false,PRESENT,false,false
TS-AIR-009,PHASE_09,false,PRESENT,false,false
TS-INT-001,PHASE_01_03,false,PRESENT,false,false
TS-INT-007,PHASE_04,false,PRESENT,false,false
TS-INT-002,PHASE_04,false,PRESENT,false,false
TS-INT-003,PHASE_04,false,PRESENT,false,false
TS-INT-006,PHASE_04,false,PRESENT,false,false
TS-INT-004,PHASE_04,false,PRESENT,false,false
TS-AIR-011,PHASE_09,false,PRESENT,false,false
TS-INT-005,PHASE_04,false,PRESENT,false,false
TS-AIR-015,PHASE_05,false,PRESENT,false,false
TS-AIR-016,PHASE_05,false,PRESENT,false,false
TS-AHP-003,PHASE_01_03,false,PRESENT,false,false
TS-AIR-017,PHASE_09,false,PRESENT,false,false
TS-VID-001,NOT_DIRECTLY_IMPLEMENTED,false,NOT_DIRECTLY_IMPLEMENTED,false,false
TS-AIR-019,PHASE_01_03,false,PRESENT,false,false
TS-ANI-001,NOT_DIRECTLY_IMPLEMENTED,false,NOT_DIRECTLY_IMPLEMENTED,false,false
TS-DEL-001,PHASE_08,false,PRESENT,false,false
TS-EVAL-001,NOT_DIRECTLY_IMPLEMENTED,false,NOT_DIRECTLY_IMPLEMENTED,false,false
TS-STA-001,NOT_DIRECTLY_IMPLEMENTED,false,NOT_DIRECTLY_IMPLEMENTED,false,false
TS-VID-002,NOT_DIRECTLY_IMPLEMENTED,false,NOT_DIRECTLY_IMPLEMENTED,false,false
TS-AHP-004,PHASE_01_03,false,PRESENT,false,false
TS-RET-001,PHASE_09,false,PRESENT,false,false
TS-VAE-BOUND-001,PHASE_08,false,PRESENT,false,false
TS-EVAL-002,NOT_DIRECTLY_IMPLEMENTED,false,NOT_DIRECTLY_IMPLEMENTED,false,false
TS-CAR-001,NOT_DIRECTLY_IMPLEMENTED,false,NOT_DIRECTLY_IMPLEMENTED,false,false
TS-SPV-001,NOT_DIRECTLY_IMPLEMENTED,false,NOT_DIRECTLY_IMPLEMENTED,false,false
TS-VID-003,NOT_DIRECTLY_IMPLEMENTED,false,NOT_DIRECTLY_IMPLEMENTED,false,false
TS-AHP-005,PHASE_01_03,false,PRESENT,false,false
TS-VID-004,NOT_DIRECTLY_IMPLEMENTED,false,NOT_DIRECTLY_IMPLEMENTED,false,false
TS-AHP-006,PHASE_01_03,false,PRESENT,false,false
TS-EVAL-003,NOT_DIRECTLY_IMPLEMENTED,false,NOT_DIRECTLY_IMPLEMENTED,false,false
TS-VID-005,NOT_DIRECTLY_IMPLEMENTED,false,NOT_DIRECTLY_IMPLEMENTED,false,false
TS-AHP-007,PHASE_01_03,false,PRESENT,false,false
TS-CAS-001,PHASE_07,false,PRESENT,false,false
TS-VID-006,NOT_DIRECTLY_IMPLEMENTED,false,NOT_DIRECTLY_IMPLEMENTED,false,false
TS-CAS-002,PHASE_07,false,PRESENT,false,false
TS-BATCH-001,PHASE_09,false,PRESENT,false,false
TS-CAS-003,PHASE_07,false,PRESENT,false,false
TS-CAS-004,PHASE_07,false,PRESENT,false,false
TS-AIR-018,PHASE_01_03,false,PRESENT,false,false
TS-REL-002,PHASE_09,false,PRESENT,false,false
TS-CAS-005,PHASE_07,false,PRESENT,false,false
TS-AIR-020,PHASE_09,false,PRESENT,false,false
TS-CAS-006,PHASE_07,false,PRESENT,false,false
TS-PM-001,PHASE_09,false,PRESENT,false,false
TS-AHP-008,PHASE_01_03,false,PRESENT,false,false
