requirement_id,requirement_type,title,feature_id,decisions,journeys,nfrs,testable_consequence_1,testable_consequence_2
FR-001,FR,Enforce the complete visual asset-resolution promise,F01,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,"A run may select and combine only routes registered as eligible for the requested family, role, and demand.",A system limited to a single generation or manipulation route fails product-conformance validation.
FR-002,FR,Preserve semantic sovereignty,F01,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Every accepted asset can be traced to unchanged authoritative demand fields or to a newer explicitly authorized demand version.,Any silent substitution produces a constitutional hard-gate failure and blocks asset promotion.
FR-003,FR,Operate autonomously inside authorized boundaries,F01,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,"A fully passing routine run reaches COMPLETED without an approval click, manual prompt edit, candidate selection, or job restart.",A workflow that pauses for ordinary operator approval fails the no-routine-manual-work acceptance test.
FR-004,FR,Limit human intervention to typed exceptions,F01,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,"Every human intervention contains a typed trigger, evidence, attempted repairs, preserved state, choices, and consequences.",Unstructured requests such as 'please review' without an authorized exception code are rejected.
FR-005,FR,Apply three acceptance gates,F01,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,The final result receipt contains separate verdicts and evidence for all three gates.,A high aggregate score cannot compensate for failure in any mandatory gate.
FR-006,FR,Separate human authority from production execution,F01,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,The supervisory console exposes policy and exception controls while normal runs retain autonomous node execution.,A production path requiring routine node-level operator work is outside certified scope.
FR-007,FR,Keep lightweight source provenance without a rights workcell,F01,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Every delivered asset contains provenance metadata sufficient to reconstruct its source class and derivation.,"Missing provenance blocks promotion, but routine production does not enter a manual legal-review lane."
FR-008,FR,Authorize Architecture before implementation,F01,D001|D002|D004|D010|D028,UJ-01|UJ-02|UJ-05|UJ-16,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-REL-001|NFR-REL-002|NFR-REL-003|NFR-REL-004|NFR-REL-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-UX-001|NFR-UX-002|NFR-UX-003|NFR-UX-004|NFR-UX-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,"The readiness receipt identifies the exact evidence, contracts, reference slice, compute proof, evaluators, benchmarks, and Development Capsule used for authorization.",A PRD-approved but architecture-unvalidated package cannot receive IMPLEMENTATION_AUTHORIZED.
FR-009,FR,Require a typed Visual Asset Demand,F02,D003|D009|D019|D023|D024|D027|D028,UJ-01|UJ-03|UJ-12|UJ-14,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,Contract validation can enumerate every missing or invalid field before plan compilation.,Natural-language-only requests are rejected with INVALID_DEMAND.
FR-010,FR,Treat notes as non-authoritative enrichment,F02,D003|D009|D019|D023|D024|D027|D028,UJ-01|UJ-03|UJ-12|UJ-14,NFR-SEM-001|NFR-SEM-002|NFR-SEM-003|NFR-SEM-004|NFR-SEM-005|NFR-TRACE-001|NFR-TRACE-002|NFR-TRACE-003|NFR-TRACE-004|NFR-TRACE-005|NFR-SEC-001|NFR-SEC-002|NFR-SEC-003|NFR-SEC-004|NFR-SEC-005|NFR-COMPAT-001|NFR-COMPAT-002|NFR-COMPAT-003|NFR-COMPAT-004|NFR-COMPAT-005|NFR-WORKFLOW-001|NFR-WORKFLOW-002|NFR-WORKFLOW-003|NFR-WORKFLOW-004|NFR-WORKFLOW-005|NFR-GOV-001|NFR-GOV-002|NFR-GOV-003|NFR-GOV-004|NFR-GOV-005,A conflict detector reports notes that contradict the typed demand and preserves the typed value.,"A note containing prompt-like instructions cannot alter workflow, tool, or evaluator policy."
