item_type,item_id,scope,title,verdict,concrete_repository_evidence,verified_gap_or_required_action
DECISION,D001,F01,Governed contract protocol with deterministic boundary services,PARTIALLY_IMPLEMENTED,"governance/DECISION_REGISTER.json; governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; contracts/schemas/; scripts/validate_package.py","Decision is modeled by draft artifacts; no boundary-service runtime exists."
DECISION,D002,F02,Exclusive Content Harness ownership of Visual Asset Demand,PARTIALLY_IMPLEMENTED,"governance/AUTHORITY_MATRIX.yaml; contracts/schemas/visual-asset-demand.schema.yaml; conformance/authority-tests/CASES.yaml","Domain authority is declared; nested field ownership is not schema-enforced and no product adapter is present."
DECISION,D003,F03,Immutable typed contract family with common envelope,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-envelope.schema.yaml; governance/MESSAGE_TYPE_REGISTRY.yaml; contracts/schemas/","Twenty-five draft schemas exist; canonical IDs versions immutability and runtime validation are incomplete."
DECISION,D004,F04,Stable protocol-owned external lifecycle,PARTIALLY_IMPLEMENTED,"governance/LIFECYCLE_MACHINE.yaml; conformance/lifecycle-tests/CASES.yaml","State machine is declarative and has no executable transition or projection engine."
DECISION,D005,F05,Typed supersession and selective invalidation,PARTIALLY_IMPLEMENTED,"contracts/schemas/demand-supersession.schema.yaml; contracts/schemas/selective-invalidation-receipt.schema.yaml","Shapes exist; authority validation impact execution and stale-promotion prevention are absent."
DECISION,D006,F06,Split production acceptance and consumption acknowledgement,PARTIALLY_IMPLEMENTED,"contracts/schemas/asset-result-contract.schema.yaml; contracts/schemas/result-acknowledgement.schema.yaml; governance/AUTHORITY_MATRIX.yaml","Split is declared but the result schema incorrectly carries downstream_consumption_authorized and no workflow exists."
DECISION,D007,F07,Split budget authority and execution allocation,PARTIALLY_IMPLEMENTED,"contracts/schemas/budget-authorization.schema.yaml; contracts/schemas/budget-escalation-request.schema.yaml; contracts/schemas/budget-escalation-response.schema.yaml","Draft contracts exist; hard-ceiling enforcement allocation and receipts are not implemented."
DECISION,D008,F08,Authoritative cancellation with safe checkpointing,PARTIALLY_IMPLEMENTED,"contracts/schemas/cancellation-request.schema.yaml; contracts/schemas/cancellation-receipt.schema.yaml; conformance/resilience-tests/CASES.yaml","Contracts and expectations exist; checkpoint race and stale-output behavior are absent."
DECISION,D009,F09,Protocol-owned failure taxonomy,PARTIALLY_IMPLEMENTED,"governance/FAILURE_TAXONOMY.yaml; contracts/schemas/delegation-failure.schema.yaml","Taxonomy is a strong draft baseline but no classifier router or recovery runtime exists."
DECISION,D010,F10,Typed Delegation Sets for related assets,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-set.schema.yaml; reference-slice/FORMAT02_MINIMAL_COACH_THEATRE/fixtures/SCN-03.yaml","Open nested schema and fixture exist; member graph and set lifecycle behavior are absent."
DECISION,D011,F11,Governed compatibility negotiation and migration,PARTIALLY_IMPLEMENTED,"governance/COMPATIBILITY_POLICY.yaml; contracts/schemas/compatibility-manifest.schema.yaml; contracts/schemas/contract-migration.schema.yaml","Policy and shapes exist; negotiator adapters migrations and equivalence proof are absent."
DECISION,D012,F12,Typed non-binding amendment proposals,PARTIALLY_IMPLEMENTED,"contracts/schemas/amendment-proposal.schema.yaml; contracts/schemas/amendment-response.schema.yaml","Draft payloads exist; field-level authority policy and workflow are absent."
DECISION,D013,F13,Immutable results with post-completion authorization events,PARTIALLY_IMPLEMENTED,"contracts/schemas/invalidation-notice.schema.yaml; contracts/schemas/revocation-notice.schema.yaml; contracts/schemas/replacement-notice.schema.yaml","Notice shapes exist; persistence impact analysis and consumption blocking are absent."
DECISION,D014,F14,Authenticated principals and signed immutable messages,PARTIALLY_IMPLEMENTED,"governance/PRINCIPAL_AUTHORITY_REGISTRY.yaml; contracts/schemas/delegation-envelope.schema.yaml; contracts/schemas/delegation-audit-receipt.schema.yaml","Data shapes exist; identity signing replay protection validation order and audit ledger are absent."
DECISION,D015,F15,Control Tower projections SLOs and conformance suites,PARTIALLY_IMPLEMENTED,"governance/PROTOCOL_SLO_TARGETS.yaml; conformance/; reference-slice/FORMAT02_MINIMAL_COACH_THEATRE/EXPECTED_CONTROL_TOWER_PROJECTION.yaml","Expectations are declarative; no projection metrics runner or executable suite exists."
DECISION,D016,F16,Formal Delegation Implementation Authorization Gate,PARTIALLY_IMPLEMENTED,"governance/READINESS_HARD_GATES.yaml; handoff/DEVELOPMENT_CAPSULE_REQUIREMENTS.md","Gate criteria exist; required executable and deployment evidence is incomplete."
FR,FR-001,F01,Canonical delegation boundary,NEW_IMPLEMENTATION,"prd/05-features/F01-protocol-boundary.md","No supported runtime boundary or registered product adapters exist."
FR,FR-002,F01,Deterministic boundary responsibilities,NEW_IMPLEMENTATION,"prd/05-features/F01-protocol-boundary.md; scripts/validate_package.py","Package validation is offline only; no deterministic boundary pipeline exists."
FR,FR-003,F01,No third creative authority,PARTIALLY_IMPLEMENTED,"governance/ARCHITECTURAL_PROHIBITIONS.json; governance/AUTHORITY_MATRIX.yaml","Prohibition is documented but not enforced by code or tests."
FR,FR-004,F01,Independent product preservation,PARTIALLY_IMPLEMENTED,"governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml","Preservation contract exists; upstream code and deployment evidence are unavailable."
FR,FR-005,F01,Canonical shared ABI,IMPLEMENTED_BUT_ALIGN,"governance/MESSAGE_TYPE_REGISTRY.yaml; addendum/CONTRACT_FAMILY_INVENTORY.md","Machine-readable registry exists but must be generated from canonical schema metadata and normalized principals."
FR,FR-006,F01,Boundary receipts,PARTIALLY_IMPLEMENTED,"contracts/schemas/delegation-audit-receipt.schema.yaml; contracts/examples/delegation-audit-receipt.example.yaml","Receipt shape validates; no immutable emission or persistence behavior exists."
FR,FR-007,F01,Transport independence,NEEDS_EMPIRICAL_PROTOTYPE,"governance/ASSUMPTION_REGISTER.yaml; prd/05-features/F01-protocol-boundary.md","No transport ports fixtures or equivalence tests exist; prototype HTTP queue and local adapters before freezing semantics."
FR,FR-008,F01,Architecture-preservation enforcement,PARTIALLY_IMPLEMENTED,"governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; governance/ARCHITECTURAL_PROHIBITIONS.json","Rules exist but no architecture lint or authorization gate implementation evaluates changes."
FR,FR-009,F02,Exclusive demand ownership,NEW_IMPLEMENTATION,"governance/AUTHORITY_MATRIX.yaml; conformance/authority-tests/CASES.yaml","No authenticated producer or authority validator enforces demand creation and supersession."
FR,FR-010,F02,Immutable accepted demand,PARTIALLY_IMPLEMENTED,"contracts/schemas/visual-asset-demand.schema.yaml; contracts/schemas/delegation-envelope.schema.yaml","Identity fields exist but demand lacks canonical reference and embedded payload hash; no immutable store exists."
