inventory_id,authority_type,title,primary_epic_id,primary_story_id,story_title,story_global_order,primary_owner_count,planning_implementable_story,current_implementation_authorized,primary_specs,approved_adrs,story_gate_classification,gate_refs,required_test_count,observability_evidence,completion_receipt_template,coverage_result
ADR-001,ARCHITECTURE_DECISION,Product boundary and modular-monolith architecture,EP-01,ST-01.01,Start and Resume One Target-Profiled Builder Run,1,1,true,false,TS-00;TS-01;TS-02;TS-07;TS-11;TS-13;TS-14;TS-15,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-007;ADR-010;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,HD-006,4,ST-01.01:StoryCompletionReceipt,ST-01.01:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-002,ARCHITECTURE_DECISION,Separate canonical Harness IR and Builder Workflow IR,EP-03,ST-03.03,Maintain One Provenance-Rich Canonical Harness IR,12,1,true,false,TS-03;TS-04;TS-05;TS-06;TS-07;TS-11;TS-12;TS-13;TS-14,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-008;ADR-010;ADR-011;ADR-012;ADR-013;ADR-014;ADR-016;ADR-017;ADR-018,EVIDENCE_GATED,BD-014,4,ST-03.03:StoryCompletionReceipt,ST-03.03:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-003,ARCHITECTURE_DECISION,"PostgreSQL event ledger, snapshots, projections, and content-addressed artifacts",EP-10,ST-10.12,"Represent Loading, Empty, Stale, and Disconnected State Honestly",60,1,true,false,IMPLEMENTATION_BASELINE;TS-01;TS-02;TS-05;TS-06;TS-07;TS-10;TS-12;TS-13;TS-14,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-007;ADR-008;ADR-010;ADR-011;ADR-012;ADR-013;ADR-015;ADR-016;ADR-017;ADR-018,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-10.12:StoryCompletionReceipt,ST-10.12:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-004,ARCHITECTURE_DECISION,"Deterministic compilers, canonical serialization, and schema evolution",EP-03,ST-03.04,Compile Human and Machine Artifacts Deterministically,13,1,true,false,TS-00;TS-06;TS-07;TS-09;TS-13,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-009;ADR-010,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-03.04:StoryCompletionReceipt,ST-03.04:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-005,ARCHITECTURE_DECISION,Explicit human-agent-code authority and command model,EP-03,ST-03.02,Record Human Authority and Resume Genesis Safely,11,1,true,false,TS-01;TS-04;TS-05;TS-07;TS-12;TS-13;TS-14,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-008;ADR-010;ADR-011;ADR-012;ADR-014;ADR-016;ADR-017,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-03.02:StoryCompletionReceipt,ST-03.02:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-006,ARCHITECTURE_DECISION,Temporal workflow-engine adapter with deterministic test runtime,EP-09,ST-09.01,Compile an Actor-Explicit Builder Workflow,41,1,true,false,TS-14,ADR-002;ADR-006;ADR-012;ADR-016;ADR-017,CONDITIONAL_EXTERNAL_DEPENDENCY,,4,ST-09.01:StoryCompletionReceipt,ST-09.01:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-007,ARCHITECTURE_DECISION,Immutable evidence identity and target-specific source profiles,EP-01,ST-01.02,Lock a Safe Target-Specific Evidence Workspace,2,1,true,false,TS-01;TS-02;TS-11,ADR-001;ADR-003;ADR-005;ADR-007;ADR-012;ADR-013;ADR-014;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-014;HD-006,4,ST-01.02:StoryCompletionReceipt,ST-01.02:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-008,ARCHITECTURE_DECISION,Provider-bounded visual inference with knowledge-status separation,EP-02,ST-02.01,Normalize Evidence into Typed Syntax Observations,5,1,true,false,TS-03;TS-04,ADR-005;ADR-008;ADR-012;ADR-014,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;HD-006,4,ST-02.01:StoryCompletionReceipt,ST-02.01:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-009,ARCHITECTURE_DECISION,Versioned skill ecology and deterministic JIT capsule compiler,EP-05,ST-05.04,Assemble a Deterministic Phase-Local JIT Capsule,23,1,true,false,TS-00;TS-05;TS-07;TS-08;TS-09;TS-10;TS-12;TS-13;TS-14,ADR-001;ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-009;ADR-010;ADR-011;ADR-012;ADR-016;ADR-017,BLOCKED_PENDING_HUMAN_DECISION,BD-010;HD-007,4,ST-05.04:StoryCompletionReceipt,ST-05.04:StoryCompletionReceipt:<artifact-hash>,PASS
ADR-010,ARCHITECTURE_DECISION,Isolated benchmark governance and maturity receipts,EP-08,ST-08.02,Promote Maturity Only Through Protected Receipts,35,1,true,false,IMPLEMENTATION_BASELINE;TS-02;TS-03;TS-08;TS-10;TS-13;TS-14;TS-15,ADR-002;ADR-003;ADR-004;ADR-005;ADR-006;ADR-007;ADR-008;ADR-009;ADR-010;ADR-012;ADR-013;ADR-014;ADR-015;ADR-016;ADR-017;ADR-018,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;HD-006;HD-007,4,ST-08.02:StoryCompletionReceipt,ST-08.02:StoryCompletionReceipt:<artifact-hash>,PASS
