story_id,global_order,epic_id,dependency_story_ids,dependency_orders,backward_only,dependency_reason,prerequisite_receipt_ids,decision_or_blocker_ids,cross_repository_dependency_ids,implementation_gate_status
ST-01.01,1,EP-01,,,true,terminal increments of prerequisite Epics,,HD-006,XDEP-001;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-01.02,2,EP-01,ST-01.01,1,true,previous vertical increment in the same Epic,ST-01.01:StoryCompletionReceipt,BD-004;BD-014;HD-006,XDEP-001;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-01.03,3,EP-01,ST-01.02,2,true,previous vertical increment in the same Epic,ST-01.02:StoryCompletionReceipt,BD-004;HD-006,XDEP-001;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-01.04,4,EP-01,ST-01.03,3,true,previous vertical increment in the same Epic,ST-01.03:StoryCompletionReceipt,BD-004;HD-006,XDEP-001;XDEP-004;XDEP-006,BLOCKED_PENDING_HUMAN_DECISION
ST-02.01,5,EP-02,ST-01.04,4,true,terminal increments of prerequisite Epics,ST-01.04:StoryCompletionReceipt,BD-004;BD-007;HD-006,XDEP-001;XDEP-004,BLOCKED_PENDING_HUMAN_DECISION
ST-02.02,6,EP-02,ST-02.01,5,true,previous vertical increment in the same Epic,ST-02.01:StoryCompletionReceipt,BD-004;BD-007;HD-006,XDEP-001;XDEP-004,BLOCKED_PENDING_HUMAN_DECISION
ST-02.03,7,EP-02,ST-02.02,6,true,previous vertical increment in the same Epic,ST-02.02:StoryCompletionReceipt,BD-004;BD-007;BD-008;HD-006,XDEP-001;XDEP-004,BLOCKED_PENDING_HUMAN_DECISION
ST-02.04,8,EP-02,ST-02.03,7,true,previous vertical increment in the same Epic,ST-02.03:StoryCompletionReceipt,BD-004;BD-007;BD-008;HD-006,XDEP-001;XDEP-004,BLOCKED_PENDING_HUMAN_DECISION
ST-02.05,9,EP-02,ST-02.04,8,true,previous vertical increment in the same Epic,ST-02.04:StoryCompletionReceipt,BD-004;BD-007;HD-006,XDEP-001;XDEP-004,BLOCKED_PENDING_HUMAN_DECISION
ST-03.01,10,EP-03,ST-01.04;ST-02.05,4;9,true,terminal increments of prerequisite Epics,ST-01.04:StoryCompletionReceipt;ST-02.05:StoryCompletionReceipt,BD-004;BD-008,XDEP-001;XDEP-006,EVIDENCE_GATED
ST-03.02,11,EP-03,ST-03.01,10,true,previous vertical increment in the same Epic,ST-03.01:StoryCompletionReceipt,,XDEP-001;XDEP-006,CONDITIONAL_EXTERNAL_DEPENDENCY
