requirement_id,change_type,previous_authority,current_authority,summary,affected_artifacts,status
CON-L12-L20,constitutional_precedence,VAE V1,Constitution 1.1.0,"Separate visual semantics, visual narrative, syntax, feature contracts, somatic routing, no-text survival, wrong-reading locks, and harness anti-drift; VAE consumes upstream meaning and must not infer it.","governance/PRODUCT_CONSTITUTION.yaml; governance/ARCHITECTURE_PRESERVATION_CONTRACT.yaml; docs/tech-specs/TS-VAE-01-DEMAND-INTAKE-AND-PRODUCTION-PLAN-IR.md; docs/tech-specs/TS-VAE-02-DYNAMIC-WORKCELL-AND-CAPABILITY-ROUTING.md; docs/tech-specs/TS-VAE-03-COMFYUI-WORKFLOW-COMPILER-AND-REGISTRIES.md",mapped_pre_rc1
FR-009.LINEAGE,strengthened,VAE V1,VAE V1.1,"Require Activative Intelligence Pack, Identity DNA, Context Premise, Resonance, Matrix of Edging, and source-evidence lineage.","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; docs/tech-specs/TS-VAE-01-DEMAND-INTAKE-AND-PRODUCTION-PLAN-IR.md; docs/tech-specs/TS-VAE-08-ASSET-LIFECYCLE-MEMORY-OKF-AND-STEERING.md; contracts/schemas/VISUAL_ASSET_MEMORY_RECORD.schema.yaml",blocked_shared_shape_pre_rc1
FR-009.EXPRESSION_PROVENANCE,strengthened_conditional,VAE V1,VAE V1.1,"Interview-derived demands and selected assets preserve Reaction Receipt and Expression Moment references; applicability must be authoritative and not inferred.","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; contracts/examples/format02_visual_asset_demand.yaml; reference-slice/FORMAT02_MINIMAL_COACH_THEATRE/contracts/visual_asset_demand.reference.yaml; docs/tech-specs/TS-VAE-08-ASSET-LIFECYCLE-MEMORY-OKF-AND-STEERING.md",human_decision_and_rc1_required
FR-009.ACTIVATION_CONTRACT,strengthened,VAE V1,VAE V1.1,"Require edge pressure, activation directions, viewer roles, stance, identity urges, intended reaction, participation design, and smallest useful commitment.","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; docs/tech-specs/TS-VAE-01-DEMAND-INTAKE-AND-PRODUCTION-PLAN-IR.md; docs/tech-specs/TS-VAE-02-DYNAMIC-WORKCELL-AND-CAPABILITY-ROUTING.md; contracts/schemas/VISUAL_PRODUCTION_PLAN.schema.yaml",blocked_shared_shape_pre_rc1
FR-009.VISUAL_SEMANTICS,strengthened,VAE V1,VAE V1.1,"Require Visual Semantic Pack and Semiotic MCDA receipt; materializer may not infer recognition carrier from free-form intent.","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; docs/tech-specs/TS-VAE-01-DEMAND-INTAKE-AND-PRODUCTION-PLAN-IR.md; docs/tech-specs/TS-VAE-02-DYNAMIC-WORKCELL-AND-CAPABILITY-ROUTING.md; docs/tech-specs/TS-VAE-03-COMFYUI-WORKFLOW-COMPILER-AND-REGISTRIES.md",blocked_shared_shape_pre_rc1
FR-009.VISUAL_NARRATIVE,strengthened,VAE V1,VAE V1.1,"Require pattern match, pattern interrupt, attention-state sequence, viewer-role progression, prediction gap, payoff, affinity field, and anticipation residue; VAE may not invent them.","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; contracts/schemas/VISUAL_PRODUCTION_PLAN.schema.yaml; docs/tech-specs/TS-VAE-02-DYNAMIC-WORKCELL-AND-CAPABILITY-ROUTING.md; docs/tech-specs/TS-VAE-03-COMFYUI-WORKFLOW-COMPILER-AND-REGISTRIES.md",blocked_shared_shape_pre_rc1
FR-009.FEATURE_CONTRACTS,strengthened_conditional,VAE V1,VAE V1.1,"Require explicit contracts for meaning-changing gaze, hands, posture, witness, object punctum, negative space, contact, distance, crop, motion, light, and sequence.","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; contracts/schemas/VISUAL_PRODUCTION_PLAN.schema.yaml; contracts/schemas/VISUAL_REPAIR_CONTRACT.schema.yaml; docs/tech-specs/TS-VAE-03-COMFYUI-WORKFLOW-COMPILER-AND-REGISTRIES.md",human_decision_and_rc1_required
FR-009.SOMATIC_ROUTE,strengthened,VAE V1,VAE V1.1,"Require T/V somatic route request after carrier and narrative selection; route cannot choose meaning.","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; docs/tech-specs/TS-VAE-02-DYNAMIC-WORKCELL-AND-CAPABILITY-ROUTING.md; docs/tech-specs/TS-VAE-03-COMFYUI-WORKFLOW-COMPILER-AND-REGISTRIES.md; contracts/examples/format02_visual_production_plan.yaml",blocked_shared_shape_pre_rc1
FR-009.WRONG_READING_LOCKS,strengthened,VAE V1,VAE V1.1,"Require non-empty locks for semantic production routes; deterministic resize or encoding may inherit only by reference to the accepted master.","contracts/schemas/VISUAL_ASSET_DEMAND.schema.yaml; templates/VISUAL_ASSET_DEMAND_TEMPLATE.yaml; contracts/examples/format02_visual_asset_demand.yaml; docs/contracts/ADAPTER_TEST_PLAN.md",human_decision_and_rc1_required
FR-107,strengthened,VAE V1,VAE V1.1,"Independent asset evaluation compares against Activation Contract, Visual Semantic Pack, Visual Narrative Program, Feature Contracts, somatic route, and locks.","contracts/schemas/VISUAL_QUALITY_EVALUATION.schema.yaml; docs/tech-specs/TS-VAE-06-INDEPENDENT-VLM-EVALUATION.md; contracts/examples/format02_visual_quality_evaluation.yaml; governance/VISUAL_EVALUATION_PROFILE_REGISTRY.yaml",mapped_pre_rc1
