obligation_id,ownership,outcome_mapping
ADR-009,PRIMARY,Keep canonical skill package distinct from ephemeral JIT capsule
AG-009,PRIMARY,Preserve governed authority and minimum context
D018,PRIMARY,Resolve exact phase-local skill binding
D019,PRIMARY,Compile deterministic phase-local capsule identity
FR-091,PRIMARY,Resolve exact package and version
FR-092,PRIMARY,Include phase Minimum Complete Context
FR-093,PRIMARY,Bind input and output contracts
FR-094,PRIMARY,Bind authority boundaries
FR-095,PRIMARY,Bind acceptance and failure conditions
FR-096,PRIMARY,Bind observability and rollback
FR-097,PRIMARY,Preserve wrong-reading locks and semantic lineage
FR-098,PRIMARY,Exclude unrelated context deterministically
FR-099,PRIMARY,Fail closed on stale invalid or unevaluated inputs
HG-006,PRIMARY,Preserve hard-gate behavior
