candidate_id,path,discovery_basis,format,size_bytes,sha256,expected_hash_match,archive_integrity,entry_count,file_count,protected_members_exact,format02_entry_count,format02_file_count,format02_media_files,governed_source_profile_present,content_assessment,completeness,relationship_to_historical_archive
ARC-001,"D:\Work\CONSCIOUS_ACTIVATIONS\CMF_PROGRAM_CONTROL\01_PRODUCT_AUTHORITIES\delegation\current-v1.1.zip","workspace product-authority archive with Format 02 paths",ZIP,276473,a2244745f83c2f40dfc8f0213d43c4731a8a279ad9d30611e8201176f138b716,false,PASS,160,160,0/3,21,21,0,false,"Delegation authority package; Format 02 references only",UNRELATED,"Not the historical archive"
ARC-002,"D:\Work\CONSCIOUS_ACTIVATIONS\CMF_PROGRAM_CONTROL\01_PRODUCT_AUTHORITIES\delegation\previous-v1.zip","workspace product-authority archive with Format 02 paths",ZIP,667192,8cec474e6fac57863dc6d56e50500a724ca32708d7ff93eae135d1a83d98424c,false,PASS,399,338,0/3,38,33,0,false,"Previous Delegation authority package; Format 02 references only",UNRELATED,"Not the historical archive"
ARC-003,"D:\Work\CONSCIOUS_ACTIVATIONS\CMF_PROGRAM_CONTROL\01_PRODUCT_AUTHORITIES\visual-asset-editor\current-v1.1.zip","workspace product-authority archive with Format 02 paths",ZIP,367893,3870622eaa74d588c3004e52e250f694a74e1cf595c16a417c9b87ca674fbf9b,false,PASS,126,126,0/3,23,23,0,false,"Visual Asset Editor authority package; no historical source corpus",UNRELATED,"Not the historical archive"
ARC-004,"D:\Work\CONSCIOUS_ACTIVATIONS\CMF_PROGRAM_CONTROL\01_PRODUCT_AUTHORITIES\visual-asset-editor\previous-v1.zip","workspace product-authority archive with Format 02 paths",ZIP,526427,2db18aee1dc72649cacb6705457520134cbf4d6e2c4eb4a31d4e91bfd30d3d63,false,PASS,187,158,0/3,29,25,0,false,"Previous Visual Asset Editor authority package; no historical source corpus",UNRELATED,"Not the historical archive"
ARC-005,"D:\Work\CONSCIOUS_ACTIVATIONS\CMF_PROGRAM_CONTROL\99_ARCHIVE\product-authorities\delegation\pre-v1.1\previous-v1.zip","Program Control archive snapshot with Format 02 paths",ZIP,667192,8cec474e6fac57863dc6d56e50500a724ca32708d7ff93eae135d1a83d98424c,false,PASS,399,338,0/3,38,33,0,false,"Archived duplicate of previous Delegation authority package",UNRELATED,"Not the historical archive; duplicate of ARC-002"
ARC-006,"D:\Work\CONSCIOUS_ACTIVATIONS\CMF_PROGRAM_CONTROL\99_ARCHIVE\product-authorities\visual-asset-editor\pre-v1.1\previous-v1.zip","Program Control archive snapshot with Format 02 paths",ZIP,526427,2db18aee1dc72649cacb6705457520134cbf4d6e2c4eb4a31d4e91bfd30d3d63,false,PASS,187,158,0/3,29,25,0,false,"Archived duplicate of previous Visual Asset Editor authority package",UNRELATED,"Not the historical archive; duplicate of ARC-004"
ARC-007,"D:\Work\Conscious_Rivers\docs\architecture.zip","repository-local archive folder and architecture content",ZIP,2066281,96793dc103e8d278d63265f6ba0e0d5a80ffc4ad0fccddada56b879e93883ca5,false,PASS,446,431,0/3,0,0,0,false,"General architecture documentation; no expected Format 02 archive members",UNRELATED,"Not the historical archive"
ARC-008,"D:\Work\Conscious_Rivers\THE CMF STUDIO\CCP_CMF_ATOMIC_HARNESS_SPEC_BUILDER_V2_1 (2).zip","metadata-linked source repository and Builder filename",ZIP,675278,22ea07925d8c398c241d760b47072656f4f081662c95f8676b21e830ce001898,false,PASS,438,401,0/3,0,0,0,false,"Atomic Harness specification-builder package; no historical Format 02 corpus",UNRELATED,"Not the historical archive"
ARC-009,"D:\Work\Conscious_Rivers\THE CMF STUDIO\CCP_FORMAT02_GOLDEN_PATH_ORCHESTRATOR_V1_INTEGRATION_BUNDLE.zip","partial filename and Format 02 content marker",ZIP,25448,d3629ee4c277d238b746657f6227cfcb29dfe1a0a56393c684b7de9405f72a63,false,PASS,34,34,0/3,8,8,0,false,"Downstream Format 02 orchestration bundle; no corpus media or protected members",UNRELATED,"Not the historical archive"
ARC-010,"D:\Work\Conscious_Rivers\THE CMF STUDIO\CCP_STUDIO_PIPELINE_RECIPE_HARNESS_V1_INTEGRATION_BUNDLE.zip","metadata-linked source repository with Format 02 references",ZIP,64843,ea568a84070e31dba58ecd51c2cc00ba89e181ded659419db4b062d19883a0b4,false,PASS,63,63,0/3,2,2,0,false,"Pipeline integration bundle with incidental Format 02 references",UNRELATED,"Not the historical archive"
ARC-011,"D:\Work\Conscious_Rivers\THE CMF STUDIO\CCP_TEMPLATE_PREVIEW_ATLAS_V1_INTEGRATION_BUNDLE.zip","metadata-linked source repository with Format 02 references",ZIP,59176,5846764cbc5bc11757120b09066f9e7356a38a14af49628cccceb8b3e966a12a,false,PASS,64,64,0/3,6,6,0,false,"Template-preview integration bundle; no historical corpus",UNRELATED,"Not the historical archive"
ARC-012,"D:\Work\Conscious_Rivers\THE CMF STUDIO\CCP_VISUAL_SONIC_COMPOSITION_SYNTAX_DOCTRINE_V1_INTEGRATION_BUNDLE.zip","all three protected member paths present",ZIP,63948,f33ad5461aff38bf875281cd6efb2d7022104014a53c80f5bd1e24df43b3efee,false,PASS,52,52,3/3,3,3,0,false,"Exact protected doctrine and registry subset without source media",PARTIAL,"Valid subset; not the complete historical archive"
ARC-013,"D:\Work\Conscious_Rivers\THE CMF STUDIO\THE_CMF_STUDIO_CONVERGED_WORKING_COPY.zip","metadata-linked repository working-copy archive",ZIP,54979877,4beaa9e4ed5bdef980ca73a303ffa283d2f83d45aa40dac2432b6ea667b7c5c3,false,PASS,2605,2605,0/3,0,0,0,false,"Converged studio working copy; no protected historical-archive members",UNRELATED,"Not the historical archive"
ARC-014,"D:\Work\Conscious_Rivers\THE CMF STUDIO\VISUAL SYNTAX BUILDER (2).zip","authoritative source-register path; exact filename stem; exact recorded size",ZIP,355535097,403bd07f8ca3feae94a991b16a08270fb799ffea87a05ab108163b4e1dee37b0,true,PASS,1434,1275,3/3,82,76,71,false,"Expected Format 02 doctrine, structured material, two reference videos, 68 frames, and one reference image",COMPLETE,"Exact historical archive recovered"
ARC-015,"D:\Work\Conscious_Rivers\THE CMF STUDIO\VISUAL SYNTAX BUILDER.zip","partial filename match and protected members",ZIP,305541043,5ad3681c0fb62b24841403220eca7f821d34a1ebea705f348d8d31f1e0b4d7e1,false,PASS,1308,1170,3/3,82,76,71,false,"Valid materially divergent archive variant containing the exact Format 02 subset",PARTIAL,"Hash mismatch; 1074 expected paths absent and 969 different paths present after root normalization"
ARC-016,"D:\Work\Conscious_Rivers\THE CMF STUDIO\VISUAL_SYNTAX_BUILDER.zip","partial filename match; near-exact size and protected members",ZIP,341198682,0f1ac0b7ef38c1f9bb6408de76bb46f8592e45f7b62651c8ecc19b90a374a697,false,PASS,1433,1274,3/3,82,76,71,false,"Valid near-copy with all normalized members unchanged except one missing Format 08 nested archive",PARTIAL,"Hash mismatch; missing Content Formats/format08_poetic_quote_theatre.zip"
ARC-017,"D:\Work\Conscious_Rivers\THE_CMF_STUDIO.zip","repository-root archive with Format 02 references",ZIP,60114855,2fd48bb14f61890ffeb8d9999be6f55b79e8e1156067addc47a08d5cbb91ea4c,false,PASS,4743,4743,0/3,64,64,0,false,"Broad studio working-copy bundle; no expected protected archive members or source media set",UNRELATED,"Not the historical archive"
