inventory_id,change_kind,changed_fields,previous_normative_text,current_normative_text,previous_active_blockers,current_active_blockers,previous_primary_specs,current_primary_specs
ADR-002,UPDATED,verification_refs,"Maintain two versioned aggregates with separate schemas, identities, migrations, compilers, and authorization. Workflow IR may reference Harness IR paths and product graph hashes but cannot own or rewrite harness values. Harness IR cannot contain worker, queue, retry, sandbox, or deployment state.","Maintain two versioned aggregates with separate schemas, identities, migrations, compilers, and authorization. Workflow IR may reference Harness IR paths and product graph hashes but cannot own or rewrite harness values. Harness IR cannot contain worker, queue, retry, sandbox, or deployment state.",,,TS-06;TS-07;TS-14,TS-06;TS-07;TS-14
ADR-003,UPDATED,verification_refs,"Use PostgreSQL as the authoritative event, snapshot, command-receipt, registry, and projection store. Use a SHA-256 content-addressed artifact store with filesystem adapter for development and S3-compatible adapter for production. Commit artifact references and events atomically after staged bytes verify.","Use PostgreSQL as the authoritative event, snapshot, command-receipt, registry, and projection store. Use a SHA-256 content-addressed artifact store with filesystem adapter for development and S3-compatible adapter for production. Commit artifact references and events atomically after staged bytes verify.",,,TS-01;TS-02;TS-05;TS-06;TS-10;TS-12;TS-13,TS-01;TS-02;TS-05;TS-06;TS-10;TS-12;TS-13
ADR-004,UPDATED,verification_refs,"Use canonical JSON serialization, content hashes, immutable compiler identities, declared IR-path dependencies, atomic artifact manifests, generated JSON Schemas, and explicit migration/upcaster registries. Identical inputs must produce byte-identical deterministic artifacts or an approved nondeterminism exception.","Use canonical JSON serialization, content hashes, immutable compiler identities, declared IR-path dependencies, atomic artifact manifests, generated JSON Schemas, and explicit migration/upcaster registries. Identical inputs must produce byte-identical deterministic artifacts or an approved nondeterminism exception.",,,TS-06;TS-07;TS-09;TS-13,TS-06;TS-07;TS-09;TS-13
ADR-005,UPDATED,verification_refs,"Every command, capability, and workflow node declares one primary actor: deterministic code, bounded agent, human gate, or governed hybrid. Deterministic code validates and commits. Agents produce proposals under exact capsules. Humans own constitutional decisions, creative policy, risk, waivers, irreversible architecture, and authorization. Evaluators are isolated from generators.","Every command, capability, and workflow node declares one primary actor: deterministic code, bounded agent, human gate, or governed hybrid. Deterministic code validates and commits. Agents produce proposals under exact capsules. Humans own constitutional decisions, creative policy, risk, waivers, irreversible architecture, and authorization. Evaluators are isolated from generators.",,,TS-01;TS-04;TS-05;TS-07;TS-13,TS-01;TS-04;TS-05;TS-07;TS-13
ADR-006,UPDATED,verification_refs,"Compile governed Workflow IR to a Temporal adapter for production scheduling. Provide an in-memory deterministic adapter for unit/integration tests. Temporal workflows coordinate; activities invoke Builder application commands. Run Ledger events, not Temporal history, remain canonical product truth.","Compile governed Workflow IR to a Temporal adapter for production scheduling. Provide an in-memory deterministic adapter for unit/integration tests. Temporal workflows coordinate; activities invoke Builder application commands. Run Ledger events, not Temporal history, remain canonical product truth.",,,TS-14,TS-14
ADR-007,UPDATED,acceptance_or_enforcement;verification_refs,"Every run selects a versioned target-specific Source Profile and exact target candidate before initialization. Source bytes receive SHA-256 identity, immutable descriptors, authority/license/privacy metadata, stable specimen IDs, and an aggregate Source Lock. All evidence claims link to source spans and knowledge status.","Every run selects a versioned target-specific Source Profile and exact target candidate before initialization. Source bytes receive SHA-256 identity, immutable descriptors, authority/license/privacy metadata, stable specimen IDs, and an aggregate Source Lock. All evidence claims link to source spans and knowledge status.",BD-004,BD-004,TS-02,TS-02
ADR-008,UPDATED,acceptance_or_enforcement;verification_refs,"Use a provider-neutral `VisualInferencePort` with task-specific typed outputs. Run deterministic normalization/geometry first, then bounded provider parsing, independent validation, and cross-specimen induction. Store measured observations, deterministic derivations, hypotheses, human decisions, and generated proposals as distinct knowledge statuses. Provider selection remains empirical: compare at least two adapters plus the deterministic baseline on protected Format 02 cases. No provider receives canonical write authority.","Use a provider-neutral `VisualInferencePort` with task-specific typed outputs. Run deterministic normalization/geometry first, then bounded provider parsing, independent validation, and cross-specimen induction. Store measured observations, deterministic derivations, hypotheses, human decisions, and generated proposals as distinct knowledge statuses. Provider selection remains empirical: compare at least two adapters plus the deterministic baseline on protected Format 02 cases. No provider receives canonical write authority.",BD-004;BD-007,BD-004;BD-007,TS-03;TS-04,TS-03;TS-04
ADR-010,UPDATED,acceptance_or_enforcement;verification_refs,"Use a layered versioned corpus with public/development/protected cases, exact subject identity, no-guidance controls, repeated fresh-context trials, isolated evaluators, multidimensional scorecards, hard gates, and maturity receipts. Separate label custody and credentials from generator/runtime access. Human governance ratifies rubrics and thresholds after Format 02 calibration.","Use a layered versioned corpus with public/development/protected cases, exact subject identity, no-guidance controls, repeated fresh-context trials, isolated evaluators, multidimensional scorecards, hard gates, and maturity receipts. Separate label custody and credentials from generator/runtime access. Human governance ratifies rubrics and thresholds after Format 02 calibration.",BD-004;BD-008,BD-004;BD-008,TS-08;TS-10;TS-13,TS-08;TS-10;TS-13
ADR-011,UPDATED,acceptance_or_enforcement;verification_refs,Expose a FastAPI command/query API and a React/TypeScript Control Tower launched or linked from Pi. Read models are idempotent event projections. UI actions submit typed commands with expected versions and render authoritative receipts. The UI stores presentation preferences only.,Expose a FastAPI command/query API and a React/TypeScript Control Tower launched or linked from Pi. Read models are idempotent event projections. UI actions submit typed commands with expected versions and render authoritative receipts. The UI stores presentation preferences only.,,,TS-12,TS-12
ADR-012,UPDATED,verification_refs,"Use deny-by-default capability grants and three policy classes: deterministic process sandbox, provider-call sandbox, and isolated implementation-task sandbox. Policies specify immutable environment/image, read-only mounts, writable staging, tools, network allowlist, ephemeral secret references, CPU/memory/time limits, output contract, logs, and disposal. The ratified profiles require deny-by-default grants, read-only evidence mounts, ephemeral credentials, explicit network allowlists, and per-node worktree or container isolation. The exact conforming platform mechanism remains an implementation choice and may not weaken those policy semantics.","Use deny-by-default capability grants and three policy classes: deterministic process sandbox, provider-call sandbox, and isolated implementation-task sandbox. Policies specify immutable environment/image, read-only mounts, writable staging, tools, network allowlist, ephemeral secret references, CPU/memory/time limits, output contract, logs, and disposal. The ratified profiles require deny-by-default grants, read-only evidence mounts, ephemeral credentials, explicit network allowlists, and per-node worktree or container isolation. The exact conforming platform mechanism remains an implementation choice and may not weaken those policy semantics.",,,TS-02;TS-03;TS-14,TS-02;TS-03;TS-14
ADR-013,UPDATED,acceptance_or_enforcement;verification_refs,"Maintain three versioned `CompilationTargetProfile` records with distinct source profiles, IR projections, Genesis graphs, compilers, artifact sets, evaluation gates, and certification scopes. External target compilers consume read-only versioned interface snapshots and emit schemas/specifications/fixtures/packages only. Visual Asset Editor and Delegation packages remain `UNCERTIFIED` in Release 1. Their owning repositories control runtime and shared contracts. Cross-target compatibility validates content-owned fields as immutable.","Maintain three versioned `CompilationTargetProfile` records with distinct source profiles, IR projections, Genesis graphs, compilers, artifact sets, evaluation gates, and certification scopes. External target compilers consume read-only versioned interface snapshots and emit schemas/specifications/fixtures/packages only. Visual Asset Editor and Delegation packages remain `UNCERTIFIED` in Release 1. Their owning repositories control runtime and shared contracts. Cross-target compatibility validates content-owned fields as immutable.",BD-014,BD-014,TS-11,TS-11
ADR-014,UPDATED,verification_refs,Use Format 02 under the 2D Character Animation constitution as the Release 1 reference slice. It must exercise every Builder subsystem from source lock through downstream signed effectiveness evidence. Other categories and external targets remain structurally supported and `UNCERTIFIED`.,Use Format 02 under the 2D Character Animation constitution as the Release 1 reference slice. It must exercise every Builder subsystem from source lock through downstream signed effectiveness evidence. Other categories and external targets remain structurally supported and `UNCERTIFIED`.,BD-004;BD-008,BD-004;BD-008,TS-04;TS-11;TS-15,TS-04;TS-11;TS-15
ADR-016,UPDATED,verification_refs,"Package API, workflow worker, deterministic worker, sandboxed agent/evaluator workers, projection worker, and Control Tower UI as separate containers/processes around shared PostgreSQL, CAS, proposed workflow engine, and OpenTelemetry collector. Environments are development, CI, shadow, and production. Configuration is versioned; secrets are external references.","Package API, workflow worker, deterministic worker, sandboxed agent/evaluator workers, projection worker, and Control Tower UI as separate containers/processes around shared PostgreSQL, CAS, proposed workflow engine, and OpenTelemetry collector. Environments are development, CI, shadow, and production. Configuration is versioned; secrets are external references.",,,TS-12;TS-14,TS-12;TS-14
ADR-017,UPDATED,verification_refs,"Require five profiles in Release 1: 1. New harness compilation. 2. Incremental evidence refresh. 3. Benchmark regression. 4. Repair and re-certification. 5. Constrained incident hotfix. Format 02 new-harness compilation is the primary shadow and production candidate. Other profiles derive from its nodes/contracts while preserving distinct triggers, authority, budgets, and gates.","Require five profiles in Release 1: 1. New harness compilation. 2. Incremental evidence refresh. 3. Benchmark regression. 4. Repair and re-certification. 5. Constrained incident hotfix. Format 02 new-harness compilation is the primary shadow and production candidate. Other profiles derive from its nodes/contracts while preserving distinct triggers, authority, budgets, and gates.",,,TS-14,TS-14
ADR-018,UPDATED,acceptance_or_enforcement;verification_refs,Use a contract-tested stub `AssetDemandPort` backed by approved fixtures. Builder compiles demand contracts and validates responses/provenance but does not generate/edit assets. The port may be omitted only if product authority proves the reference slice has no asset dependency.,Use a contract-tested stub `AssetDemandPort` backed by approved fixtures. Builder compiles demand contracts and validates responses/provenance but does not generate/edit assets. The port may be omitted only if product authority proves the reference slice has no asset dependency.,BD-014,BD-014,TS-11;TS-15,TS-11;TS-15
AG-004,UPDATED,title;normative_text,"Short-Form Edited Video, 2D Character Animation, Carousels, and Supervisuals retain separate constitutions and runtime laws.","Short-Form Edited Video, 2D Character Animation, Carousels, Supervisuals, and Conversational Activation / Human Expression retain separate constitutions and runtime laws.",,,TS-00;TS-11,TS-00;TS-11
CONST-001,ADDED,inventory_id;authority_type;title;normative_text;acceptance_or_enforcement;release_scope;planning_disposition;feature_or_domain;primary_specs;architecture_components;requirement_refs;adr_refs;decision_refs;verification_refs;source_evidence;repository_coverage_basis;planning_owner,,Pin Constitution v1.1.0 and apply it to Activative and visual-semantic conflicts,,,,TS-00;TS-01;TS-06;TS-13
CONST-002,ADDED,inventory_id;authority_type;title;normative_text;acceptance_or_enforcement;release_scope;planning_disposition;feature_or_domain;primary_specs;architecture_components;requirement_refs;adr_refs;decision_refs;verification_refs;source_evidence;repository_coverage_basis;blocking_decisions;active_blockers;planning_owner,,Add conversational_activation_expression and four initial profiles while keeping execution outside Builder,,BD-004;BD-007;BD-008;BD-010;BD-014,,TS-01;TS-04;TS-11;TS-12
CONST-003,ADDED,inventory_id;authority_type;title;normative_text;acceptance_or_enforcement;release_scope;planning_disposition;feature_or_domain;primary_specs;architecture_components;requirement_refs;adr_refs;decision_refs;verification_refs;source_evidence;repository_coverage_basis;blocking_decisions;active_blockers;planning_owner,,Preserve rich Activative object references and frozen versions through sparse execution tokens,,BD-004,,TS-05;TS-06;TS-07;TS-09;TS-11
CONST-004,ADDED,inventory_id;authority_type;title;normative_text;acceptance_or_enforcement;release_scope;planning_disposition;feature_or_domain;primary_specs;architecture_components;requirement_refs;adr_refs;decision_refs;verification_refs;source_evidence;repository_coverage_basis;blocking_decisions;active_blockers;planning_owner,,Compile Activative Calls to Reaction Receipts to Expression Moments to post-expression recompilation and final Content Type Contracts,,BD-004;BD-008;BD-010,,TS-02;TS-06;TS-07;TS-10;TS-11;TS-12;TS-14
CONST-005,ADDED,inventory_id;authority_type;title;normative_text;acceptance_or_enforcement;release_scope;planning_disposition;feature_or_domain;primary_specs;architecture_components;requirement_refs;adr_refs;decision_refs;verification_refs;source_evidence;repository_coverage_basis;blocking_decisions;active_blockers;planning_owner,,Compile Visual Semantic Pack through Semiotic MCDA Visual Narrative feature contracts Composition Asset Pack Visual Syntax handoff and T/V route request,,BD-007;BD-008;BD-014,,TS-03;TS-06;TS-07;TS-10;TS-11;TS-13;TS-14;TS-15
CONST-006,ADDED,inventory_id;authority_type;title;normative_text;acceptance_or_enforcement;release_scope;planning_disposition;feature_or_domain;primary_specs;architecture_components;requirement_refs;adr_refs;decision_refs;verification_refs;source_evidence;repository_coverage_basis;blocking_decisions;active_blockers;planning_owner,,Keep Visual Syntax First for harness-development discovery and Activation First for runtime production,,BD-007,,TS-00;TS-03;TS-05;TS-11;TS-14;TS-15
CONST-007,ADDED,inventory_id;authority_type;title;normative_text;acceptance_or_enforcement;release_scope;planning_disposition;feature_or_domain;primary_specs;architecture_components;requirement_refs;adr_refs;decision_refs;verification_refs;source_evidence;repository_coverage_basis;blocking_decisions;active_blockers;planning_owner,,Require at least one dominant wrong-reading lock and block readiness when absent,,BD-008,,TS-03;TS-06;TS-10;TS-11;TS-13;TS-15
CONST-008,ADDED,inventory_id;authority_type;title;normative_text;acceptance_or_enforcement;release_scope;planning_disposition;feature_or_domain;primary_specs;architecture_components;requirement_refs;adr_refs;decision_refs;verification_refs;source_evidence;repository_coverage_basis;blocking_decisions;active_blockers;planning_owner,,Add role clarity pattern match pattern interruption prediction payoff affinity anticipation residue anti-cliche no-text survival and wrong-reading rejection,,BD-008,,TS-10;TS-11;TS-12;TS-13;TS-15
D001,UPDATED,verification_refs,"The product is a harness-development compiler: it produces a typed Harness IR, specifications, phase-local JIT Skills and recipes, module and runtime contracts, evaluation and repair systems, implementation artifacts, and a readiness receipt; it does not implement the final production harness.","The product is a harness-development compiler: it produces a typed Harness IR, specifications, phase-local JIT Skills and recipes, module and runtime contracts, evaluation and repair systems, implementation artifacts, and a readiness receipt; it does not implement the final production harness.",,,TS-01;TS-13;TS-14,TS-01;TS-13;TS-14
