archetype_prompt_id,family,title,filename,snapshot_path,sha256,status
ARCH-PROMPT-001,core,"<a id=""_s7wlvg2vi09f""></a>__ADVANCED CONTENT HOOK GENERATION PROMPT__",ADVANCED CONTENT HOOK GENERATION PROMPT.md,sources/cmf_archetype_prompt_snapshot/core/ADVANCED CONTENT HOOK GENERATION PROMPT.md,a42f6a76cf359b246ea020243555a4143fb6f1ec37dadb8075a831c1d0186169,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-002,core,"<a id=""_mysfopairoto""></a>__✨ The Stream of Consciousness Agent__",Coach_s Stream of Consciousness.md,sources/cmf_archetype_prompt_snapshot/core/Coach_s Stream of Consciousness.md,1d3361efbe0ea6538bc5d321a048ec45aeea91fed9f14a12c515b61bdc89e27f,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-003,core,"<a id=""_vfbampvhfhjs""></a>__✨ The Observational Humor Prompt__",Observational Humor & Wisdom Extraction Framework Prompt.md,sources/cmf_archetype_prompt_snapshot/core/Observational Humor & Wisdom Extraction Framework Prompt.md,1bf376d0c6b5080eb9de9378b6975ccc54cc41b108bb159af0341aa46d13fb5d,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-004,core,"<a id=""_jh4njmu1h5ra""></a>__🎲⭐ The Persuasive Tweets Prompt __",Persuasive Tweets Prompt.md,sources/cmf_archetype_prompt_snapshot/core/Persuasive Tweets Prompt.md,316b9f54ee8b7e3a704815bea9f325bd49fd351ad0001088d0eb3a0bd5a1913e,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-005,core,"<a id=""_fp5obcqi1kvy""></a>__Additional Suggestions for Emotional Gradation:__",Spare Persuasion Priming Activation PROMPTS.md,sources/cmf_archetype_prompt_snapshot/core/Spare Persuasion Priming Activation PROMPTS.md,8f4f35a933ec2ebc31edee509de9e16079ae3f17b06f4dbbc4b12e0ab43d7ccf,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-006,core,"<a id=""_ix52g6ymhlza""></a>__✨ Standard Voice Writing Guide__",Standard Voice Writing Guide.md,sources/cmf_archetype_prompt_snapshot/core/Standard Voice Writing Guide.md,965ff285e5a46ef62d0ab32257b2fd791c0b5b5a2388d241a65cb506b9927c3d,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-007,core,"<a id=""_48j1a1vynyc7""></a>__The Achievement Story__",Storytelling Archetype Prompt Templates.md,sources/cmf_archetype_prompt_snapshot/core/Storytelling Archetype Prompt Templates.md,ff919bd88d302784af312ddbb477e503e8d18cd6cde7767c8266a5f080f269fa,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-008,core,"<a id=""_lybxshtr7grq""></a>__✨ The ARCHETYPICAL Poll Prompt__",The ARCHETYPICAL Poll Prompt.md,sources/cmf_archetype_prompt_snapshot/core/The ARCHETYPICAL Poll Prompt.md,82ceb6b4fc18890a391b53e904b68af4fa2799ca8f59575d986d3b1316d4f841,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-009,core,"<a id=""_cufrlxnzhvr5""></a>__✨ The Achievement Story \(Generative\) ✨__",The Achievement Story (Generative).md,sources/cmf_archetype_prompt_snapshot/core/The Achievement Story (Generative).md,d089d3d46ba202778fb1947880e8fb3732b95742ce8179423705722a0038dad8,historical_evidence_requires_current_coalition_validation
ARCH-PROMPT-010,core,"<a id=""_uoqoqblm7xdj""></a>__✨ The Achievement Story \(Interview Framework\)__",The Achievement Story (Interview Framework).md,sources/cmf_archetype_prompt_snapshot/core/The Achievement Story (Interview Framework).md,fdd3742b0b5adc62deaf2a4036f567a2541d411323bdd2b59dee700deab9a3de,historical_evidence_requires_current_coalition_validation
