obligation_id,type,implementation_effect
AG-003,ANTI_GOAL,Preserve atomic Harness ownership and reject a universal creative-engine abstraction.
AG-004,ANTI_GOAL,Keep the five category identities and semantics distinct.
CONST-002,CONSTITUTIONAL,Include Conversational Activation / Human Expression structurally without local runtime execution.
D030,DECISION,Enforce Shared Activative Core to Category to Profile to Atomic Harness ordering.
D031,DECISION,Preserve the V1.2 five-category effect and versioned constitutions.
FR-137,FR,Carry complete Shared Activative Core lineage and wrong-reading locks.
FR-138,FR,Bind each applicable Atomic Content Harness to exactly one category.
FR-139,FR,Register exactly five stable category identities and owners.
FR-140,FR,Reference the governed category-constitution registry version.
FR-141,FR,Preserve the later category-local profile layer without compiling it here.
HG-015,HARD_GATE,Fail when the semantic stack or fifth category is missing.
NFR-CAT-001,NFR,Prevent category ontology and identity leakage.
NFR-CAT-002,NFR,Preserve atomic creative ownership.

