fr_id,change_class,previous_title,current_title,previous_requirement,current_requirement,reason
FR-001,PRESERVED_AND_DEEPENED,Use current authority precedence,Use current authority precedence,The Pipeline shall read Program Control authority and the current Builder/VAE/Delegation product boundaries before accepting any executable binding.,The Pipeline shall read Program Control authority and the current Builder/VAE/Delegation product boundaries before accepting any executable binding.,"Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-002,PRESERVED_AND_DEEPENED,Reconcile public and operator-local status,Reconcile public and operator-local status,"Before implementation authorization, the product shall reconcile the public repository status with newer operator-local receipts and publish one current program status.","Before implementation authorization, the product shall reconcile the public repository status with newer operator-local receipts and publish one current program status.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-003,PRESERVED_AND_DEEPENED,Adopt a brownfield-first implementation law,Adopt a brownfield-first implementation law,"Every proposed source module shall carry REUSE, ADAPT, ACTIVATE, REPLACE or ARCHIVE disposition against the predecessor source register.","Every proposed source module shall carry REUSE, ADAPT, ACTIVATE, REPLACE or ARCHIVE disposition against the predecessor source register.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-004,PRESERVED_AND_DEEPENED,Prohibit semantic import from the predecessor,Prohibit semantic import from the predecessor,"CMF Studio code may supply execution machinery and evidence but may not override current Category, profile, Skill, wrong-reading or Activative authority.","CMF Studio code may supply execution machinery and evidence but may not override current Category, profile, Skill, wrong-reading or Activative authority.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-005,PRESERVED_AND_DEEPENED,Preserve exact source provenance,Preserve exact source provenance,"Forked or adapted files shall preserve archive identity, source path, file hash, dependency provenance and migration decision.","Forked or adapted files shall preserve archive identity, source path, file hash, dependency provenance and migration decision.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-006,PRESERVED_AND_DEEPENED,Require replacement justification,Require replacement justification,"A greenfield replacement of a working predecessor component requires an explicit gap, contract mismatch or bounded-cost justification.","A greenfield replacement of a working predecessor component requires an explicit gap, contract mismatch or bounded-cost justification.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-007,PRESERVED_AND_DEEPENED,Load exact AtomicHarnessDefinition,Load exact AtomicHarnessDefinition,"The Pipeline shall ingest a portable AtomicHarnessDefinition package and verify schema, identity, hash, authority, lineage, category/profile and invalidation state.","The Pipeline shall ingest a portable AtomicHarnessDefinition package and verify schema, identity, hash, authority, lineage, category/profile and invalidation state.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-008,PRESERVED_AND_DEEPENED,Validate the complete Harness graph,Validate the complete Harness graph,"The intake gate shall reconcile capabilities, responsibility modules, phases, handoffs, context manifests, Skills, evaluation requirements and repair laws.","The intake gate shall reconcile capabilities, responsibility modules, phases, handoffs, context manifests, Skills, evaluation requirements and repair laws.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-009,PRESERVED_AND_DEEPENED,Compile HarnessExecutionBindingManifest,Compile HarnessExecutionBindingManifest,"A separate immutable binding shall map every executable requirement to deterministic modules, Model Programs, Agent Programs, humans, products and runtime embodiments.","A separate immutable binding shall map every executable requirement to deterministic modules, Model Programs, Agent Programs, humans, products and runtime embodiments.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-010,PRESERVED_AND_DEEPENED,Forbid semantic mutation by binding,Forbid semantic mutation by binding,"A binding may choose an implementation but may not change the Harness purpose, phase semantics, declared invariants, creative degrees of freedom or wrong-reading locks.","A binding may choose an implementation but may not change the Harness purpose, phase semantics, declared invariants, creative degrees of freedom or wrong-reading locks.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
FR-011,PRESERVED_AND_DEEPENED,Fail on unresolved ownership,Fail on unresolved ownership,"A required capability without an explicit eligible implementation, human gate or external-product route shall block execution before any side effect.","A required capability without an explicit eligible implementation, human gate or external-product route shall block execution before any side effect.","Normative behavior preserved; requirement card gains trigger, outputs, invariants, behavior-specific acceptance, Story owner, and candidate Tech Spec owner."
