story_id,global_order,epic_id,story_title,technical_spec_ids,spec_assignment_count,implementation_owners,contract_handles,schema_refs,primary_obligation_count,required_test_ids,implementation_gate_status,decision_or_blocker_ids,cross_repository_dependency_ids,assignment_basis
ST-01.01,1,EP-01,Start and Resume One Target-Profiled Builder Run,TS-00;TS-01;TS-02;TS-07;TS-11;TS-13;TS-14;TS-15,8,Product authority and architecture;TS-01;product_constitution,RunLifecycle;EvidenceWorkspace;ConstitutionalReadinessReceipt,docs/contracts/schemas/constitutional-evaluation.schema.json#/$defs/ConstitutionalReadinessReceipt,15,ST-01.01-acceptance;ST-01.01-failure;ST-01.01-authority;ST-01.01-receipt,BLOCKED_PENDING_HUMAN_DECISION,HD-006,XDEP-001;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-01.02,2,EP-01,Lock a Safe Target-Specific Evidence Workspace,TS-01;TS-02;TS-11,3,Evidence architecture and source authority;TS-02;product_constitution,RunLifecycle;EvidenceWorkspace;ConstitutionalReadinessReceipt,docs/contracts/schemas/constitutional-evaluation.schema.json#/$defs/ConstitutionalReadinessReceipt,10,ST-01.02-acceptance;ST-01.02-failure;ST-01.02-authority;ST-01.02-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-014;HD-006,XDEP-001;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-01.03,3,EP-01,Index Every Evidence Specimen with Provenance,TS-02,1,TS-02,RunLifecycle;EvidenceWorkspace;ConstitutionalReadinessReceipt,docs/contracts/schemas/constitutional-evaluation.schema.json#/$defs/ConstitutionalReadinessReceipt,4,ST-01.03-acceptance;ST-01.03-failure;ST-01.03-authority;ST-01.03-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;HD-006,XDEP-001;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-01.04,4,EP-01,Decide Evidence Saturation Without Inventing Claims,TS-02;TS-03;TS-10;TS-13,4,TS-02;evaluation_governance,RunLifecycle;EvidenceWorkspace;ConstitutionalReadinessReceipt,docs/contracts/schemas/constitutional-evaluation.schema.json#/$defs/ConstitutionalReadinessReceipt,4,ST-01.04-acceptance;ST-01.04-failure;ST-01.04-authority;ST-01.04-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;HD-006,XDEP-001;XDEP-004;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-02.01,5,EP-02,Normalize Evidence into Typed Syntax Observations,TS-03;TS-04,2,"TS-03;Visual architecture, category steward, and benchmark team",SyntaxObservation;DraftHarnessModel;SharedActivativeCore;ConversationalActivationExpression,docs/contracts/schemas/shared-activative-core.schema.json;docs/contracts/schemas/conversational-expression.schema.json,6,ST-02.01-acceptance;ST-02.01-failure;ST-02.01-authority;ST-02.01-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;HD-006,XDEP-001;XDEP-004,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-02.02,6,EP-02,"Build Spatial, Temporal, and Reading-Order Graphs",TS-03,1,TS-03,SyntaxObservation;DraftHarnessModel;SharedActivativeCore;ConversationalActivationExpression,docs/contracts/schemas/shared-activative-core.schema.json;docs/contracts/schemas/conversational-expression.schema.json,4,ST-02.02-acceptance;ST-02.02-failure;ST-02.02-authority;ST-02.02-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;HD-006,XDEP-001;XDEP-004,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-02.03,7,EP-02,Induce Grammar Only After Syntax Evidence,TS-00;TS-02;TS-03;TS-05;TS-06;TS-07;TS-11;TS-12,8,TS-03;product_constitution,SyntaxObservation;DraftHarnessModel;SharedActivativeCore;ConversationalActivationExpression,docs/contracts/schemas/shared-activative-core.schema.json;docs/contracts/schemas/conversational-expression.schema.json,7,ST-02.03-acceptance;ST-02.03-failure;ST-02.03-authority;ST-02.03-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;HD-006,XDEP-001;XDEP-004,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-02.04,8,EP-02,Compare Candidate Atomic Product Boundaries,TS-03;TS-04;TS-11,3,TS-04;product_constitution,SyntaxObservation;DraftHarnessModel;SharedActivativeCore;ConversationalActivationExpression,docs/contracts/schemas/shared-activative-core.schema.json;docs/contracts/schemas/conversational-expression.schema.json,5,ST-02.04-acceptance;ST-02.04-failure;ST-02.04-authority;ST-02.04-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;BD-008;HD-006,XDEP-001;XDEP-004,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-02.05,9,EP-02,Ratify and Freeze the Draft Harness Boundary,TS-04;TS-11;TS-15,3,TS-04;evaluation_governance,SyntaxObservation;DraftHarnessModel;SharedActivativeCore;ConversationalActivationExpression,docs/contracts/schemas/shared-activative-core.schema.json;docs/contracts/schemas/conversational-expression.schema.json,6,ST-02.05-acceptance;ST-02.05-failure;ST-02.05-authority;ST-02.05-receipt,BLOCKED_PENDING_HUMAN_DECISION,BD-004;BD-007;HD-006,XDEP-001;XDEP-004,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-03.01,10,EP-03,Ask Only Dependency-Ready Constitutional Questions,TS-01;TS-04;TS-05;TS-11;TS-12;TS-13;TS-14,7,TS-05;evaluation_governance;product_constitution,GenesisDecisionReceipt;HarnessIR;SharedActivativeCore;ActivativeIntelligencePack,docs/contracts/schemas/shared-activative-core.schema.json,7,ST-03.01-acceptance;ST-03.01-failure;ST-03.01-authority;ST-03.01-receipt,EVIDENCE_GATED,BD-004;BD-008,XDEP-001;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-03.02,11,EP-03,Record Human Authority and Resume Genesis Safely,TS-01;TS-04;TS-05;TS-07;TS-12;TS-13;TS-14,7,"Product authority, security, and architecture;TS-05;product_constitution",GenesisDecisionReceipt;HarnessIR;SharedActivativeCore;ActivativeIntelligencePack,docs/contracts/schemas/shared-activative-core.schema.json,8,ST-03.02-acceptance;ST-03.02-failure;ST-03.02-authority;ST-03.02-receipt,CONDITIONAL_EXTERNAL_DEPENDENCY,,XDEP-001;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-03.03,12,EP-03,Maintain One Provenance-Rich Canonical Harness IR,TS-03;TS-04;TS-05;TS-06;TS-07;TS-11;TS-12;TS-13;TS-14,9,Architecture;TS-06;product_constitution,GenesisDecisionReceipt;HarnessIR;SharedActivativeCore;ActivativeIntelligencePack,docs/contracts/schemas/shared-activative-core.schema.json,8,ST-03.03-acceptance;ST-03.03-failure;ST-03.03-authority;ST-03.03-receipt,EVIDENCE_GATED,BD-014,XDEP-001;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-03.04,13,EP-03,Compile Human and Machine Artifacts Deterministically,TS-00;TS-06;TS-07;TS-09;TS-13,5,Compiler and schema architecture;TS-06;product_constitution,GenesisDecisionReceipt;HarnessIR;SharedActivativeCore;ActivativeIntelligencePack,docs/contracts/schemas/shared-activative-core.schema.json,10,ST-03.04-acceptance;ST-03.04-failure;ST-03.04-authority;ST-03.04-receipt,CONDITIONAL_EXTERNAL_DEPENDENCY,,XDEP-001;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
ST-03.05,14,EP-03,Enforce Constitutional Precedence Across Compiled Artifacts,TS-00;TS-01;TS-06;TS-13,4,TS-06;constitutional_alignment_and_mapped_spec_owners,GenesisDecisionReceipt;HarnessIR;SharedActivativeCore;ActivativeIntelligencePack,docs/contracts/schemas/shared-activative-core.schema.json,2,ST-03.05-acceptance;ST-03.05-failure;ST-03.05-authority;ST-03.05-receipt,CONDITIONAL_EXTERNAL_DEPENDENCY,,XDEP-001;XDEP-006,confirmed Story primary_specs projected without changing Story or Epic ownership
