spec_id,title,product_owner,gate,target_path,primary_fr_ids,primary_story_ids,source_refs,status
TS-AHP-001,"Program Authority, Current-State Reconciliation, and Brownfield Source Admission",Atomic Harness Pipeline,GATE_A,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-AHP-001.md,FR-001;FR-002;FR-003;FR-004;FR-005;FR-006;FR-117,ST-01.01,SRC-CUR-001;SRC-CUR-002;SRC-CUR-003;SRC-CUR-011;SRC-LEG-033;SRC-LEG-034;SRC-STATE-001;SRC-MIG-001;SRC-MIG-002,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-INT-001,Canonical Interview Source Package and Dual Admission,Interview Expression,GATE_A,INTERVIEW_EXPRESSION/docs/architecture/TS-INT-001.md,FR-121;FR-122;FR-123;FR-125;FR-126,ST-01.02;ST-01.03;ST-01.04,SRC-INT-001;SRC-INT-002;SRC-INT-003;SRC-AM-002;SRC-EXT-017;SRC-EXT-023;SRC-AM-001;SRC-CUR-010,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-INT-002,Word/Speaker Alignment and Packed Phrase Transcript,Interview Expression,GATE_A,INTERVIEW_EXPRESSION/docs/architecture/TS-INT-002.md,FR-124;FR-128,ST-01.03;ST-02.01,SRC-EXT-017;SRC-EXT-020;SRC-EXT-023;SRC-INT-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-INT-003,"Shot Boundary, Transition, Keyframe, and Visual Reference Index",Interview Expression,GATE_A,INTERVIEW_EXPRESSION/docs/architecture/TS-INT-003.md,FR-129,ST-02.02,SRC-EXT-020;SRC-EXT-017;SRC-INT-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-INT-004,"Tag Provenance, Anchor Hit, and Expression Moment Governance",Interview Expression,GATE_A,INTERVIEW_EXPRESSION/docs/architecture/TS-INT-004.md,FR-127;FR-130;FR-131,ST-02.01;ST-02.03,SRC-INT-002;SRC-INT-003;SRC-AM-002;SRC-INT-001;SRC-AM-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-INT-005,Expression Ingredient Inventory and Asset Package Spec,Interview Expression,GATE_A,INTERVIEW_EXPRESSION/docs/architecture/TS-INT-005.md,FR-132,ST-02.04,SRC-INT-001;SRC-INT-002;SRC-INT-003;SRC-AM-002,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-AHP-002,AtomicHarnessDefinition Intake and HarnessExecutionBindingManifest,Atomic Harness Pipeline,GATE_A,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-AHP-002.md,FR-007;FR-008;FR-009;FR-010;FR-011;FR-012,ST-03.01,SRC-CUR-004;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-AHP-003,"Source-Backed Content Batch, Archetype Routing, and Derivative Job Contracts",Atomic Harness Pipeline,GATE_A,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-AHP-003.md,FR-133;FR-134;FR-135;FR-136,ST-03.02;ST-03.03,SRC-AM-001;SRC-AM-002;SRC-INT-001;SRC-INT-003;SRC-CUR-004;SRC-CUR-007;SRC-EXT-023,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-AHP-004,"Workflow Node Kernel, Scheduler, Bounded Roles, and Handoffs",Atomic Harness Pipeline,GATE_A,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-AHP-004.md,FR-013;FR-014;FR-015;FR-016;FR-017;FR-018;FR-137,ST-03.04,SRC-CUR-007;SRC-CUR-008;SRC-CUR-010;SRC-LEG-001;SRC-LEG-002;SRC-LEG-003;SRC-MIG-001;SRC-INT-001,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
TS-AHP-005,Batch Dependency Graph and Selective Invalidation,Atomic Harness Pipeline,GATE_A,04_ATOMIC_HARNESS_PIPELINE/docs/architecture/TS-AHP-005.md,FR-138,ST-03.05,SRC-CUR-010;SRC-AM-001;SRC-AM-002,CANDIDATE_PENDING_STORY_AND_AUTHORITY_ACCEPTANCE
