spec_id,title,path,spec_sha256,implementation_relationship,per_spec_status,acceptance_criteria_count,direct_test_evidence_count,implementation_or_release_evidence_count,deferred_or_external_count,implementation_paths,test_paths,full_spec_completed,claim_ceiling
TS-DEL-001,"Source-Grounded Visual Asset Demand, Asset Result, Geometry, and Usage Acknowledgement",05_ATOMIC_HARNESS_PIPELINE/docs/tech-specs/TS-DEL-001.md,aba43b66766795436b2073b528a486e7dbdb4cc48638ca21a1642c0e36e6d751,DIRECT_PHASE8_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,18,16,0,2,05_ATOMIC_HARNESS_PIPELINE/src/cmf_pipeline/delegation; packages/ca_delegation_rc4,"tests/phase8; 03_DELEGATION_PROTOCOL/delegation-contracts/1.1.0-rc.4/{validators,protocol}/tests",false,PHASE_08_DELEGATION_VAE_INTEGRATION_DEVELOPMENT_EVIDENCE
TS-VAE-BOUND-001,"VAE Provider Ownership for SAM3, Lucida, Layered Generation, ComfyUI, and Google GNM",CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/cross-product-proposals/TS-VAE-BOUND-001.md,c181dd38e2bafbbbea3915ae619902229068361af5d30b69ccc9132e48a21ea4,DIRECT_PHASE8_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,20,18,0,2,02_VISUAL_ASSET_EDITOR/src/cmf_vae/capabilities.py; providers.py; comfyui.py,"tests/phase8; 03_DELEGATION_PROTOCOL/delegation-contracts/1.1.0-rc.4/{validators,protocol}/tests",false,PHASE_08_DELEGATION_VAE_INTEGRATION_DEVELOPMENT_EVIDENCE
TS-VAE-01,TS-VAE-01 Demand Intake and Visual Production Plan IR,02_VISUAL_ASSET_EDITOR/docs/tech-specs/TS-VAE-01-DEMAND-INTAKE-AND-PRODUCTION-PLAN-IR.md,8d1ecaa67f0b0a4362850963cb1371ac1179155342d5e39a51e10a320ccfcf4e,DIRECT_PHASE8_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,9,7,0,2,02_VISUAL_ASSET_EDITOR/src/cmf_vae/planning.py,"tests/phase8; 03_DELEGATION_PROTOCOL/delegation-contracts/1.1.0-rc.4/{validators,protocol}/tests",false,PHASE_08_DELEGATION_VAE_INTEGRATION_DEVELOPMENT_EVIDENCE
TS-VAE-02,TS-VAE-02 Dynamic Workcell and Capability Routing,02_VISUAL_ASSET_EDITOR/docs/tech-specs/TS-VAE-02-DYNAMIC-WORKCELL-AND-CAPABILITY-ROUTING.md,c5e3171c649ed626b2accc6756c32aee7dc94c08b9d399ba2063d01014b94470,DIRECT_PHASE8_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,8,7,0,1,02_VISUAL_ASSET_EDITOR/src/cmf_vae/capabilities.py,"tests/phase8; 03_DELEGATION_PROTOCOL/delegation-contracts/1.1.0-rc.4/{validators,protocol}/tests",false,PHASE_08_DELEGATION_VAE_INTEGRATION_DEVELOPMENT_EVIDENCE
TS-VAE-03,TS-VAE-03 ComfyUI Workflow Compiler and Registries,02_VISUAL_ASSET_EDITOR/docs/tech-specs/TS-VAE-03-COMFYUI-WORKFLOW-COMPILER-AND-REGISTRIES.md,c4374a2753530ab03f82343fdce2363c463838b82dcf1e144abaa087ecbb0c01,DIRECT_PHASE8_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,8,6,0,2,02_VISUAL_ASSET_EDITOR/src/cmf_vae/comfyui.py,"tests/phase8; 03_DELEGATION_PROTOCOL/delegation-contracts/1.1.0-rc.4/{validators,protocol}/tests",false,PHASE_08_DELEGATION_VAE_INTEGRATION_DEVELOPMENT_EVIDENCE
TS-VAE-04,TS-VAE-04 Containerized Visual Compute Fabric,02_VISUAL_ASSET_EDITOR/docs/tech-specs/TS-VAE-04-CONTAINERIZED-VISUAL-COMPUTE-FABRIC.md,34d0585b5e687df4994d2d9bd7c766e3ab783a68976ecf992deaaf60d1d0a5c7,DIRECT_PHASE8_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,8,7,0,1,02_VISUAL_ASSET_EDITOR/src/cmf_vae/repository.py; storage.py,"tests/phase8; 03_DELEGATION_PROTOCOL/delegation-contracts/1.1.0-rc.4/{validators,protocol}/tests",false,PHASE_08_DELEGATION_VAE_INTEGRATION_DEVELOPMENT_EVIDENCE
TS-VAE-05,TS-VAE-05 Budget Programs and Candidate Portfolios,02_VISUAL_ASSET_EDITOR/docs/tech-specs/TS-VAE-05-BUDGET-PROGRAMS-AND-CANDIDATE-PORTFOLIOS.md,c2ef193f35af88ef522f040fd8bf30360b46f6e5502a3dd4c0ddda359f488b62,DIRECT_PHASE8_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,8,8,0,0,02_VISUAL_ASSET_EDITOR/src/cmf_vae/repository.py; evaluation.py,"tests/phase8; 03_DELEGATION_PROTOCOL/delegation-contracts/1.1.0-rc.4/{validators,protocol}/tests",false,PHASE_08_DELEGATION_VAE_INTEGRATION_DEVELOPMENT_EVIDENCE
TS-VAE-06,TS-VAE-06 Independent VLM Evaluation,02_VISUAL_ASSET_EDITOR/docs/tech-specs/TS-VAE-06-INDEPENDENT-VLM-EVALUATION.md,7f7619391d11c7206b0a2e7a1c796ece719e5b54acfd0a1558be44807baf9856,DIRECT_PHASE8_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,8,7,0,1,02_VISUAL_ASSET_EDITOR/src/cmf_vae/evaluation.py,"tests/phase8; 03_DELEGATION_PROTOCOL/delegation-contracts/1.1.0-rc.4/{validators,protocol}/tests",false,PHASE_08_DELEGATION_VAE_INTEGRATION_DEVELOPMENT_EVIDENCE
TS-VAE-07,"TS-VAE-07 Repair, Invalidation, and Bounded Reruns",02_VISUAL_ASSET_EDITOR/docs/tech-specs/TS-VAE-07-REPAIR-INVALIDATION-AND-BOUNDED-RERUNS.md,554c44fd6daa1b1905b10c0470e1bcfc9499892708f7275a243c7ff06d2b35bb,DIRECT_PHASE8_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,8,8,0,0,02_VISUAL_ASSET_EDITOR/src/cmf_vae/evaluation.py; repository.py,"tests/phase8; 03_DELEGATION_PROTOCOL/delegation-contracts/1.1.0-rc.4/{validators,protocol}/tests",false,PHASE_08_DELEGATION_VAE_INTEGRATION_DEVELOPMENT_EVIDENCE
TS-VAE-08,"TS-VAE-08 Asset Lifecycle, Memory, OKF, and Steering",02_VISUAL_ASSET_EDITOR/docs/tech-specs/TS-VAE-08-ASSET-LIFECYCLE-MEMORY-OKF-AND-STEERING.md,0acd67ad27e16f15993e2e8fa4a1f1eaa4e14927488d6442a28f914ec72bd01f,DIRECT_PHASE8_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,8,6,0,2,02_VISUAL_ASSET_EDITOR/src/cmf_vae/memory.py; storage.py,"tests/phase8; 03_DELEGATION_PROTOCOL/delegation-contracts/1.1.0-rc.4/{validators,protocol}/tests",false,PHASE_08_DELEGATION_VAE_INTEGRATION_DEVELOPMENT_EVIDENCE
TS-VAE-09,TS-VAE-09 Asynchronous Service and Control Tower,02_VISUAL_ASSET_EDITOR/docs/tech-specs/TS-VAE-09-ASYNCHRONOUS-SERVICE-AND-CONTROL-TOWER.md,5927d4a6ea59581c1c85ca884f1cd9a24e83008f9c15f7e56dea9e4426582c68,DIRECT_PHASE8_IMPLEMENTATION,PARTIALLY_IMPLEMENTED,9,6,1,2,02_VISUAL_ASSET_EDITOR/src/cmf_vae/application.py; repository.py; memory.py,"tests/phase8; 03_DELEGATION_PROTOCOL/delegation-contracts/1.1.0-rc.4/{validators,protocol}/tests",false,PHASE_08_DELEGATION_VAE_INTEGRATION_DEVELOPMENT_EVIDENCE
