wave,spec_count,spec_ids,completion_result,completion_receipt,method_concern
0,3,TS-AHP-001;TS-AIR-001;TS-REL-001,PASS,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_00_COMPLETION.yaml,
1,3,TS-AHP-002;TS-AIR-002;TS-AIR-004,PASS,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_01_COMPLETION.yaml,
2,3,TS-AIR-003;TS-AIR-007;TS-AIR-005,PASS,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_02_COMPLETION.yaml,
3,5,TS-AIR-008;TS-AIR-014;TS-AIR-006;TS-AIR-013;TS-SKL-001,PASS,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_03_COMPLETION.yaml,
4,2,TS-AIR-009;TS-INT-001,PASS,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_04_COMPLETION.yaml,
5,3,TS-INT-007;TS-INT-002;TS-INT-003,PASS,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_05_COMPLETION.yaml,
6,1,TS-INT-006,PASS,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_06_COMPLETION.yaml,
7,1,TS-INT-004,PASS,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_07_COMPLETION.yaml,
8,2,TS-AIR-011;TS-INT-005,PASS,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_08_COMPLETION.yaml,
9,1,TS-AIR-015,PASS,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_09_COMPLETION.yaml,
10,1,TS-AIR-016,PASS,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_10_COMPLETION.yaml,
11,2,TS-AHP-003;TS-AIR-017,PASS,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_11_COMPLETION.yaml,
12,6,TS-VID-001;TS-AIR-019;TS-ANI-001;TS-DEL-001;TS-EVAL-001;TS-STA-001,PASS,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_12_COMPLETION.yaml,
13,7,TS-VID-002;TS-AHP-004;TS-RET-001;TS-VAE-BOUND-001;TS-EVAL-002;TS-CAR-001;TS-SPV-001,PASS_WITH_CONTROLLER_RECOVERY_CONCERN,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_13_COMPLETION.yaml,Wave completed under controller recovery after child-agent usage limit; independent audit remains required.
14,2,TS-VID-003;TS-AHP-005,PASS_WITH_CONTROLLER_RECOVERY_CONCERN,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_14_COMPLETION.yaml,Wave completed under controller recovery after child-agent usage limit; independent audit remains required.
15,3,TS-VID-004;TS-AHP-006;TS-EVAL-003,PASS_WITH_CONTROLLER_RECOVERY_CONCERN,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_15_COMPLETION.yaml,Wave completed under controller recovery after child-agent usage limit; independent audit remains required.
16,3,TS-VID-005;TS-AHP-007;TS-CAS-001,PASS_WITH_CONTROLLER_RECOVERY_CONCERN,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_16_COMPLETION.yaml,Wave completed under controller recovery after child-agent usage limit; independent audit remains required.
17,2,TS-VID-006;TS-CAS-002,PASS_WITH_CONTROLLER_RECOVERY_CONCERN,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_17_COMPLETION.yaml,Wave completed under controller recovery after child-agent usage limit; independent audit remains required.
18,2,TS-BATCH-001;TS-CAS-003,PASS_WITH_CONTROLLER_RECOVERY_CONCERN,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_18_COMPLETION.yaml,Wave completed under controller recovery after child-agent usage limit; independent audit remains required.
19,3,TS-CAS-004;TS-AIR-018;TS-REL-002,PASS_WITH_CONTROLLER_RECOVERY_CONCERN,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_19_COMPLETION.yaml,Wave completed under controller recovery after child-agent usage limit; independent audit remains required.
20,2,TS-CAS-005;TS-AIR-020,PASS_WITH_CONTROLLER_RECOVERY_CONCERN,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_20_COMPLETION.yaml,Wave completed under controller recovery after child-agent usage limit; independent audit remains required.
21,2,TS-CAS-006;TS-PM-001,PASS_WITH_CONTROLLER_RECOVERY_CONCERN,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_21_COMPLETION.yaml,Wave completed under controller recovery after child-agent usage limit; independent audit remains required.
22,1,TS-AHP-008,PASS_WITH_CONTROLLER_RECOVERY_CONCERN,CMF_PROGRAM_CONTROL/03_PROGRAM_STATUS/V2_1_SPEC_WRITING_RECOVERY/PROMPT_03_FACTORY_RUN/wave-receipts/WAVE_22_COMPLETION.yaml,Wave completed under controller recovery after child-agent usage limit; independent audit remains required.
